target_url,source_list_gov_man
about.usps.com,TRUE
africa.si.edu,TRUE
airandspace.si.edu,TRUE
americanindian.si.edu,TRUE
anacostia.si.edu,TRUE
armycivilianservice.com,TRUE
arts.gov,TRUE
bestplacestowork.org,TRUE
bioguide.congress.gov,TRUE
blog.ed.gov,TRUE
blogs.usda.gov,TRUE
blogs.worldbank.org,TRUE
careers.uspto.gov,TRUE
catalog.usmint.gov,TRUE
cic.ndu.edu,TRUE
cisa.ndu.edu,TRUE
clerk.house.gov,TRUE
clinicalcenter.nih.gov,TRUE
cooperhewitt.org,TRUE
data.worldbank.org,TRUE
dispositionservices.dla.mil,TRUE
dodcio.defense.gov,TRUE
earthquake.usgs.gov,TRUE
education.kennedy-center.org,TRUE
energy.gov,TRUE
es.ndu.edu,TRUE
exchanges.state.gov,TRUE
flh.fhwa.dot.gov,TRUE
gravelocator.cem.va.gov,TRUE
greenfleet.dodlive.mil,TRUE
guides.grc.usmcu.edu,TRUE
history.house.gov,TRUE
iadb.jid.org,TRUE
icsid.worldbank.org,TRUE
ida.worldbank.org,TRUE
innovation.ed.gov,TRUE
jfsc.ndu.edu,TRUE
jobs.cdc.gov,TRUE
knowledgestore.nmb.gov,TRUE
kreyol.iaf.gov,TRUE
landscapeforlife.org,TRUE
latino.si.edu,TRUE
library.howard.edu,TRUE
library.si.edu,TRUE
microdata.worldbank.org,TRUE
mmr.osmre.gov,TRUE
nationalservice.tumblr.com,TRUE
nationalzoo.si.edu,TRUE
navyonline.com,TRUE
nces.ed.gov,TRUE
nctc.fws.gov,TRUE
newsdesk.si.edu,TRUE
ni-u.edu,TRUE
nifa.usda.gov,TRUE
nsidc.org,TRUE
nvc.state.gov,TRUE
nwc.ndu.edu,TRUE
o10007.eos-intl.net,TRUE
oig.ssa.gov,TRUE
oig.tva.gov,TRUE
open.defense.gov,TRUE
overseasbuildings.state.gov,TRUE
pentagontours.osd.mil,TRUE
peoplesearch.hud.gov,TRUE
phmsa.dot.gov,TRUE
policy.defense.gov,TRUE
portal.hud.gov,TRUE
portugues.iaf.gov,TRUE
postalmuseum.si.edu,TRUE
prhome.defense.gov,TRUE
projects.worldbank.org,TRUE
promotions.usa.gov,TRUE
pubdocs.worldbank.org,TRUE
public.csr.nih.gov,TRUE
publications.iom.int,TRUE
pubs.usgs.gov,TRUE
residentassociates.org,TRUE
siarchives.si.edu,TRUE
smithsonianapa.org,TRUE
smithsonianeducation.org,TRUE
smithsonianmembership.com,TRUE
spanish.iaf.gov,TRUE
static.dma.mil,TRUE
store.amtrak.com,TRUE
subscribe.nga.gov,TRUE
supremecourtgifts.org,TRUE
training.fws.gov,TRUE
travel.state.gov,TRUE
twitter.com,TRUE
webapps.dol.gov,TRUE
weblog.iom.int,TRUE
wildlife.faa.gov,TRUE
wilsonquarterly.com,TRUE
ww3.safaq.hq.af.mil,TRUE
www-odi.nhtsa.dot.gov,TRUE
aaa.si.edu,TRUE
acc.af.mil,TRUE
acf.hhs.gov,TRUE
acl.gov,TRUE
acq.osd.mil,TRUE
acus.gov,TRUE
adb.org,TRUE
aepi.army.mil,TRUE
aetc.af.mil,TRUE
af.mil,TRUE
afaa.af.mil,TRUE
afams.af.mil,TRUE
afdb.org,TRUE
afdw.af.mil,TRUE
afgsc.af.mil,TRUE
afhra.af.mil,TRUE
afmc.af.mil,TRUE
afotec.af.mil,TRUE
afrc.af.mil,TRUE
afsoc.af.mil,TRUE
afspc.af.mil,TRUE
ahrq.gov,TRUE
airforcemag.com,TRUE
airforcemedicine.af.mil,TRUE
airspacemag.com,TRUE
alhurra.com,TRUE
amc.af.mil,TRUE
americanart.si.edu,TRUE
americanhistory.si.edu,TRUE
ams.usda.gov,TRUE
amtrak.com,TRUE
amtrakoig.gov,TRUE
angrc.ang.af.mil,TRUE
aoc.gov,TRUE
aph.org,TRUE
apps.oas.org,TRUE
arcc.osmre.gov,TRUE
arcent.army.mil,TRUE
archives.gov,TRUE
arlingtoncemetery.mil,TRUE
armfor.uscourts.gov,TRUE
army.mil,TRUE
arnorth.army.mil,TRUE
arsouth.army.mil,TRUE
arts.gov,TRUE
asaie.army.mil,TRUE
asia.si.edu,TRUE
atf.gov,TRUE
atsdr.cdc.gov,TRUE
bea.gov,TRUE
benefits.va.gov,TRUE
bia.gov,TRUE
bie.edu,TRUE
bis.doc.gov,TRUE
blm.gov,TRUE
blogs.va.gov,TRUE
bls.gov,TRUE
boem.gov,TRUE
bop.gov,TRUE
bsee.gov,TRUE
bva.va.gov,TRUE
cafc.uscourts.gov,TRUE
cancer.gov,TRUE
cbo.gov,TRUE
cbp.gov,TRUE
cdc.gov,TRUE
cem.va.gov,TRUE
census.gov,TRUE
cfa.harvard.edu,TRUE
cftc.gov,TRUE
cia.gov,TRUE
cit.nih.gov,TRUE
cit.uscourts.gov,TRUE
cms.gov,TRUE
cnpp.usda.gov,TRUE
colegio-id.org,TRUE
commissaries.com,TRUE
congress.gov,TRUE
consumerfinance.gov,TRUE
cops.usdoj.gov,TRUE
copyright.gov,TRUE
cpsc.gov,TRUE
darpa.mil,TRUE
dau.edu,TRUE
dcaa.mil,TRUE
dcma.mil,TRUE
dcsa.mil,TRUE
dea.gov,TRUE
deadiversion.usdoj.gov,TRUE
defense.gov,TRUE
dfas.mil,TRUE
dha.mil,TRUE
dhra.mil,TRUE
dhs.gov,TRUE
dia.mil,TRUE
disa.mil,TRUE
dla.mil,TRUE
dm.usda.gov,TRUE
dma.mil,TRUE
dnfsb.gov,TRUE
dni.gov,TRUE
doc.gov,TRUE
docinfo.org,TRUE
dod.mil,TRUE
dodea.edu,TRUE
doi.gov,TRUE
dol.gov,TRUE
doleta.gov,TRUE
dot.gov,TRUE
dpaa.mil,TRUE
drugabuse.gov,TRUE
dsca.mil,TRUE
dtic.mil,TRUE
dtra.mil,TRUE
dtsa.mil,TRUE
ebrd.com,TRUE
ecfr.gov,TRUE
ed.gov,TRUE
eda.gov,TRUE
eeoc.gov,TRUE
energy.gov,TRUE
epa.gov,TRUE
ers.usda.gov,TRUE
esa.doc.gov,TRUE
esa.gov,TRUE
eur.army.mil,TRUE
exim.gov,TRUE
faa.gov,TRUE
facebook.com,TRUE
fao.org,TRUE
fas.usda.gov,TRUE
fbi.gov,TRUE
fca.gov,TRUE
fcc.gov,TRUE
fda.gov,TRUE
fdic.gov,TRUE
fdrlibrary.marist.edu,TRUE
fec.gov,TRUE
federalreserve.gov,TRUE
fema.gov,TRUE
ferc.gov,TRUE
fhfa.gov,TRUE
fhwa.dot.gov,TRUE
fiscal.treasury.gov,TRUE
fjc.gov,TRUE
flra.gov,TRUE
fly.faa.gov,TRUE
fmc.gov,TRUE
fmcs.gov,TRUE
fmcsa.dot.gov,TRUE
fmshrc.gov,TRUE
