Domain name,Domain type,Agency,Organization name
aal.mil,Federal - Executive,Department of Defense,
aaro.mil,Federal - Executive,Department of Defense,
acqebiz.mil,Federal - Executive,Department of Defense,
af.mil,Federal - Executive,Department of Defense,Air Force
afadsc.mil,Federal - Executive,Department of Defense,
aflink-test.mil,Federal - Executive,Department of Defense,
afn.mil,Federal - Executive,Department of Defense,
afpims.mil,Federal - Executive,Department of Defense,
africom.mil,Federal - Executive,Department of Defense,
ai.mil,Federal - Executive,Department of Defense,
airdomainintelligence.mil,Federal - Executive,Department of Defense,Air Force
alsa.mil,Federal - Executive,Department of Defense,
alssa.mil,Federal - Executive,Department of Defense,
apps.mil,Federal - Executive,Department of Defense,
arcus.mil,Federal - Executive,Department of Defense,
arlingtoncemetery.mil,Federal - Executive,Department of Defense,
army.mil,Federal - Executive,Department of Defense,Army
armyreservewarriorcitizen.mil,Federal - Executive,Department of Defense,Army
asbca.mil,Federal - Executive,Department of Defense,
cac.mil,Federal - Executive,Department of Defense,
cap.mil,Federal - Executive,Department of Defense,
ccpo.mil,Federal - Executive,Department of Defense,
centcom.mil,Federal - Executive,Department of Defense,
cloud.mil,Federal - Executive,Department of Defense,
cmil.mil,Federal - Executive,Department of Defense,
code.mil,Federal - Executive,Department of Defense,
crmforce.mil,Federal - Executive,Department of Defense,
cto.mil,Federal - Executive,Department of Defense,
ctoinnovation.mil,Federal - Executive,Department of Defense,
cultureready.mil,Federal - Executive,Department of Defense,
cvnxx.mil,Federal - Executive,Department of Defense,
cyber.mil,Federal - Executive,Department of Defense,
cybercom.mil,Federal - Executive,Department of Defense,
dantes.mil,Federal - Executive,Department of Defense,
darpa.mil,Federal - Executive,Department of Defense,
dc3.mil,Federal - Executive,Department of Defense,
dcaa.mil,Federal - Executive,Department of Defense,
dcma.mil,Federal - Executive,Department of Defense,
dcsa.mil,Federal - Executive,Department of Defense,
dctc.mil,Federal - Executive,Department of Defense,
dds.mil,Federal - Executive,Department of Defense,
defenseculture.mil,Federal - Executive,Department of Defense,
defensesbirsttr.mil,Federal - Executive,Department of Defense,
deomi.mil,Federal - Executive,Department of Defense,
deps.mil,Federal - Executive,Department of Defense,
dfas.mil,Federal - Executive,Department of Defense,
dfba.mil,Federal - Executive,Department of Defense,
dhra.mil,Federal - Executive,Department of Defense,
dia.mil,Federal - Executive,Department of Defense,
dimoc.mil,Federal - Executive,Department of Defense,
disa.mil,Federal - Executive,Department of Defense,
diu.mil,Federal - Executive,Department of Defense,
dla.mil,Federal - Executive,Department of Defense,
dlnseo.mil,Federal - Executive,Department of Defense,
dma.mil,Federal - Executive,Department of Defense,
dod.mil,Federal - Executive,Department of Defense,
dodcui.mil,Federal - Executive,Department of Defense,
doded.mil,Federal - Executive,Department of Defense,
dodig.mil,Federal - Executive,Department of Defense,
dodlive.mil,Federal - Executive,Department of Defense,
dodmantech.mil,Federal - Executive,Department of Defense,
dodsbirsttr.mil,Federal - Executive,Department of Defense,
dodsurveys.mil,Federal - Executive,Department of Defense,
dodtap.mil,Federal - Executive,Department of Defense,
dpaa.mil,Federal - Executive,Department of Defense,
dps.mil,Federal - Executive,Department of Defense,
dren.mil,Federal - Executive,Department of Defense,
dsca.mil,Federal - Executive,Department of Defense,
dscu.mil,Federal - Executive,Department of Defense,
dso.mil,Federal - Executive,Department of Defense,
dspo.mil,Federal - Executive,Department of Defense,
dss.mil,Federal - Executive,Department of Defense,
dtic.mil,Federal - Executive,Department of Defense,
dtra.mil,Federal - Executive,Department of Defense,
dtsa.mil,Federal - Executive,Department of Defense,
eb.mil,Federal - Executive,Department of Defense,
ecs.mil,Federal - Executive,Department of Defense,
esgr.mil,Federal - Executive,Department of Defense,
esgr1.mil,Federal - Executive,Department of Defense,
esgrevents.mil,Federal - Executive,Department of Defense,
esi.mil,Federal - Executive,Department of Defense,
eucom.mil,Federal - Executive,Department of Defense,
fedmall.mil,Federal - Executive,Department of Defense,
financialfrontline.mil,Federal - Executive,Department of Defense,
freedomaward.mil,Federal - Executive,Department of Defense,
gigeagle.mil,Federal - Executive,Department of Defense,
git.mil,Federal - Executive,Department of Defense,
hacc.mil,Federal - Executive,Department of Defense,
hci.mil,Federal - Executive,Department of Defense,
health.mil,Federal - Executive,Department of Defense,
hmms.mil,Federal - Executive,Department of Defense,
homes.mil,Federal - Executive,Department of Defense,
hpc.mil,Federal - Executive,Department of Defense,
inherentresolve.mil,Federal - Executive,Department of Defense,
isitdown.mil,Federal - Executive,Department of Defense,
jalis.mil,Federal - Executive,Department of Defense,
jb.mil,Federal - Executive,Department of Defense,
jbsa.mil,Federal - Executive,Department of Defense,Air Force
jcs.mil,Federal - Executive,Department of Defense,
jcu.mil,Federal - Executive,Department of Defense,
jdrs.mil,Federal - Executive,Department of Defense,
jecc.mil,Federal - Executive,Department of Defense,
jfhq-dodin.mil,Federal - Executive,Department of Defense,
jieddo.mil,Federal - Executive,Department of Defense,
jllis.mil,Federal - Executive,Department of Defense,
jpeojtrs.mil,Federal - Executive,Department of Defense,
jpra.mil,Federal - Executive,Department of Defense,
jsf.mil,Federal - Executive,Department of Defense,
jtdi.mil,Federal - Executive,Department of Defense,
jten.mil,Federal - Executive,Department of Defense,
jtf-spacedefense.mil,Federal - Executive,Department of Defense,
jtnc.mil,Federal - Executive,Department of Defense,
jwac.mil,Federal - Executive,Department of Defense,
les.mil,Federal - Executive,Department of Defense,
lt2portal.mil,Federal - Executive,Department of Defense,
marines.mil,Federal - Executive,Department of Defense,Marine Corps
mc.mil,Federal - Executive,Department of Defense,
mcm.mil,Federal - Executive,Department of Defense,
mda.mil,Federal - Executive,Department of Defense,
metc.mil,Federal - Executive,Department of Defense,
milcloud.mil,Federal - Executive,Department of Defense,
militaryonesource.mil,Federal - Executive,Department of Defense,
milreviewbds.mil,Federal - Executive,Department of Defense,
milsuite.mil,Federal - Executive,Department of Defense,
move.mil,Federal - Executive,Department of Defense,
myafn.mil,Federal - Executive,Department of Defense,
nationalguard.mil,Federal - Executive,Department of Defense,National Guard
navy.mil,Federal - Executive,Department of Defense,Navy
ng.mil,Federal - Executive,Department of Defense,National Guard
nga.mil,Federal - Executive,Department of Defense,
ngb.mil,Federal - Executive,Department of Defense,National Guard
norad.mil,Federal - Executive,Department of Defense,
northcom.mil,Federal - Executive,Department of Defense,
nsic.mil,Federal - Executive,Department of Defense,
nsin.mil,Federal - Executive,Department of Defense,
okta.mil,Federal - Executive,Department of Defense,
opa.mil,Federal - Executive,Department of Defense,
osd.mil,Federal - Executive,Department of Defense,Army
pacom.mil,Federal - Executive,Department of Defense,
pegasus.mil,Federal - Executive,Department of Defense,
pentagon.mil,Federal - Executive,Department of Defense,
people.mil,Federal - Executive,Department of Defense,
pfpa.mil,Federal - Executive,Department of Defense,
portal.mil,Federal - Executive,Department of Defense,
prevention.mil,Federal - Executive,Department of Defense,
prs.mil,Federal - Executive,Department of Defense,
repi.mil,Federal - Executive,Department of Defense,
salesforce.mil,Federal - Executive,Department of Defense,
sapr.mil,Federal - Executive,Department of Defense,
sco.mil,Federal - Executive,Department of Defense,
sda.mil,Federal - Executive,Department of Defense,
shadowsedge.mil,Federal - Executive,Department of Defense,
sigar.mil,Federal - Executive,Department of Defense,
smil.mil,Federal - Executive,Department of Defense,
soc.mil,Federal - Executive,Department of Defense,
socom.mil,Federal - Executive,Department of Defense,
southcom.mil,Federal - Executive,Department of Defense,
spacecom.mil,Federal - Executive,Department of Defense,
spaceforce.mil,Federal - Executive,Department of Defense,Space Force
spaceforces-space.mil,Federal - Executive,Department of Defense,
stratcom.mil,Federal - Executive,Department of Defense,
swcs.mil,Federal - Executive,Department of Defense,Army
tapevents.mil,Federal - Executive,Department of Defense,
tearline.mil,Federal - Executive,Department of Defense,
tricare.mil,Federal - Executive,Department of Defense,
unc.mil,Federal - Executive,Department of Defense,
uscg.mil,Federal - Executive,Department of Defense,Coast Guard
usfj.mil,Federal - Executive,Department of Defense,
usfk.mil,Federal - Executive,Department of Defense,
usgovdod.mil,Federal - Executive,Department of Defense,
usmc.mil,Federal - Executive,Department of Defense,
ustranscom.mil,Federal - Executive,Department of Defense,
vte.mil,Federal - Executive,Department of Defense,
vts.mil,Federal - Executive,Department of Defense,
whitehousecommsagency.mil,Federal - Executive,Department of Defense,
whs.mil,Federal - Executive,Department of Defense,
