Website,Agency,Bureau,Branch
myafn.dodlive.mil,Defense-wide,American Forces Network,Executive
www.afneurope.net,Defense-wide,American Forces Network Europe,Executive
www.afnpacific.net,Defense-wide,American Forces Network Pacific,Executive
at.dod.mil,Defense-wide,Anti-Tamper Executive Agent,Executive
afd.defense.gov,Defense-wide,Armed Forces Day,Executive
armedforcessports.defense.gov,Defense-wide,Armed Forces Sports,Executive
la.defense.gov,Defense-wide,ASD Legislative Affairs,Executive
basicresearch.defense.gov,Defense-wide,Basic Research | Research Directorate,Executive
capstone.ndu.edu,Defense-wide,Capstone,Executive
casl.ndu.edu,Defense-wide,Center for Applied Strategic Learning,Executive
cco.ndu.edu,Defense-wide,Center for Complex Operations,Executive
www.cdse.edu,Defense-wide,Center for Development of Security Excellence (DCSA/CDSE),Executive
cjsl.ndu.edu,Defense-wide,Center for Joint and Strategic Logistics,Executive
wmdcenter.ndu.edu,Defense-wide,Center for the Study of Weapons of Mass Destruction,Executive
dodcio.defense.gov,Defense-wide,Chief Information Officer,Executive
dam.defense.gov,Defense-wide,Chief Management Officer,Executive
www.ccpo.mil,Defense-wide,Cloud Computing Program Office,Executive
cisa.ndu.edu,Defense-wide,College for International Security Affairs,Executive
cic.ndu.edu,Defense-wide,College of Information and Cyberspace,Executive
ctip.defense.gov,Defense-wide,Combating Trafficking in Persons,Executive
comptroller.defense.gov,Defense-wide,Comptroller,Executive
dacowits.defense.gov,Defense-wide,Defense Advisory Committee on Women in the Services,Executive
dbb.defense.gov,Defense-wide,Defense Business Board,Executive
dcips.defense.gov,Defense-wide,Defense Civilian Intelligence Personnel System,Executive
www.dcaa.mil,Defense-wide,Defense Contract Audit Agency,Executive
www.dcma.mil,Defense-wide,Defense Contract Management Agency,Executive
www.dcsa.mil,Defense-wide,Defense Counterintelligence and Security Agency,Executive
www.dss.mil,Defense-wide,Defense Counterintelligence Security Service,Executive
www.defenseculture.mil,Defense-wide,Defense Equal Opportunity Management Institute,Executive
www.dfas.mil,Defense-wide,Defense Finance Accounting Service,Executive
www.dimoc.mil,Defense-wide,Defense Imagery Management Operations Center,Executive
www.dinfos.dma.mil,Defense-wide,Defense Information School,Executive
innovation.defense.gov,Defense-wide,Defense Innovation Board,Executive
www.dia.mil,Defense-wide,Defense Intelligence Agency,Executive
www.dla.mil,Defense-wide,Defense Logistics Agency,Executive
www.dhra.mil,Defense-wide,Defense Manpower Data Center (DMDC),Executive
www.dma.mil,Defense-wide,Defense Media Activity,Executive
doha.ogc.osd.mil,Defense-wide,Defense Office of Hearings and Appeals,Executive
www.dpaa.mil,Defense-wide,Defense POW/MIA Accounting Agency,Executive
dpcld.defense.gov,Defense-wide,Defense Privacy and Civil Liberties Division,Executive
www.dsp.dla.mil,Defense-wide,Defense Standardization Program,Executive
www.dspo.mil,Defense-wide,Defense Suicide Prevention Office,Executive
www.dtra.mil,Defense-wide,Defense Threat Reduction Agency,Executive
www.travel.dod.mil,Defense-wide,Defense Travel Management Office (DTMO),Executive
www.defense.gov,Defense-wide,Department of Defense,Executive
www.dc3.mil,Defense-wide,Department of Defense Cyber Crime Center (DC3),Executive
www.dodig.mil,Defense-wide,Department of Defense Inspector General,Executive
dodsoco.ogc.osd.mil,Defense-wide,Department of Defense Standards of Conducts Office,Executive
oig.dia.mil,Defense-wide,DIA Inspector General,Executive
pavilion.dinfos.edu,Defense-wide,DINFOS Pavilion,Executive
www.dote.osd.mil,Defense-wide,Director Operational Test and Evaluation (DOTE),Executive
www.cac.mil,Defense-wide,DOD Common Access Card,Executive
www.dodmantech.mil,Defense-wide,DOD MANTECH,Executive
www.dodnafaccounting.defense.gov,Defense-wide,DOD NAF Accounting,Executive
jnlwp.defense.gov,Defense-wide,DOD Non-Lethal Weapons Program,Executive
open.defense.gov,Defense-wide,DOD Open Government,Executive
www.repi.mil,Defense-wide,DOD Readiness and Environmental Protection Initiative,Executive
www.cloud.mil,Defense-wide,Enterprise Cloud,Executive
www.esd.whs.mil,Defense-wide,Executive Services Directorate,Executive
dodcertpmo.defense.gov,Defense-wide,Human Capital Management Office,Executive
irt.defense.gov,Defense-wide,Innovative Readiness Training,Executive
inss.ndu.edu,Defense-wide,Institute for National Strategic Studies,Executive
ismo.ndu.edu,Defense-wide,International Student Management Office,Executive
jamrs.defense.gov,Defense-wide,Joint Advertising Market Research and Studies,Executive
www.jecc.mil,Defense-wide,Joint Enabling Capabilities Command,Executive
jfsc.ndu.edu,Defense-wide,Joint Forces Staff College,Executive
keystone.ndu.edu,Defense-wide,Keystone,Executive
www.businessdefense.gov,Defense-wide,Manufacturing and Industrial Base Policy,Executive
www.metc.mil,Defense-wide,Medical Education and Training Campus,Executive
valor.defense.gov,Defense-wide,Military Awards for Valor,Executive
militarypay.defense.gov,Defense-wide,Military Pay,Executive
minerva.defense.gov,Defense-wide,Minerva Research Initiative,Executive
www.ndu.edu,Defense-wide,National Defense University,Executive
ndupress.ndu.edu,Defense-wide,National Defense University Press,Executive
www.airdomainintelligence.mil,Defense-wide,National Intelligence Manager for Aviation (NIM-A),Executive
www.nro.gov,Defense-wide,National Reconnaissance Office,Executive
www.nsa.gov,Defense-wide,National Security Agency,Executive
oig.nsa.gov,Defense-wide,National Security Agency Inspector General,Executive
nwc.ndu.edu,Defense-wide,National War College,Executive
www.norad.mil,Defense-wide,North American Aerospace Defense Command,Executive
dodsioo.defense.gov,Defense-wide,OASD for Intelligence Oversight,Executive
diversity.defense.gov,Defense-wide,Office of Diversity Management and Equal Opportunity,Executive
opa.defense.gov,Defense-wide,Office of People of Analytics (OPA),Executive
business.defense.gov,Defense-wide,Office of Small Business Programs (Business.Defense),Executive
actuary.defense.gov,Defense-wide,Office of the Actuary,Executive
dodmwrandresalepolicy.defense.gov,Defense-wide,Office of the Deputy Assistant Secretary of Defense for Military Community & Family Policy (DoD MWR and Resale Policy),Executive
ogc.osd.mil,Defense-wide,Office of the General Counsel,Executive
ousdi.defense.gov,Defense-wide,Office of the Under Secretary of Defense for Intelligence,Executive
data.defense.gov,Defense-wide,Open Data,Executive
history.defense.gov,Defense-wide,OSD Historical Office,Executive
www.dodcui.mil,Defense-wide,OUSD Information and Security Policy,Executive
policy.defense.gov,Defense-wide,OUSD Policy,Executive
www.pfpa.mil,Defense-wide,Pentagon Force Protection Agency,Executive
www.prs.mil,Defense-wide,Periodic Review Secretariat,Executive
pinnacle.ndu.edu,Defense-wide,Pinnacle,Executive
purview.dodlive.mil,Defense-wide,Purview (was DoDLive),Executive
rwtf.defense.gov,Defense-wide,Recovering Warrior Task Force,Executive
rcnsc.ndu.edu,Defense-wide,Reserve Component National Security Course,Executive
rfpb.defense.gov,Defense-wide,Reserve Forces Policy Board,Executive
www.defensesbirsttr.mil,Defense-wide,Small Business Innovation Research,Executive
sfb.dodlive.mil,Defense-wide,State Facility Boards,Executive
tasa.dma.mil,Defense-wide,Television-Audio Support Activity,Executive
www.test-evaluation.osd.mil,Defense-wide,Test and Evaluation Enterprise,Executive
es.ndu.edu,Defense-wide,The Eisenhower School,Executive
execsec.defense.gov,Defense-wide,The Executive Secretary,Executive
www.dote.osd.mil,Defense-wide,"The Office of the Director, Operational Test and Evaluation",Executive
www.usfj.mil,Defense-wide,U.S. Forces Japan,Executive
www.usfk.mil,Defense-wide,U.S. Forces Korea,Executive
prhome.defense.gov,Defense-wide,Under Secretary of Defense for Personnel and Readiness,Executive
vwac.defense.gov,Defense-wide,Victim and Witness Assistance Council,Executive
warriorcare.dodlive.mil,Defense-wide,Warrior Care,Executive
www.whs.mil,Defense-wide,Washington Headquarters,Executive
www.publicweb.dma.mil,Defense-wide,Web Enterprise Business (Web.mil),Executive
www.whitehousecommsagency.mil,Defense-wide,White House Communications Agency,Executive
www.alsa.mil,Joint,Air Land Sea Application Center,Executive
www.inherentresolve.mil,Joint,Combined Joint Task Force - Operation Inherent Resolve,Executive
www.jbab.jb.mil,Joint,Joint Base Anacostia-Bolling,Executive
www.jba.af.mil,Joint,Joint Base Andrews,Executive
www.jbcharleston.jb.mil,Joint,Joint Base Charleston,Executive
www.jber.jb.mil,Joint,Joint Base Elmendorf-Richardson,Executive
www.jble.af.mil,Joint,Joint Base Langley-Eustis,Executive
www.jbmdl.jb.mil,Joint,Joint Base McGuire-Dix-Lakehurst,Executive
www.jbsa.af.mil,Joint,Joint Base San Antonio,Executive
www.jcs.mil,Joint,Joint Chiefs of Staff,Executive
www.jcu.mil,Joint,Joint Communications Unit,Executive
www.jiatfs.southcom.mil,Joint,Joint Interagency Task Force South,Executive
www.jpra.mil,Joint,Joint Personnel Recovery Agency,Executive
jsc.defense.gov,Joint,Joint Service Committee on Military Justice,Executive
www.jtnc.mil,Joint,Joint Tactical Networking Center,Executive
www.jtfcs.northcom.mil,Joint,Joint Task Force Civil Support,Executive
www.jtfgtmo.southcom.mil,Joint,Joint Task Force Guantanamo,Executive
www.jtfn.northcom.mil,Joint,Joint Task Force North,Executive
www.jtfb.southcom.mil,Joint,Joint Task Force-Bravo,Executive
www.jtf-spacedefense.mil,Joint,Joint Task Force-Space Defense,Executive
www.jwac.mil,Joint,Joint Warfare Analysis Center,Executive
www.norad.mil,Joint,North American Aerospace Defense Command (NORAD),Executive
plainsguardian.dodlive.mil,Joint,Plains Guardian,Executive
www.centcom.mil,Joint,U.S. Central Command,Executive
www.cybercom.mil,Joint,U.S. Cyber Command,Executive
www.northcom.mil,Joint,U.S. Northern Command,Executive
www.pacom.mil,Joint,U.S. Pacific Command,Executive
www.southcom.mil,Joint,U.S. Southern Command,Executive
www.spacecom.mil,Joint,U.S. Space Command,Executive
www.stratcom.mil,Joint,U.S. Strategic Command,Executive
www.unc.mil,Joint,United Forces Command,Executive
www.101arw.ang.af.mil,Air Force,101st Air Refueling Wing*,Executive
www.102iw.ang.af.mil,Air Force,102nd Intelligence Wing,Executive
www.103aw.ang.af.mil,Air Force,103rd Airlift Wing,Executive
www.104fw.ang.af.mil,Air Force,104th Fighter Wing,Executive
www.105aw.ang.af.mil,Air Force,105th Airlift Wing,Executive
www.106rqw.ang.af.mil,Air Force,106th Rescue Wing,Executive
www.107attackwing.ang.af.mil,Air Force,107th Attack Wing,Executive
www.108thwing.ang.af.mil,Air Force,108th Wing,Executive
www.109aw.ang.af.mil,Air Force,109th Airlift Wing,Executive
www.10af.afrc.af.mil,Air Force,10th Air Force,Executive
www.110atkw.ang.af.mil,Air Force,110th Wing,Executive
www.111attackwing.ang.af.mil,Air Force,111th Attack Wing,Executive
www.113wg.ang.af.mil,Air Force,113th Wing,Executive
www.114fw.ang.af.mil,Air Force,114th Fighter Wing,Executive
www.115fw.ang.af.mil,Air Force,115th Fighter Wing,Executive
www.116acw.ang.af.mil,Air Force,116th Air Control Wing,Executive
www.117arw.ang.af.mil,Air Force,117th Air Refueling Wing,Executive
www.118wg.ang.af.mil,Air Force,118th Wing,Executive
www.119wg.ang.af.mil,Air Force,119th Wing,Executive
www.120thairliftwing.ang.af.mil,Air Force,120th Airlift Wing,Executive
www.121arw.ang.af.mil,Air Force,121st Air Refueling Wing,Executive
www.122fw.ang.af.mil,Air Force,122nd Fighter Wing,Executive
www.123aw.ang.af.mil,Air Force,123rd Airlift Wing,Executive
www.124thfighterwing.ang.af.mil,Air Force,124th Fighter Wing,Executive
www.125fw.ang.af.mil,Air Force,125th Fighter Wing (was Florida),Executive
www.126arw.ang.af.mil,Air Force,126th Air Refueling Wing,Executive
www.127wg.ang.af.mil,Air Force,127th Wing,Executive
www.128arw.ang.af.mil,Air Force,128th Air Refueling Wing,Executive
www.129rqw.ang.af.mil,Air Force,129th Rescue Wing,Executive
www.12af.acc.af.mil,Air Force,12th Air Force,Executive
www.12ftw.af.mil,Air Force,12th Flying Training Wing,Executive
www.130aw.ang.af.mil,Air Force,130th Airlift Wing,Executive
www.131bw.ang.af.mil,Air Force,131st Bomb Wing,Executive
www.132dwing.ang.af.mil,Air Force,132nd Wing,Executive
www.133aw.ang.af.mil,Air Force,133rd Airlift Wing,Executive
www.134arw.ang.af.mil,Air Force,134th Air Refueling Wing,Executive
www.136aw.ang.af.mil,Air Force,136th Airlift Wing,Executive
www.137sow.ang.af.mil,Air Force,137th Special Operations Wing,Executive
www.138fw.ang.af.mil,Air Force,138th Fighter Wing,Executive
www.139aw.ang.af.mil,Air Force,139th Airlift Wing,Executive
www.140wg.ang.af.mil,Air Force,140th Wing,Executive
www.141arw.ang.af.mil,Air Force,141st Air Refueling Wing,Executive
www.142fw.ang.af.mil,Air Force,142nd Fighter Wing,Executive
www.143aw.ang.af.mil,Air Force,143rd Airlift Wing,Executive
www.144fw.ang.af.mil,Air Force,144th Fighter Wing,Executive
www.145aw.ang.af.mil,Air Force,145th Airlift Wing,Executive
www.146aw.ang.af.mil,Air Force,146th Airlift Wing,Executive
www.147atkw.ang.af.mil,Air Force,147th Reconnaissance Wing,Executive
www.148fw.ang.af.mil,Air Force,148th Fighter Wing,Executive
www.149fw.ang.af.mil,Air Force,149th Fighter Wing,Executive
www.150sow.ang.af.mil,Air Force,150th Special Operations Wing,Executive
www.151arw.ang.af.mil,Air Force,151st Air Refueling Wing,Executive
www.152aw.ang.af.mil,Air Force,152nd Airlift Wing,Executive
www.153aw.ang.af.mil,Air Force,153rd Airlift Wing,Executive
www.154wg.ang.af.mil,Air Force,154th Wing,Executive
www.155arw.ang.af.mil,Air Force,155th Air Refueling Wing,Executive
www.156wg.ang.af.mil,Air Force,156th Wing,Executive
www.157arw.ang.af.mil,Air Force,157th Air Refueling Wing,Executive
www.158fw.ang.af.mil,Air Force,158th Fighter Wing,Executive
www.159fw.ang.af.mil,Air Force,159th Fighter Wing,Executive
www.15af.acc.af.mil,Air Force,15th Air Force,Executive
www.15wing.af.mil,Air Force,15th Wing,Executive
www.161arw.ang.af.mil,Air Force,161st Air Refueling Wing,Executive
www.162wing.ang.af.mil,Air Force,162nd Wing,Executive
www.163atkw.ang.af.mil,Air Force,163rd Attack Wing,Executive
www.164aw.ang.af.mil,Air Force,164th Airlift Wing,Executive
www.165aw.ang.af.mil,Air Force,165th Airlift Wing,Executive
www.166aw.ang.af.mil,Air Force,166th Airlift Wing,Executive
www.167aw.ang.af.mil,Air Force,167th Airlift Wing,Executive
www.168wg.ang.af.mil,Air Force,168th Air Refueling Wing,Executive
www.169fw.ang.af.mil,Air Force,169th Fighter Wing,Executive
www.16af.af.mil,Air Force,16th Air Force,Executive
www.171arw.ang.af.mil,Air Force,171st Air Refueling Wing,Executive
www.172aw.ang.af.mil,Air Force,172nd Airlift Wing,Executive
www.173fw.ang.af.mil,Air Force,173rd Fighter Wing,Executive
www.174attackwing.ang.af.mil,Air Force,174th Attack Wing,Executive
www.175wg.ang.af.mil,Air Force,175th Wing,Executive
www.176wg.ang.af.mil,Air Force,176th Wing,Executive
www.177fw.ang.af.mil,Air Force,177th Fighter Wing,Executive
www.178wing.ang.af.mil,Air Force,178th Wing,Executive
www.179aw.ang.af.mil,Air Force,179th Airlift Wing,Executive
www.180fw.ang.af.mil,Air Force,180th Fighter Wing,Executive
www.181iw.ang.af.mil,Air Force,181st Intelligence Wing,Executive
www.182aw.ang.af.mil,Air Force,182nd Airlift Wing,Executive
www.183wg.ang.af.mil,Air Force,183rd Fighter Wing,Executive
