target_url,source_list_usagov
cafc.uscourts.gov,TRUE
gravelocator.cem.va.gov,TRUE
npic.orst.edu,TRUE
travel.state.gov,TRUE
afrh.gov,TRUE
benefits.va.gov,TRUE
cem.va.gov,TRUE
census.gov,TRUE
cfa.gov,TRUE
cit.uscourts.gov,TRUE
cops.usdoj.gov,TRUE
defenselink.mil,TRUE
disa.mil,TRUE
doleta.gov,TRUE
eac.gov,TRUE
ed.gov,TRUE
fasab.gov,TRUE
ffiec.gov,TRUE
fgdc.gov,TRUE
fiscal.treasury.gov,TRUE
"fiscal.treasury.gov, buy and redeem u.s. government securities",TRUE
fitness.gov,TRUE
flra.gov,TRUE
fmcs.gov,TRUE
freddiemac.com,TRUE
fws.gov,TRUE
gpo.gov,TRUE
helpwithmybank.gov,TRUE
house.gov,TRUE
ignet.gov,TRUE
ihs.gov,TRUE
jpml.uscourts.gov,TRUE
medpac.gov,TRUE
mmc.gov,TRUE
nationalparks.org,TRUE
ncpc.gov,TRUE
ndu.edu,TRUE
neh.gov,TRUE
nga.gov,TRUE
nga.mil,TRUE
nhtsa.gov,TRUE
ni-u.edu,TRUE
niaid.nih.gov,TRUE
niams.nih.gov,TRUE
nifa.usda.gov,TRUE
nist.gov,TRUE
nj.gov,TRUE
npic.orst.edu,TRUE
nps.gov,TRUE
nrc.gov,TRUE
nsa.gov,TRUE
nsf.gov,TRUE
ntia.doc.gov,TRUE
nwcouncil.org,TRUE
nws.noaa.gov,TRUE
nwtrb.gov,TRUE
occ.gov,TRUE
ojjdp.gov,TRUE
oshrc.gov,TRUE
osmre.gov,TRUE
osti.gov,TRUE
phmsa.dot.gov,TRUE
prc.gov,TRUE
presidio.gov,TRUE
rfa.org,TRUE
rferl.org,TRUE
rma.usda.gov,TRUE
samhsa.gov,TRUE
sba.gov,TRUE
seaway.dot.gov,TRUE
sec.gov,TRUE
senate.gov,TRUE
si.edu,TRUE
sji.gov,TRUE
southcom.mil,TRUE
srbc.net,TRUE
ssa.gov,TRUE
state.gov,TRUE
state.nj.us,TRUE
stennis.gov,TRUE
stratcom.mil,TRUE
suicidepreventionlifeline.org,TRUE
supremecourt.gov,TRUE
supremecourtus.gov,TRUE
treas.gov,TRUE
treasury.gov,TRUE
treasurydirect.gov,TRUE
truman.gov,TRUE
udall.gov,TRUE
usace.army.mil,TRUE
usaid.gov,TRUE
usbg.gov,TRUE
usccr.gov,TRUE
uscfc.uscourts.gov,TRUE
uscirf.gov,TRUE
uscis.gov,TRUE
uscourts.cavc.gov,TRUE
uscourts.gov,TRUE
usdoj.gov,TRUE
usembassy.gov,TRUE
usgs.gov,TRUE
usip.org,TRUE
uspto.gov,TRUE
ustaxcourt.gov,TRUE
ustda.gov,TRUE
ustr.gov,TRUE
va.gov,TRUE
visitthecapitol.gov,TRUE
whitehouse.gov,TRUE
wilsoncenter.org,TRUE
www2.ed.gov,TRUE
about.usps.com,TRUE
acl.gov,TRUE
adr.gov,TRUE
afreserve.com,TRUE
americorps.gov,TRUE
answers.usgs.gov,TRUE
ask.gpo.gov,TRUE
ask.loc.gov,TRUE
ask.usda.gov,TRUE
awt.cbp.gov,TRUE
bookstore.gpo.gov,TRUE
bosque.gov,TRUE
catalog.gpo.gov,TRUE
cic.ndu.edu,TRUE
clerk.house.gov,TRUE
constitutioncenter.org,TRUE
consumer.ftc.gov,TRUE
consumercomplaints.fcc.gov,TRUE
contact.darpa.mil,TRUE
corp.commissaries.com,TRUE
discover.dtic.mil,TRUE
dra.gov,TRUE
eca.state.gov,TRUE
eclkc.ohs.acf.hhs.gov,TRUE
egov.uscis.gov,TRUE
eldercare.acl.gov,TRUE
es.usps.com,TRUE
espanol.epa.gov,TRUE
espanol.mycreditunion.gov,TRUE
espanol.ncua.gov,TRUE
espanol.ninds.nih.gov,TRUE
fasab.gov,TRUE
federallabs.org,TRUE
findahealthcenter.hrsa.gov,TRUE
forms.federalreserveconsumerhelp.gov,TRUE
frederick.cancer.gov,TRUE
goldwater.scholarsapply.org,TRUE
gsaauctions.gov,TRUE
health.gov,TRUE
help.cbp.gov,TRUE
highways.dot.gov,TRUE
home.treasury.gov,TRUE
hudgov-answers.force.com,TRUE
ies.ed.gov,TRUE
inl.gov,TRUE
installations.militaryonesource.mil,TRUE
jfsc.ndu.edu,TRUE
juvenilecouncil.ojp.gov,TRUE
locator.ice.gov,TRUE
mapping.ncua.gov,TRUE
medlineplus.gov,TRUE
minorityhealth.hhs.gov,TRUE
moversguide.usps.com,TRUE
my.uscis.gov,TRUE
nccdb.fmcsa.dot.gov,TRUE
ncd.gov,TRUE
nces.ed.gov,TRUE
ni-u.edu,TRUE
nicic.gov,TRUE
nifa.usda.gov,TRUE
nij.ojp.gov,TRUE
nmb.gov,TRUE
npin.cdc.gov,TRUE
nsd.rdc.noaa.gov,TRUE
ntsb.gov,TRUE
nwc.ndu.edu,TRUE
oceanservice.noaa.gov,TRUE
offices.sc.egov.usda.gov,TRUE
oig.hhs.gov,TRUE
ojjdp.ojp.gov,TRUE
ojp.gov,TRUE
oldcc.gov,TRUE
onrr.gov,TRUE
osc.gov,TRUE
peoplesearch.hud.gov,TRUE
portal.uspto.gov,TRUE
postalinspectors.uspis.gov,TRUE
postalpro.usps.com,TRUE
prod.stb.gov,TRUE
railroads.dot.gov,TRUE
register.state.gov,TRUE
rmi.marines.com,TRUE
rrb.gov,TRUE
rsa.ed.gov,TRUE
salud.nih.gov,TRUE
secure.ssa.gov,TRUE
srnl.doe.gov,TRUE
stats.bls.gov,TRUE
studentaid.gov,TRUE
support.nlm.nih.gov,TRUE
tips.fbi.gov,TRUE
tools.usps.com,TRUE
trade.gov,TRUE
tricare.mil,TRUE
usps.force.com,TRUE
ustda.gov,TRUE
usun.usmission.gov,TRUE
westpoint.edu,TRUE
1800runaway.org,TRUE
abilityone.gov,TRUE
abmc.gov,TRUE
access-board.gov,TRUE
acf.hhs.gov,TRUE
achp.gov,TRUE
acquisition.gov,TRUE
acus.gov,TRUE
af.mil,TRUE
afrc.af.mil,TRUE
afreserve.com,TRUE
africom.mil,TRUE
aging.senate.gov,TRUE
ahrq.gov,TRUE
airforce.com,TRUE
alhurra.com,TRUE
ameslab.gov,TRUE
ams.usda.gov,TRUE
amtrak.com,TRUE
anl.gov,TRUE
aoc.gov,TRUE
aphis.usda.gov,TRUE
arc.gov,TRUE
archives.gov,TRUE
arctic.gov,TRUE
armfor.uscourts.gov,TRUE
army.mil,TRUE
ars.usda.gov,TRUE
arts.gov,TRUE
atf.gov,TRUE
atsdr.cdc.gov,TRUE
bea.gov,TRUE
bia.gov,TRUE
bis.doc.gov,TRUE
bjs.gov,TRUE
blm.gov,TRUE
bls.gov,TRUE
bnl.gov,TRUE
boem.gov,TRUE
bop.gov,TRUE
bpa.gov,TRUE
bsee.gov,TRUE
bts.gov,TRUE
cancer.gov,TRUE
capitol.gov,TRUE
cbo.gov,TRUE
cbp.gov,TRUE
cdc.gov,TRUE
centcom.mil,TRUE
cfo.gov,TRUE
cftc.gov,TRUE
chcoc.gov,TRUE
childwelfare.gov,TRUE
choosemyplate.gov,TRUE
cia.gov,TRUE
cio.gov,TRUE
cisa.gov,TRUE
clinicaltrials.gov,TRUE
"cms.gov, recursos en español",TRUE
cms.gov,TRUE
cnic.navy.mil,TRUE
commerce.gov,TRUE
commissaries.com,TRUE
consumer.ftc.gov,TRUE
consumerfinance.gov,TRUE
copyright.gov,TRUE
cpsc.gov,TRUE
csb.gov,TRUE
csce.gov,TRUE
csosa.gov,TRUE
cybercom.mil,TRUE
darpa.mil,TRUE
dau.edu,TRUE
dcaa.mil,TRUE
dcma.mil,TRUE
dcsa.mil,TRUE
dea.gov,TRUE
defense.gov,TRUE
denali.gov,TRUE
dfas.mil,TRUE
dfc.gov,TRUE
"dhs.gov, información en español",TRUE
dhs.gov,TRUE
dia.mil,TRUE
dla.mil,TRUE
dnfsb.gov,TRUE
dni.gov,TRUE
doi.gov,TRUE
dol.gov,TRUE
donotcall.gov,TRUE
dpaa.mil,TRUE
dsca.mil,TRUE
dtra.mil,TRUE
eda.gov,TRUE
eeoc.gov,TRUE
eia.gov,TRUE
energy.gov,TRUE
epa.gov,TRUE
ers.usda.gov,TRUE
eucom.mil,TRUE
exim.gov,TRUE
export.gov,TRUE
faa.gov,TRUE
fanniemae.com,TRUE
fas.usda.gov,TRUE
fbi.gov,TRUE
fca.gov,TRUE
fcc.gov,TRUE
fcsic.gov,TRUE
fda.gov,TRUE
fdic.gov,TRUE
feb.gov,TRUE
fec.gov,TRUE
federalreserve.gov,TRUE
fema.gov,TRUE
ferc.gov,TRUE
fhfa.gov,TRUE
firescience.gov,TRUE
fisheries.noaa.gov,TRUE
fjc.gov,TRUE
fletc.gov,TRUE
floodsmart.gov,TRUE
fmc.gov,TRUE
fmcsa.dot.gov,TRUE
fmshrc.gov,TRUE
fnal.gov,TRUE
fns.usda.gov,TRUE
frtib.gov,TRUE
fs.usda.gov,TRUE
fsa.usda.gov,TRUE
fsis.usda.gov,TRUE
ftc.gov,TRUE
fvap.gov,TRUE
gao.gov,TRUE
ginniemae.gov,TRUE
goarmy.com,TRUE
gsa.gov,TRUE
health.mil,TRUE
hhs.gov,TRUE
hrsa.gov,TRUE
hud.gov,TRUE
hudexchange.info,TRUE
hudoig.gov,TRUE
huduser.gov,TRUE
iaf.gov,TRUE
ice.gov,TRUE
imls.gov,TRUE
improveirs.org,TRUE
inaugural.senate.gov,TRUE
insidevoa.com,TRUE
invasivespeciesinfo.gov,TRUE
investor.gov,TRUE
irs.gov,TRUE
jamesmadison.gov,TRUE
jcs.mil,TRUE
jlab.org,TRUE
jobcorps.gov,TRUE
jpeocbrnd.osd.mil,TRUE
jusfc.gov,TRUE
justice.gov,TRUE
kennedy-center.org,TRUE
knowyouroptions.com,TRUE
lanl.gov,TRUE
lbl.gov,TRUE
legislative.noaa.gov,TRUE
llnl.gov,TRUE
loc.gov,TRUE
lsc.gov,TRUE
macpac.gov,TRUE
marines.mil,TRUE
maritime.dot.gov,TRUE
mbda.gov,TRUE
mcc.gov,TRUE
mda.mil,TRUE
medicaid.gov,TRUE
moneyfactory.gov,TRUE
msha.gov,TRUE
mspb.gov,TRUE
mvd.usace.army.mil,TRUE
myplate.gov,TRUE
nal.usda.gov,TRUE
nasa.gov,TRUE
nass.usda.gov,TRUE
nationalguard.com,TRUE
nationalguard.mil,TRUE
nationalservice.gov,TRUE
navy.com,TRUE
navy.mil,TRUE
nbrc.gov,TRUE
nccih.nih.gov,TRUE
ncua.gov,TRUE
nei.nih.gov,TRUE
netl.doe.gov,TRUE
news.uscg.mil,TRUE
nhlbi.nih.gov,TRUE
nidcd.nih.gov,TRUE
nidcr.nih.gov,TRUE
niddk.nih.gov,TRUE
nifc.gov,TRUE
nigc.gov,TRUE
nigms.nih.gov,TRUE
nih.gov,TRUE
nimh.nih.gov,TRUE
ninds.nih.gov,TRUE
nlm.nih.gov,TRUE
nlrb.gov,TRUE
nmfs.noaa.gov,TRUE
noaa.gov,TRUE
