target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_other,source_list_mil_1,source_list_mil_2,source_list_dod_public,source_list_dotmil,source_list_final_url_websites,source_list_house_117th,source_list_senate_117th,source_list_gpo_fdlp,source_list_cisa,source_list_dod_2025,source_list_dap_2,source_list_usagov_clicks,source_list_usagov_clicks_mil,source_list_search_gov,source_list_search_gov_mil,source_list_public_inventory,source_list_non_gov_mil,source_list_govt_urls,source_list_hyperlink_domains,base_domain,top_level_domain,filtered
2020census.gov,,,,2020census.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,false
fingerprint-adminportal.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,false
fingerprint-adminportal.stage.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
fingerprint-checkin.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,false
fingerprint.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,false
fingerprint.dev.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
fingerprint.stage.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
recruitment.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,false
recruitment.stage.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
abandonedmines.gov,,,,abandonedmines.gov,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,abandonedmines.gov,gov,false
accessibility.gov,,,,accessibility.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,accessibility.gov,gov,false
admongo.gov,,,,admongo.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,admongo.gov,gov,false
game.admongo.gov,,,,admongo.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,admongo.gov,gov,false
alaskacenters.gov,,,,alaskacenters.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,alaskacenters.gov,gov,false
americathebeautifulquarters.gov,,,,americathebeautifulquarters.gov,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,americathebeautifulquarters.gov,gov,false
askkaren.gov,,,,askkaren.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,askkaren.gov,gov,false
m.askkaren.gov,,,,askkaren.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,askkaren.gov,gov,false
atfonline.gov,,,,atfonline.gov,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,atfonline.gov,gov,false
befoodsafe.gov,,,,befoodsafe.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,befoodsafe.gov,gov,false
bfem.gov,,,,bfem.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bfem.gov,gov,false
clone.bfem.gov,,,,bfem.gov,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bfem.gov,gov,false
test.bfem.gov,,,,bfem.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bfem.gov,gov,true
bja.gov,,,,bja.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,bja.gov,gov,false
pmhctoolkit.bja.gov,,,,bja.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bja.gov,gov,false
uat-preview.bja.gov,,,,bja.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bja.gov,gov,true
uat-www.bja.gov,,,,bja.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bja.gov,gov,true
bosque.gov,,,,bosque.gov,false,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bosque.gov,gov,false
brainhealth.gov,,,,brainhealth.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,brainhealth.gov,gov,false
broadband.gov,,,,broadband.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,broadband.gov,gov,false
gis.broadband.gov,,,,broadband.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,broadband.gov,gov,false
streaming.broadband.gov,,,,broadband.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,broadband.gov,gov,false
buildingamerica.gov,,,,buildingamerica.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,buildingamerica.gov,gov,false
businessusa.gov,,,,businessusa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,businessusa.gov,gov,false
app.buyaccessible.gov,,,,buyaccessible.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,buyaccessible.gov,gov,false
buyaccessible.gov,,,,buyaccessible.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,buyaccessible.gov,gov,false
buyusa.gov,,,,buyusa.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,buyusa.gov,gov,false
search.buyusa.gov,,,,buyusa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,buyusa.gov,gov,false
cep.gov,,,,cep.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cep.gov,gov,false
cerebrosano.gov,,,,cerebrosano.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cerebrosano.gov,gov,false
cfda.gov,,,,cfda.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cfda.gov,gov,false
autodiscover.cncsoig.gov,,,,cncsoig.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cncsoig.gov,gov,true
cncsoig.gov,,,,cncsoig.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cncsoig.gov,gov,false
pd.cncsoig.gov,,,,cncsoig.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cncsoig.gov,gov,false
consumeraction.gov,,,,consumeraction.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,consumeraction.gov,gov,false
consumerfinancialbureau.gov,,,,consumerfinancialbureau.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,consumerfinancialbureau.gov,gov,false
consumerprotection.gov,,,,consumerprotection.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,consumerprotection.gov,gov,false
coralreef.gov,,,,coralreef.gov,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,coralreef.gov,gov,false
coronavirustesting.gov,,,,coronavirustesting.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,coronavirustesting.gov,gov,false
crimevictims.gov,,,,crimevictims.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,crimevictims.gov,gov,false
uat-www.crimevictims.gov,,,,crimevictims.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,crimevictims.gov,gov,true
