target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_other,source_list_mil_1,source_list_mil_2,source_list_dod_public,source_list_dotmil,source_list_final_url_websites,source_list_house_117th,source_list_senate_117th,source_list_gpo_fdlp,source_list_cisa,source_list_dod_2025,source_list_dap_2,source_list_usagov_clicks,source_list_usagov_clicks_mil,source_list_search_gov,source_list_search_gov_mil,source_list_public_inventory,base_domain,top_level_domain,filtered
cms.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,false,false,false,true,false,true,true,false,true,false,false,cms.gov,gov,true
preprodfan.gov,Executive,Department of State,Bureau of Information Resources Management (IRM),,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,preprodfan.gov,gov,true
connect.gov,Executive,U.S. Department of Agriculture,Office of the Chief Information Officer,,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,connect.gov,gov,true
access-board.gov,Executive,United States Access Board,U.S Access Board,,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,true,false,true,false,false,access-board.gov,gov,true
mail.gov,Executive,United States Postal Service,,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,mail.gov,gov,true
scinet-test.gov,Judicial,Supreme Court of the United States,,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,scinet-test.gov,gov,true
dolores-staging.18f.gov,Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",18f.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18f.gov,gov,true
federalist-docs-staging.18f.gov,Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",18f.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18f.gov,gov,true
federalist-staging.18f.gov,Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",18f.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18f.gov,gov,true
identity-dev-docs.18f.gov,Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",18f.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18f.gov,gov,true
site-162.sites-dev.federalist.18f.gov,Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",18f.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18f.gov,gov,true
testing-cookbook.18f.gov,Executive,General Services Administration,"GSA,FAS,Technology Transformation Service",18f.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,18f.gov,gov,true
fingerprint-adminportal.stage.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
fingerprint.dev.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
fingerprint.stage.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
recruitment.stage.2020census.gov,,,,2020census.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2020census.gov,gov,true
autodiscover.abilityone.gov,Executive,United States AbilityOne Commission,Committee for Purchase From People Who Are Blind or Severely Disabled,abilityone.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,abilityone.gov,gov,true
webmail.abmc.gov,Executive,American Battle Monuments Commission,,abmc.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,abmc.gov,gov,true
sts.access-board.gov,Executive,United States Access Board,U.S Access Board,access-board.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,access-board.gov,gov,true
dev-nadrc.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
dev-olderindians.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
dev-oralhealth.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagealzheimers.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
