target_url,base_domain_pulse,source_list_pulse
18f.gov,18f.gov,TRUE
accessibility.18f.gov,18f.gov,TRUE
acqstack-journeymap.18f.gov,18f.gov,TRUE
ads.18f.gov,18f.gov,TRUE
agile-bpa.18f.gov,18f.gov,TRUE
agile-labor-categories.18f.gov,18f.gov,TRUE
agile.18f.gov,18f.gov,TRUE
api-all-the-x.18f.gov,18f.gov,TRUE
api-program.18f.gov,18f.gov,TRUE
api-usability-testing.18f.gov,18f.gov,TRUE
atf-eregs.18f.gov,18f.gov,TRUE
atul-docker-presentation.18f.gov,18f.gov,TRUE
automated-testing-playbook.18f.gov,18f.gov,TRUE
before-you-ship.18f.gov,18f.gov,TRUE
blogging-guide.18f.gov,18f.gov,TRUE
boise.18f.gov,18f.gov,TRUE
brand.18f.gov,18f.gov,TRUE
c2.18f.gov,18f.gov,TRUE
cap.18f.gov,18f.gov,TRUE
charlie.18f.gov,18f.gov,TRUE
chat.18f.gov,18f.gov,TRUE
climate-data-user-study.18f.gov,18f.gov,TRUE
compliance-viewer.18f.gov,18f.gov,TRUE
content-guide.18f.gov,18f.gov,TRUE
continua11y.18f.gov,18f.gov,TRUE
contracting-cookbook.18f.gov,18f.gov,TRUE
design-principles-guide.18f.gov,18f.gov,TRUE
digital-acquisition-playbook.18f.gov,18f.gov,TRUE
digitalaccelerator.18f.gov,18f.gov,TRUE
dolores-app.18f.gov,18f.gov,TRUE
dolores-staging.18f.gov,18f.gov,TRUE
eng-hiring.18f.gov,18f.gov,TRUE
federalist-docs-staging.18f.gov,18f.gov,TRUE
federalist-docs.18f.gov,18f.gov,TRUE
federalist-landing-template.18f.gov,18f.gov,TRUE
federalist-modern-team-template.18f.gov,18f.gov,TRUE
federalist-report-template.18f.gov,18f.gov,TRUE
federalist-staging.18f.gov,18f.gov,TRUE
federalist.18f.gov,18f.gov,TRUE
federalistapp.18f.gov,18f.gov,TRUE
fedspendingtransparency.18f.gov,18f.gov,TRUE
frontend.18f.gov,18f.gov,TRUE
fugacious.18f.gov,18f.gov,TRUE
govconnect.18f.gov,18f.gov,TRUE
grouplet-playbook.18f.gov,18f.gov,TRUE
guides-template.18f.gov,18f.gov,TRUE
guides.18f.gov,18f.gov,TRUE
handbook.18f.gov,18f.gov,TRUE
iaa-forms.18f.gov,18f.gov,TRUE
identity-dev-docs.18f.gov,18f.gov,TRUE
innovation-toolkit-prototype.18f.gov,18f.gov,TRUE
jobs.18f.gov,18f.gov,TRUE
join.18f.gov,18f.gov,TRUE
lean-product-design.18f.gov,18f.gov,TRUE
markdown-helper.18f.gov,18f.gov,TRUE
methods.18f.gov,18f.gov,TRUE
micropurchase.18f.gov,18f.gov,TRUE
modularcontracting.18f.gov,18f.gov,TRUE
open-source-guide.18f.gov,18f.gov,TRUE
open-source-program.18f.gov,18f.gov,TRUE
pages.18f.gov,18f.gov,TRUE
paid-leave-prototype.18f.gov,18f.gov,TRUE
partnership-playbook.18f.gov,18f.gov,TRUE
performance-gov-research.18f.gov,18f.gov,TRUE
plain-language-tutorial.18f.gov,18f.gov,TRUE
private-eye.18f.gov,18f.gov,TRUE
product-guide.18f.gov,18f.gov,TRUE
requests.18f.gov,18f.gov,TRUE
site-162.sites-dev.federalist.18f.gov,18f.gov,TRUE
slides.18f.gov,18f.gov,TRUE
testing-cookbook.18f.gov,18f.gov,TRUE
tock.18f.gov,18f.gov,TRUE
ux-guide.18f.gov,18f.gov,TRUE
writing-lab-guide.18f.gov,18f.gov,TRUE
2020census.gov,2020census.gov,TRUE
fingerprint-adminportal.2020census.gov,2020census.gov,TRUE
fingerprint-adminportal.stage.2020census.gov,2020census.gov,TRUE
fingerprint-checkin.2020census.gov,2020census.gov,TRUE
fingerprint.2020census.gov,2020census.gov,TRUE
fingerprint.dev.2020census.gov,2020census.gov,TRUE
fingerprint.stage.2020census.gov,2020census.gov,TRUE
recruitment.2020census.gov,2020census.gov,TRUE
recruitment.stage.2020census.gov,2020census.gov,TRUE
9-11commission.gov,9-11commission.gov,TRUE
911.gov,911.gov,TRUE
resourcecenter.911.gov,911.gov,TRUE
911commission.gov,911commission.gov,TRUE
abandonedmines.gov,abandonedmines.gov,TRUE
abilityone.gov,abilityone.gov,TRUE
autodiscover.abilityone.gov,abilityone.gov,TRUE
distributor.abilityone.gov,abilityone.gov,TRUE
jwodmail.abilityone.gov,abilityone.gov,TRUE
pl.abilityone.gov,abilityone.gov,TRUE
plimsvote.abilityone.gov,abilityone.gov,TRUE
plimsws.abilityone.gov,abilityone.gov,TRUE
plimswsdev.abilityone.gov,abilityone.gov,TRUE
vpn2.abilityone.gov,abilityone.gov,TRUE
abmc.gov,abmc.gov,TRUE
webmail.abmc.gov,abmc.gov,TRUE
access-board.gov,access-board.gov,TRUE
cts.access-board.gov,access-board.gov,TRUE
sts.access-board.gov,access-board.gov,TRUE
accessibility.gov,accessibility.gov,TRUE
acf.gov,acf.gov,TRUE
achp.gov,achp.gov,TRUE
abledata.acl.gov,acl.gov,TRUE
acl.gov,acl.gov,TRUE
agid.acl.gov,acl.gov,TRUE
agidredirect.acl.gov,acl.gov,TRUE
ak3.acl.gov,acl.gov,TRUE
aoa.acl.gov,acl.gov,TRUE
apps.acl.gov,acl.gov,TRUE
data.acl.gov,acl.gov,TRUE
dev-nadrc.acl.gov,acl.gov,TRUE
dev-olderindians.acl.gov,acl.gov,TRUE
dev-oralhealth.acl.gov,acl.gov,TRUE
devagid.acl.gov,acl.gov,TRUE
devagingstats.acl.gov,acl.gov,TRUE
devapps.acl.gov,acl.gov,TRUE
develdercare.acl.gov,acl.gov,TRUE
devlongtermcare.acl.gov,acl.gov,TRUE
devnadrc.acl.gov,acl.gov,TRUE
devncea.acl.gov,acl.gov,TRUE
devncler.acl.gov,acl.gov,TRUE
devnlrc.acl.gov,acl.gov,TRUE
devnwd.acl.gov,acl.gov,TRUE
devnwdmt.acl.gov,acl.gov,TRUE
devoam.acl.gov,acl.gov,TRUE
devolderindians.acl.gov,acl.gov,TRUE
devoralhealth.acl.gov,acl.gov,TRUE
devtbi.acl.gov,acl.gov,TRUE
devweaad.acl.gov,acl.gov,TRUE
eldercare.acl.gov,acl.gov,TRUE
icdr.acl.gov,acl.gov,TRUE
longtermcare.acl.gov,acl.gov,TRUE
mis.acl.gov,acl.gov,TRUE
nadrc.acl.gov,acl.gov,TRUE
ncea.acl.gov,acl.gov,TRUE
noa.acl.gov,acl.gov,TRUE
nwdmt.acl.gov,acl.gov,TRUE
oaaps-pilot.acl.gov,acl.gov,TRUE
oam.acl.gov,acl.gov,TRUE
olderindians.acl.gov,acl.gov,TRUE
refreshmis.acl.gov,acl.gov,TRUE
registerolderindians.acl.gov,acl.gov,TRUE
reporting-pilot.acl.gov,acl.gov,TRUE
sirs.acl.gov,acl.gov,TRUE
smpship.acl.gov,acl.gov,TRUE
stagealzheimers.acl.gov,acl.gov,TRUE
stageaoa.acl.gov,acl.gov,TRUE
