target_url,source_list_dap
tools.usps.com,TRUE
ncbi.nlm.nih.gov,TRUE
nhc.noaa.gov,TRUE
pubmed.ncbi.nlm.nih.gov,TRUE
secure.login.gov,TRUE
reg.usps.com,TRUE
usps.com,TRUE
informeddelivery.usps.com,TRUE
medlineplus.gov,TRUE
forecast.weather.gov,TRUE
irs.gov,TRUE
travel.state.gov,TRUE
weather.gov,TRUE
cdc.gov,TRUE
ssa.gov,TRUE
fema.gov,TRUE
disasterassistance.gov,TRUE
va.gov,TRUE
uscis.gov,TRUE
usajobs.gov,TRUE
nps.gov,TRUE
secure.ssa.gov,TRUE
ais.usvisa-info.com,TRUE
studentaid.gov,TRUE
fda.gov,TRUE
ceac.state.gov,TRUE
nesdis.noaa.gov,TRUE
safety.fhwa.dot.gov,TRUE
medicare.gov,TRUE
usa.gov,TRUE
radar.weather.gov,TRUE
noaa.gov,TRUE
justice.gov,TRUE
whitehouse.gov,TRUE
sec.gov,TRUE
egov.uscis.gov,TRUE
cancer.gov,TRUE
myhealth.va.gov,TRUE
tsp.gov,TRUE
esta.cbp.dhs.gov,TRUE
healthcare.gov,TRUE
my.uscis.gov,TRUE
nhlbi.nih.gov,TRUE
science.nasa.gov,TRUE
pubchem.ncbi.nlm.nih.gov,TRUE
nasa.gov,TRUE
gsaadvantage.gov,TRUE
epa.gov,TRUE
cms.gov,TRUE
bls.gov,TRUE
cbp.gov,TRUE
tsa.gov,TRUE
sam.gov,TRUE
covidtests.gov,TRUE
ecfr.gov,TRUE
about.usps.com,TRUE
star.nesdis.noaa.gov,TRUE
state.gov,TRUE
faq.usps.com,TRUE
ustraveldocs.com,TRUE
fs.usda.gov,TRUE
store.usps.com,TRUE
earthquake.usgs.gov,TRUE
archives.gov,TRUE
nsopw.gov,TRUE
opm.gov,TRUE
dol.gov,TRUE
ttp.cbp.dhs.gov,TRUE
nhtsa.gov,TRUE
(other),TRUE
vote.gov,TRUE
bop.gov,TRUE
hhs.gov,TRUE
niddk.nih.gov,TRUE
acis.eoir.justice.gov,TRUE
osha.gov,TRUE
federalregister.gov,TRUE
usgs.gov,TRUE
clinicaltrials.gov,TRUE
census.gov,TRUE
login.gov,TRUE
energy.gov,TRUE
mhvidp-prod.myhealth.va.gov,TRUE
search.usa.gov,TRUE
fbi.gov,TRUE
dhs.gov,TRUE
i94.cbp.dhs.gov,TRUE
sba.gov,TRUE
defense.gov,TRUE
faa.gov,TRUE
eric.ed.gov,TRUE
hud.gov,TRUE
uspto.gov,TRUE
aviationweather.gov,TRUE
eauth.va.gov,TRUE
consumerfinance.gov,TRUE
tsaenrollmentbyidemia.tsa.dhs.gov,TRUE
portal.cms.gov,TRUE
fhwa.dot.gov,TRUE
spc.noaa.gov,TRUE
treasurydirect.gov,TRUE
fns.usda.gov,TRUE
covidtests.gov,TRUE
accessdata.fda.gov,TRUE
nimh.nih.gov,TRUE
apod.nasa.gov,TRUE
ndbc.noaa.gov,TRUE
ttp.dhs.gov,TRUE
home.treasury.gov,TRUE
msc.fema.gov,TRUE
eyes.nasa.gov,TRUE
pptform.state.gov,TRUE
vsearch.nlm.nih.gov,TRUE
fincen.gov,TRUE
waterdata.usgs.gov,TRUE
my.navy.mil,TRUE
consumer.ftc.gov,TRUE
water.noaa.gov,TRUE
www-ncbi-nlm-nih-gov.translate.goog,TRUE
oceanservice.noaa.gov,TRUE
login.gov,TRUE
gsa.gov,TRUE
common.usembassy.gov,TRUE
ftc.gov,TRUE
careeronestop.org,TRUE
spotthestation.nasa.gov,TRUE
nia.nih.gov,TRUE
trade.gov,TRUE
boiefiling.fincen.gov,TRUE
tsdr.uspto.gov,TRUE
cisa.gov,TRUE
myplate.gov,TRUE
ipps-a.army.mil,TRUE
blast.ncbi.nlm.nih.gov,TRUE
holdmail.usps.com,TRUE
history.state.gov,TRUE
dailymed.nlm.nih.gov,TRUE
nida.nih.gov,TRUE
genome.gov,TRUE
eeoc.gov,TRUE
passportstatus.state.gov,TRUE
airnow.gov,TRUE
exclusions.oig.hhs.gov,TRUE
