target_url,omb_idea_public,source_list_omb_idea
1.usa.gov,TRUE,TRUE
101arw.ang.af.mil,TRUE,TRUE
102iw.ang.af.mil,TRUE,TRUE
103aw.ang.af.mil,TRUE,TRUE
104fw.ang.af.mil,TRUE,TRUE
105aw.ang.af.mil,TRUE,TRUE
106rqw.ang.af.mil,TRUE,TRUE
107attackwing.ang.af.mil,TRUE,TRUE
108thwing.ang.af.mil,TRUE,TRUE
109aw.ang.af.mil,TRUE,TRUE
10af.afrc.af.mil,TRUE,TRUE
10millionpatents.uspto.gov,TRUE,TRUE
10thaamdc.army.mil,TRUE,TRUE
10thmarines.marines.mil,TRUE,TRUE
10x.gsa.gov,TRUE,TRUE
110wg.ang.af.mil,TRUE,TRUE
111attackwing.ang.af.mil,TRUE,TRUE
113wg.ang.af.mil,TRUE,TRUE
114fw.ang.af.mil,TRUE,TRUE
115fw.ang.af.mil,TRUE,TRUE
116acw.ang.af.mil,TRUE,TRUE
117arw.ang.af.mil,TRUE,TRUE
118wg.ang.af.mil,TRUE,TRUE
119wg.ang.af.mil,TRUE,TRUE
11bm.xray.aps.anl.gov,TRUE,TRUE
11thairbornedivision.army.mil,TRUE,TRUE
11thmeu.marines.mil,TRUE,TRUE
120thairliftwing.ang.af.mil,TRUE,TRUE
121arw.ang.af.mil,TRUE,TRUE
122fw.ang.af.mil,TRUE,TRUE
123aw.ang.af.mil,TRUE,TRUE
124thfighterwing.ang.af.mil,TRUE,TRUE
125fw.ang.af.mil,TRUE,TRUE
126arw.ang.af.mil,TRUE,TRUE
127wg.ang.af.mil,TRUE,TRUE
128arw.ang.af.mil,TRUE,TRUE
129rqw.ang.af.mil,TRUE,TRUE
12af.acc.af.mil,TRUE,TRUE
12bm.xray.aps.anl.gov,TRUE,TRUE
12cab.army.mil,TRUE,TRUE
12ftw.af.mil,TRUE,TRUE
12id.xray.aps.anl.gov,FALSE,TRUE
12thmcd.marines.mil,TRUE,TRUE
130aw.ang.af.mil,TRUE,TRUE
131bw.ang.af.mil,TRUE,TRUE
132dwing.ang.af.mil,TRUE,TRUE
133aw.ang.af.mil,TRUE,TRUE
134arw.ang.af.mil,TRUE,TRUE
136aw.ang.af.mil,TRUE,TRUE
137sow.ang.af.mil,TRUE,TRUE
138fw.ang.af.mil,TRUE,TRUE
139aw.ang.af.mil,TRUE,TRUE
13thmeu.marines.mil,TRUE,TRUE
140wg.ang.af.mil,TRUE,TRUE
141arw.ang.af.mil,TRUE,TRUE
142wg.ang.af.mil,TRUE,TRUE
143aw.ang.af.mil,TRUE,TRUE
144fw.ang.af.mil,TRUE,TRUE
145aw.ang.af.mil,TRUE,TRUE
146aw.ang.af.mil,TRUE,TRUE
147atkw.ang.af.mil,TRUE,TRUE
148fw.ang.af.mil,TRUE,TRUE
149fw.ang.af.mil,TRUE,TRUE
150sow.ang.af.mil,TRUE,TRUE
151arw.ang.af.mil,TRUE,TRUE
152aw.ang.af.mil,TRUE,TRUE
153aw.ang.af.mil,TRUE,TRUE
154wg.ang.af.mil,TRUE,TRUE
155arw.ang.af.mil,TRUE,TRUE
156wg.ang.af.mil,TRUE,TRUE
157arw.ang.af.mil,TRUE,TRUE
158fw.ang.af.mil,TRUE,TRUE
159fw.ang.af.mil,TRUE,TRUE
15af.acc.af.mil,TRUE,TRUE
15thmeu.marines.mil,TRUE,TRUE
15wing.af.mil,TRUE,TRUE
161arw.ang.af.mil,TRUE,TRUE
162wing.ang.af.mil,TRUE,TRUE
163atkw.ang.af.mil,TRUE,TRUE
164aw.ang.af.mil,TRUE,TRUE
165aw.ang.af.mil,TRUE,TRUE
166aw.ang.af.mil,TRUE,TRUE
167aw.ang.af.mil,TRUE,TRUE
168wg.ang.af.mil,TRUE,TRUE
169fw.ang.af.mil,TRUE,TRUE
16af.af.mil,TRUE,TRUE
171arw.ang.af.mil,TRUE,TRUE
172aw.ang.af.mil,TRUE,TRUE
173fw.ang.af.mil,TRUE,TRUE
174attackwing.ang.af.mil,TRUE,TRUE
176wg.ang.af.mil,TRUE,TRUE
177fw.ang.af.mil,TRUE,TRUE
178wing.ang.af.mil,TRUE,TRUE
180fw.ang.af.mil,TRUE,TRUE
182aw.ang.af.mil,TRUE,TRUE
183wg.ang.af.mil,TRUE,TRUE
184iw.ang.af.mil,TRUE,TRUE
185arw.ang.af.mil,TRUE,TRUE
186arw.ang.af.mil,TRUE,TRUE
187fw.ang.af.mil,TRUE,TRUE
188wg.ang.af.mil,TRUE,TRUE
189aw.ang.af.mil,TRUE,TRUE
18af.amc.af.mil,TRUE,TRUE
18f.gsa.gov,TRUE,TRUE
190arw.ang.af.mil,TRUE,TRUE
192wg.ang.af.mil,TRUE,TRUE
193sow.ang.af.mil,TRUE,TRUE
194wg.ang.af.mil,TRUE,TRUE
1950census.archives.gov,TRUE,TRUE
195wg.ang.af.mil,TRUE,TRUE
1997-2001.state.gov,TRUE,TRUE
19bcd.army.mil,TRUE,TRUE
19january2017snapshot.epa.gov,TRUE,TRUE
19january2021snapshot.epa.gov,TRUE,TRUE
1af.acc.af.mil,TRUE,TRUE
1stmardiv.marines.mil,TRUE,TRUE
1stmaw.marines.mil,TRUE,TRUE
1stmcd.marines.mil,TRUE,TRUE
1stmlg.marines.mil,TRUE,TRUE
1tsc.army.mil,TRUE,TRUE
2001-2009.commerce.gov,TRUE,TRUE
2001-2009.state.gov,TRUE,TRUE
2009-2017-fpc.state.gov,TRUE,TRUE
2009-2017-usun.state.gov,TRUE,TRUE
2009-2017.state.gov,TRUE,TRUE
2010-2014.commerce.gov,TRUE,TRUE
2012-keystonepipeline-xl.state.gov,TRUE,TRUE
2014-2017.commerce.gov,TRUE,TRUE
2014-2018.firstnet.gov,TRUE,TRUE
2017-2021.commerce.gov,TRUE,TRUE
2017-2021.state.gov,TRUE,TRUE
20af.af.mil,TRUE,TRUE
20cbrne.army.mil,TRUE,TRUE
20watersheds.epa.gov,TRUE,TRUE
21apr.ed.gov,FALSE,TRUE
21tsc.army.mil,TRUE,TRUE
22007apply.gov,TRUE,TRUE
22af.afrc.af.mil,TRUE,TRUE
22ndmeu.marines.mil,TRUE,TRUE
24thmeu.marines.mil,TRUE,TRUE
26thmeu.marines.mil,TRUE,TRUE
29palms.marines.mil,TRUE,TRUE
2af.aetc.af.mil,TRUE,TRUE
2cr.army.mil,TRUE,TRUE
2id.korea.army.mil,TRUE,TRUE
2idb.xray.aps.anl.gov,TRUE,TRUE
2ndmardiv.marines.mil,TRUE,TRUE
2ndmarines.marines.mil,TRUE,TRUE
2ndmaw.marines.mil,TRUE,TRUE
2ndmlg.marines.mil,TRUE,TRUE
2sigbde.army.mil,TRUE,TRUE
301fw.afrc.af.mil,TRUE,TRUE
302aw.afrc.af.mil,TRUE,TRUE
307bw.afrc.af.mil,TRUE,TRUE
310sw.afrc.af.mil,TRUE,TRUE
315aw.afrc.af.mil,TRUE,TRUE
31stmeu.marines.mil,TRUE,TRUE
33fw.af.mil,TRUE,TRUE
340bpricing.hrsa.gov,FALSE,TRUE
340bregistration.hrsa.gov,FALSE,TRUE
349amw.afrc.af.mil,TRUE,TRUE
352sow.af.mil,TRUE,TRUE
353sow.af.mil,TRUE,TRUE
37trw.af.mil,TRUE,TRUE
388fw.acc.af.mil,TRUE,TRUE
3dhrs.epa.gov,TRUE,TRUE
3dmaggs.larc.nasa.gov,TRUE,TRUE
3rdmardiv.marines.mil,TRUE,TRUE
3rdmaw.marines.mil,TRUE,TRUE
3rdmeb.marines.mil,TRUE,TRUE
3rdmlg.marines.mil,TRUE,TRUE
400yaahc.gov,TRUE,TRUE
403wg.afrc.af.mil,TRUE,TRUE
405d.hhs.gov,TRUE,TRUE
409csb.army.mil,TRUE,TRUE
413ftg.afrc.af.mil,TRUE,TRUE
419fw.afrc.af.mil,TRUE,TRUE
41fab.army.mil,TRUE,TRUE
433aw.afrc.af.mil,TRUE,TRUE
442fw.afrc.af.mil,TRUE,TRUE
445aw.afrc.af.mil,TRUE,TRUE
446aw.afrc.af.mil,TRUE,TRUE
459arw.afrc.af.mil,TRUE,TRUE
477fg.afrc.af.mil,TRUE,TRUE
492sow.af.mil,TRUE,TRUE
4af.afrc.af.mil,TRUE,TRUE
4innovation-impl.cms.gov,FALSE,TRUE
4innovation.cms.gov,FALSE,TRUE
4thmcd.marines.mil,TRUE,TRUE
501csw.usafe.af.mil,TRUE,TRUE
505ccw.acc.af.mil,TRUE,TRUE
507arw.afrc.af.mil,TRUE,TRUE
512aw.afrc.af.mil,TRUE,TRUE
514amw.afrc.af.mil,TRUE,TRUE
521amow.af.mil,TRUE,TRUE
53rdwing.af.mil,TRUE,TRUE
552acw.acc.af.mil,TRUE,TRUE
557weatherwing.af.mil,TRUE,TRUE
55comcam.army.mil,TRUE,TRUE
5af.pacaf.af.mil,TRUE,TRUE
5gchallenge.ntia.gov,TRUE,TRUE
60plus.smokefree.gov,TRUE,TRUE
618tacc.amc.af.mil,TRUE,TRUE
620forecasts.app.cloud.gov,FALSE,TRUE
624rsg.afrc.af.mil,TRUE,TRUE
6thmarines.marines.mil,TRUE,TRUE
6thmcd.marines.mil,TRUE,TRUE
7-seas.gsfc.nasa.gov,TRUE,TRUE
7af.pacaf.af.mil,TRUE,TRUE
7atc.army.mil,TRUE,TRUE
