target_url,source_list_uscourts
url,TRUE
2www.gud.uscourts.gov,TRUE
2www.id.uscourts.gov,TRUE
2www.ned.uscourts.gov,TRUE
ak.fd.org,TRUE
aln.fd.org,TRUE
arw.fd.org,TRUE
ct.fd.org,TRUE
dc.fd.org,TRUE
flm.fd.org,TRUE
fpdcdca.org,TRUE
ks.fd.org,TRUE
mie.fd.org,TRUE
mow.fd.org,TRUE
ne.fd.org,TRUE
nj.fd.org,TRUE
nm.fd.org,TRUE
nyn.fd.org,TRUE
okn.fd.org,TRUE
or.fd.org,TRUE
pam.fd.org,TRUE
paw.fd.org,TRUE
pr.fd.org,TRUE
probation.nysd.uscourts.gov,TRUE
twitter.com,TRUE
txn.fd.org,TRUE
txw.fd.org,TRUE
ut.fd.org,TRUE
vae.fd.org,TRUE
vaw.fd.org,TRUE
vm233:3,TRUE
vm233:3 javascript:void(0),TRUE
vt.fd.org,TRUE
waw.fd.org,TRUE
wvn.fd.org,TRUE
wvs.fd.org,TRUE
akb.uscourts.gov,TRUE
akd.uscourts.gov,TRUE
akp.uscourts.gov,TRUE
almb.uscourts.gov,TRUE
almd.uscourts.gov,TRUE
alnb.uscourts.gov,TRUE
alnd.uscourts.gov,TRUE
alsb.uscourts.gov,TRUE
alsd.uscourts.gov,TRUE
alsp.uscourts.gov,TRUE
are.uscourts.gov,TRUE
areb.uscourts.gov,TRUE
arep.uscourts.gov,TRUE
arwd.uscourts.gov,TRUE
arwp.uscourts.gov,TRUE
azb.uscourts.gov,TRUE
azd.uscourts.gov,TRUE
azp.uscourts.gov,TRUE
azpt.uscourts.gov,TRUE
ca1.uscourts.gov,TRUE
ca10.uscourts.gov,TRUE
ca11.uscourts.gov,TRUE
ca2.uscourts.gov,TRUE
ca3.uscourts.gov,TRUE
ca4.uscourts.gov,TRUE
ca5.uscourts.gov,TRUE
ca6.uscourts.gov,TRUE
ca7.uscourts.gov,TRUE
ca8.uscourts.gov,TRUE
ca9.uscourts.gov,TRUE
cacb.uscourts.gov,TRUE
cacd.uscourts.gov,TRUE
cacp.uscourts.gov,TRUE
cacpt.uscourts.gov,TRUE
cadc.uscourts.gov,TRUE
cae-fpd.org,TRUE
caeb.uscourts.gov,TRUE
caed.uscourts.gov,TRUE
caep.uscourts.gov,TRUE
cafc.uscourts.gov,TRUE
canb.uscourts.gov,TRUE
cand.uscourts.gov,TRUE
canp.uscourts.gov,TRUE
casb.uscourts.gov,TRUE
casd.uscourts.gov,TRUE
casp.uscourts.gov,TRUE
caspt.uscourts.gov,TRUE
cob.uscourts.gov,TRUE
cod.uscourts.gov,TRUE
cofpd.org,TRUE
ctb.uscourts.gov,TRUE
ctd.uscourts.gov,TRUE
dcb.uscourts.gov,TRUE
dcd.uscourts.gov,TRUE
dcp.uscourts.gov,TRUE
deb.uscourts.gov,TRUE
ded.uscourts.gov,TRUE
dep.uscourts.gov,TRUE
federaldefender.org,TRUE
flmb.uscourts.gov,TRUE
flmd.uscourts.gov,TRUE
fln.fd.org,TRUE
flnb.uscourts.gov,TRUE
flnd.uscourts.gov,TRUE
flnp.uscourts.gov,TRUE
flsb.uscourts.gov,TRUE
flsd.uscourts.gov,TRUE
fpdaz.org,TRUE
gamb.uscourts.gov,TRUE
gamd.uscourts.gov,TRUE
gamp.uscourts.gov,TRUE
ganb.uscourts.gov,TRUE
gand.uscourts.gov,TRUE
ganp.uscourts.gov,TRUE
gasb.uscourts.gov,TRUE
gasd.uscourts.gov,TRUE
gasp.uscourts.gov,TRUE
gup.uscourts.gov,TRUE
hib.uscourts.gov,TRUE
hid.uscourts.gov,TRUE
ianb.uscourts.gov,TRUE
iand.uscourts.gov,TRUE
iasb.uscourts.gov,TRUE
iasd.uscourts.gov,TRUE
iasp.uscourts.gov,TRUE
idp.uscourts.gov,TRUE
ilcb.uscourts.gov,TRUE
ilcd.uscourts.gov,TRUE
ilnb.uscourts.gov,TRUE
ilnd.uscourts.gov,TRUE
ilnp.uscourts.gov,TRUE
