target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other,is_gov
7trestingstate.ctss.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
801.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
858checklist.sandia.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
858facreq.sandia.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
8id.xray.aps.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
9-11commission.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
911commission.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
988.gov,,Executive,,,,,TRUE,FALSE,FALSE,FALSE,False
a130.cio.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
a2e.energy.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
a2e.pnnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
a2zcm5.nara.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaap.gsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaapextsb.pbs.gsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaapintsb.pbs.gsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aac08.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aacinquiry.fas.gsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aads.faa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aapi.data.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplan-api.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplan-api2.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplan.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandev-api-integration.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandev-api-training.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandev-api2-integration.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandev-api2-training.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandev-integration.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandev-training.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandevazure-api.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandevazure-api2.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aaplandevazure.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aasm.sc.egov.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ab2d.cms.gov,,Executive,,,,,FALSE,FALSE,FALSE,TRUE,False
abandonedmines.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
abapps.nlm.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abapps.wip.nlm.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abarrshvuat.ofac.treas.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abarrslite.ofac.treas.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abarrsliteuat.ofac.treas.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abc.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abcd.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abci.ornl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abfm.ksc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abilityone.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
abledata.acl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abmcscholar.gov,,Executive,,,,,TRUE,FALSE,FALSE,FALSE,False
about.myra.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aboutnci.cancer.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aboutusa.japan.usembassy.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
above.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abpdu.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abpxnd1ery.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abqhr.doeal.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abqservices.doeal.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
abs.cit.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac-1.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac-2.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac-sp.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac.arc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac.usajobs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac1.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ac2.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aca.api.healthcare.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acab.natcapwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
academy.arc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
