Website,Agency,Bureau
www.2id.korea.army.mil,Army,2nd Infantry Division (2ID) - Korea
www.41fab.army.mil,Army,41st Field Artillery Brigade
www.55comcam.army.mil,Army,55th Combat Camera
innovation.army.mil,Army,75th Innovations Command
medlinet.amedd.army.mil,Army,AMEDD Virtual Library
www.awg.army.mil,Army,Army Asymmetric Warfare Group
www.arcyber.army.mil,Army,Army Cyber Command
cyber.army.mil,Army,Army Cyber Institute
www.europeafrica.army.mil,Army,Army Europe
www.10thaamdc.army.mil,Army,Army Europe 10th Air & Missile Defense
www.12cab.army.mil,Army,Army Europe 12th Combat Aviation Brigade
www.skysoldiers.army.mil,Army,Army Europe 173rd Infantry Brigade Combat Team
www.19bcd.army.mil,Army,Army Europe 19th Battlefield Coordination Detachment
www.21tsc.army.mil,Army,Army Europe 21st Theater Sustainment Command
www.2cr.army.mil,Army,Army Europe 2nd Cavalry Regiment
www.2sigbde.army.mil,Army,Army Europe 2nd Theater Signal Brigade
www.afsbeurope.army.mil,Army,Army Europe 405th Army Field Support Brigade
www.409csb.army.mil,Army,Army Europe 409th Contracting Support Brigade
www.41fab.army.mil,Army,Army Europe 41st Field Artillery Brigade
www.7atc.army.mil,Army,Army Europe 7th Army Training Comand
www.band.eur.army.mil,Army,Army Europe Band & Chorus
www.asafm.army.mil,Army,Army Financial Management and Comptroller
www.afod.eur.army.mil,Army,Army Flight Operations Detachment
ig.army.mil,Army,Army IG
www.aepubs.eur.army.mil,Army,Army in Europe Library and Publishing
www.amc.army.mil,Army,Army Material Command
www.amlc.army.mil,Army,Army Medical Logistics Command
mrdg.health.mil,Army,Army Medical Research Directorate-Georgia
www.nrmc.amedd.army.mil,Army,Army North Atlantic Regional Medical Command
www.usarpac.army.mil,Army,Army Pacific
www.arcp.army.mil,Army,Army Recovery Care Program
recruiting.army.mil,Army,Army Recruiting Command
asb.army.mil,Army,Army Science Board
www.aschq.army.mil,Army,Army Sustainment Command
www.armyupress.army.mil,Army,Army University Press
usapc.army.mil,Army,ASC - U.S. Army Petroleum Center (USAPC)
www.pscc.army.mil,Army,ASC Packaging Storage and Containerization Center
bahc.nrmc.amedd.army.mil,Army,Barquist Army Health Clinic
www.ccad.army.mil,Army,Corpus Christi Army Depot
cyberdefensereview.army.mil,Army,Cyber Defense Review
daaf-wx.army.mil,Army,Davison Army Airfield (DAAF)
www.first.army.mil,Army,First Army
www.swcs.mil,Army,John F. Kennedy Special Warfare Center and School
www.jblmdesignstandards.army.mil,Army,Joint Base Lewis McChord Design Standards
jpeoaa.army.mil,Army,Joint Program Executive Office for Armaments & Ammunition (JPEO AA)
www.jpeocbrnd.osd.mil,Army,"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense (JPEO)"
kirk.tricare.mil,Army,Kirk U.S. Army Medical Health Clinic
www.letterkenny.army.mil,Army,Letterkenny Army Depot
www.ncolcoe.army.mil,Army,NCO Leadership Center of Excellence
www.ncoworldwide.army.mil,Army,NCO World Campus
www.dasadec.army.mil,Army,Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation
www.peosoldier.army.mil,Army,Program Executive Office Soldier
www.psmagazine.army.mil,Army,PS Magazine
phcp.health.mil,Army,Public Health Command - Pacific
mrc-europe.army.mil,Army,Regional Health Command Europe
www.rma.army.mil,Army,Rocky Mountain Arsenal
www.goarmysof.army.mil,Army,Special Operations Recruiting Battalion SORB(A)
smtc.dodlive.mil,Army,Strength Maintenance Training Center
www.tobyhanna.army.mil,Army,Tobyhanna Army Depot
www.amcom.army.mil,Army,U.S. Army Aviation and Missile Command
www.usarcent.army.mil,Army,U.S. Army Central
www.avmc.army.mil,Army,U.S. Army Combat Capabilities Development: Aviation and Missile Center
www.usafmcom.army.mil,Army,U.S. Army Financial Management Command
www.usarj.army.mil,Army,U.S. Army Japan
afrims.health.mil,Army,U.S. ARMY MEDICAL DIRECTORATE - ARMED FORCES RESEARCH INSTITUTE of MEDICAL SCIENCES (USAMD-AFRIMS)
www.usanato.army.mil,Army,U.S. Army Nato
www.arnorth.army.mil,Army,U.S. Army North
www.obtportal.army.mil,Army,U.S. Army Office of Business Transformation
usapc.army.mil,Army,U.S. Army Petroleum
www.usar.army.mil,Army,U.S. Army Reserve
www.armyreservewarriorcitizen.mil,Army,U.S. Army Reserve Strategic Communication/Warrior Citizen)
www.arsouth.army.mil,Army,U.S. Army South
www.smdc.army.mil,Army,U.S. Army Space and Missile Defense Command
www.psmagazine.army.mil,Army,U.S. Army Sustainment Command/PS Magazine
www.mepcom.army.mil,Army,U.S. Military Entrance Processing Command
www.wrair.army.mil,Army,Walter Reed Army Institute of Research (WRAIR)
www.poa.usace.army.mil,Army Corps of Engineers,Alaska District
www.spa.usace.army.mil,Army Corps of Engineers,Albuquerque District
www.agc.army.mil,Army Corps of Engineers,Army Geospatial Center
www.nab.usace.army.mil,Army Corps of Engineers,Baltimore District
www.lrb.usace.army.mil,Army Corps of Engineers,Buffalo District
www.sac.usace.army.mil,Army Corps of Engineers,Charleston District
www.lrc.usace.army.mil,Army Corps of Engineers,Chicago District
www.lre.usace.army.mil,Army Corps of Engineers,Detroit District
www.erdc.usace.army.mil,Army Corps of Engineers,ERDC
www.nau.usace.army.mil,Army Corps of Engineers,Europe District
www.pof.usace.army.mil,Army Corps of Engineers,Far East District
www.swf.usace.army.mil,Army Corps of Engineers,Fort Worth District
www.swg.usace.army.mil,Army Corps of Engineers,Galveston District
www.lrd.usace.army.mil,Army Corps of Engineers,Great Lakes/Ohio River Division
www.usace.army.mil,Army Corps of Engineers,Headquarters
www.poh.usace.army.mil,Army Corps of Engineers,Honolulu District
www.lrh.usace.army.mil,Army Corps of Engineers,Huntington District
www.iwr.usace.army.mil,Army Corps of Engineers,Institute for Water Resources
www.rmc.usace.army.mil,Army Corps of Engineers,"Institute for Water Resources, Risk Management Center"
www.saj.usace.army.mil,Army Corps of Engineers,Jacksonville District
www.poj.usace.army.mil,Army Corps of Engineers,Japan Engineer District
www.nwk.usace.army.mil,Army Corps of Engineers,Kansas City District
www.swl.usace.army.mil,Army Corps of Engineers,Little Rock District
www.spl.usace.army.mil,Army Corps of Engineers,Los Angeles District
www.lrl.usace.army.mil,Army Corps of Engineers,Louisville District
www.mvm.usace.army.mil,Army Corps of Engineers,Memphis District
www.tam.usace.army.mil,Army Corps of Engineers,Middle East District
www.mvd.usace.army.mil,Army Corps of Engineers,Mississippi Valley Division
www.sam.usace.army.mil,Army Corps of Engineers,Mobile District
www.lrn.usace.army.mil,Army Corps of Engineers,Nashville District
www.nae.usace.army.mil,Army Corps of Engineers,New England District
www.mvn.usace.army.mil,Army Corps of Engineers,New Orleans District
www.nan.usace.army.mil,Army Corps of Engineers,New York District
www.nao.usace.army.mil,Army Corps of Engineers,Norfolk District
www.nad.usace.army.mil,Army Corps of Engineers,North Atlantic Division
www.nwd.usace.army.mil,Army Corps of Engineers,Northwestern Division
www.nwo.usace.army.mil,Army Corps of Engineers,Omaha District
www.pod.usace.army.mil,Army Corps of Engineers,Pacific Ocean Division
www.nap.usace.army.mil,Army Corps of Engineers,Philadelphia District
www.lrp.usace.army.mil,Army Corps of Engineers,Pittsburgh District
www.nwp.usace.army.mil,Army Corps of Engineers,Portland District
www.mvr.usace.army.mil,Army Corps of Engineers,Rock Island District
www.spk.usace.army.mil,Army Corps of Engineers,Sacramento District
www.spn.usace.army.mil,Army Corps of Engineers,San Francisco District
www.sas.usace.army.mil,Army Corps of Engineers,Savannah District
www.nws.usace.army.mil,Army Corps of Engineers,Seattle District
www.sad.usace.army.mil,Army Corps of Engineers,South Atlantic Division
www.spd.usace.army.mil,Army Corps of Engineers,South Pacific Division
www.swd.usace.army.mil,Army Corps of Engineers,Southwestern Division
www.mvs.usace.army.mil,Army Corps of Engineers,St. Louis District
www.mvp.usace.army.mil,Army Corps of Engineers,St. Paul District
www.tad.usace.army.mil,Army Corps of Engineers,Transatlantic Division
www.swt.usace.army.mil,Army Corps of Engineers,Tulsa District
www.hnc.usace.army.mil,Army Corps of Engineers,"U.S. Army Engineering and Support Center, Huntsville"
www.publications.usace.army.mil,Army Corps of Engineers,USACE Publications
www.mvk.usace.army.mil,Army Corps of Engineers,Vicksburg District
www.nww.usace.army.mil,Army Corps of Engineers,Walla Walla District
www.saw.usace.army.mil,Army Corps of Engineers,Wilmington District
www.10thmarines.marines.mil,Marine Corps,10th Marine Regiment
www.11thmeu.marines.mil,Marine Corps,11th Marine Expeditionary Unit
www.12thmcd.marines.mil,Marine Corps,12th Marine Corps District
www.13thmeu.marines.mil,Marine Corps,13th Marine Expeditionary Unit
www.15thmeu.marines.mil,Marine Corps,15th Marine Expeditionary Unit
www.1stmaw.marines.mil,Marine Corps,1st Marine Aircraft Wing
www.1stmcd.marines.mil,Marine Corps,1st Marine Corps District
www.1stmardiv.marines.mil,Marine Corps,1st Marine Division
www.1stmlg.marines.mil,Marine Corps,1st Marine Logistics Group
www.22ndmeu.marines.mil,Marine Corps,22nd Marine Expeditionary Unit
www.26thmeu.marines.mil,Marine Corps,26th Marine Expeditionary Unit
www.2ndmaw.marines.mil,Marine Corps,2nd Marine Aircraft Wing
www.2ndmardiv.marines.mil,Marine Corps,2nd Marine Division
www.2ndmeb.marines.mil,Marine Corps,2nd Marine Expeditionary Brigade
www.2ndmlg.marines.mil,Marine Corps,2nd Marine Logistics Group
www.2ndmarines.marines.mil,Marine Corps,2nd Marine Regiment
www.31stmeu.marines.mil,Marine Corps,31st Marine Expeditionary Unit
www.3rdmaw.marines.mil,Marine Corps,3rd Marine Aircraft Wing
www.3rdmardiv.marines.mil,Marine Corps,3rd Marine Division
www.3rdmeb.marines.mil,Marine Corps,3rd Marine Expeditionary Brigade
www.3rdmlg.marines.mil,Marine Corps,3rd Marine Logistics Group
www.4thmcd.marines.mil,Marine Corps,4th Marine Corps District
www.tf515.marines.mil,Marine Corps,"5th Marine Expeditionary Brigade (Command Element, Marine Forces Central Command (Forward) )'"
www.6thmcd.marines.mil,Marine Corps,6th Marine Corps District
www.6thmarines.marines.mil,Marine Corps,6th Marine Regiment
www.8thmcd.marines.mil,Marine Corps,8th Marine Corps District
www.8thmarines.marines.mil,Marine Corps,8th Marine Regiment
www.9thmcd.marines.mil,Marine Corps,9th Marine Corps District
www.ar.marines.mil,Marine Corps,Administration and Resource Management
www.acmc.marines.mil,Marine Corps,Assistant Commandant of the Marine Corps
www.cbirf.marines.mil,Marine Corps,Chemical Biological Incident Response Force
www.fuji.marines.mil,Marine Corps,Combined Arms Training Center Camp Fuji
www.cmc.marines.mil,Marine Corps,Commandant of the Marine Corps
www.cd.marines.mil,Marine Corps,Communication Directorate
www.marforres.marines.mil,Marine Corps,Community of Interest
www.hqmc.marines.mil,Marine Corps,Deployment Processing Command-East
www.cd.marines.mil,Marine Corps,Director of the Marine Corps Staff
www.hqmc.marines.mil,Marine Corps,Expeditionary Energy Office
www.trngcmd.marines.mil,Marine Corps,Field Medical Training Battalion-East
www.trngcmd.marines.mil,Marine Corps,Field Medical Training Battalion-West
www.hqmc.marines.mil,Marine Corps,Headquarters Marine Corps
www.hrom.marines.mil,Marine Corps,HUMAN RESOURCES AND ORGANIZATIONAL MANAGEMENT BRANCH (ARH)
www.imef.marines.mil,Marine Corps,I Marine Expeditionary Force
www.iimef.marines.mil,Marine Corps,II Marine Expeditionary Force
www.iiimef.marines.mil,Marine Corps,III Marine Expeditionary Force
www.igmc.marines.mil,Marine Corps,Inspector General of the Marine Corps
www.iandl.marines.mil,Marine Corps,Installations and Logistics
www.hqmc.marines.mil,Marine Corps,Intelligence
www.lawenforcement.marines.mil,Marine Corps,Law Enforcement
www.macg28.marines.mil,Marine Corps,Marine Air Control Group 28
www.mag14.marines.mil,Marine Corps,Marine Aircraft Group 14
www.mag26.marines.mil,Marine Corps,Marine Aircraft Group 26
www.mag29.marines.mil,Marine Corps,Marine Aircraft Group 29
www.mag31.marines.mil,Marine Corps,Marine Aircraft Group 31
www.aviation.marines.mil,Marine Corps,Marine Aviation
www.barracks.marines.mil,Marine Corps,Marine Barracks
www.quantico.marines.mil,Marine Corps,Marine Corps Air Facility Quantico
www.29palms.marines.mil,Marine Corps,Marine Corps Air Ground Combat Center Twenty-nine Palms
www.beaufort.marines.mil,Marine Corps,Marine Corps Air Station Beaufort
www.mcaspendleton.marines.mil,Marine Corps,Marine Corps Air Station Camp Pendleton
www.cherrypoint.marines.mil,Marine Corps,Marine Corps Air Station Cherry Point
www.mcasfutenma.marines.mil,Marine Corps,Marine Corps Air Station Futenma
www.mcasiwakuni.marines.mil,Marine Corps,Marine Corps Air Station Iwakuni
www.mcasiwakunijp.marines.mil,Marine Corps,Marine Corps Air Station Iwakuni-Japanese
www.miramar.marines.mil,Marine Corps,Marine Corps Air Station Miramar
www.miramar-ems.marines.mil,Marine Corps,Marine Corps Air Station Miramar-EMS
www.newriver.marines.mil,Marine Corps,Marine Corps Air Station New River
www.mcasyuma.marines.mil,Marine Corps,Marine Corps Air Station Yuma
www.mcbblaz.marines.mil,Marine Corps,Marine Corps Base Camp Blaz
www.mcbbutler.marines.mil,Marine Corps,Marine Corps Base Camp Butler
www.lejeune.marines.mil,Marine Corps,Marine Corps Base Camp Lejeune
www.pendleton.marines.mil,Marine Corps,Marine Corps Base Camp Pendleton
www.mcbhawaii.marines.mil,Marine Corps,Marine Corps Base Hawaii
www.quantico.marines.mil,Marine Corps,Marine Corps Base Quantico
www.bic.marines.mil,Marine Corps,Marine Corps Blount Island Command
www.cdi.marines.mil,Marine Corps,Marine Corps Combat Development Command
www.trngcmd.marines.mil,Marine Corps,Marine Corps Combat Service Support School
www.hqmc.marines.mil,Marine Corps,Marine Corps Defense Services Organization
www.trngcmd.marines.mil,Marine Corps,Marine Corps Engineer School
www.marcent.marines.mil,Marine Corps,Marine Corps Forces Central Command
www.marforeur.marines.mil,Marine Corps,Marine Corps Forces Europe/Africa
www.marforres.marines.mil,Marine Corps,Marine Corps Forces Reserves
www.marforsouth.marines.mil,Marine Corps,Marine Corps Forces South
www.marsoc.marines.mil,Marine Corps,Marine Corps Forces Special Operations Command
www.hqmc.marines.mil,Marine Corps,Marine Corps Helicopter Squadron One
www.mcicom.marines.mil,Marine Corps,"Marine Corps Installations Command, MCICOM"
www.mcieast.marines.mil,Marine Corps,Marine Corps Installations East
www.mcipac.marines.mil,Marine Corps,Marine Corps Installations Pacific
www.japan.marines.mil,Marine Corps,Marine Corps Installations Pacific (MCIPAC) Communication Strategy and Operations Official Japanese Website
www.mciwest.marines.mil,Marine Corps,Marine Corps Installations West
www.mcjrotc.marines.mil,Marine Corps,Marine Corps Junior ROTC Training and Education Command
www.albany.marines.mil,Marine Corps,Marine Corps Logistics Base Albany
www.mclbbarstow.marines.mil,Marine Corps,Marine Corps Logistics Base Barstow
www.logcom.marines.mil,Marine Corps,Marine Corps Logistics Command
www.29palms.marines.mil,Marine Corps,Marine Corps Mountain Warfare Training Center
www.mcrdpi.marines.mil,Marine Corps,Marine Corps Recruit Depot Parris Island
www.mcrdsd.marines.mil,Marine Corps,"Marine Corps Recruit Depot, San Diego"
www.mcrc.marines.mil,Marine Corps,Marine Corps Recruiting Command
www.mcsfr.marines.mil,Marine Corps,Marine Corps Security Force Regiment
www.mcsf-nola.marines.mil,Marine Corps,Marine Corps Support Facility New Orleans
www.marcorsyscom.marines.mil,Marine Corps,Marine Corps Systems Command
www.marcorsyscom.marines.mil,Marine Corps,Marine Corps Tactical Systems Support Activity
www.tecom.marines.mil,Marine Corps,Marine Corps Training and Education Command
www.mcwl.marines.mil,Marine Corps,Marine Corps Warfighting Laboratory
www.marforcom.marines.mil,Marine Corps,Marine Forces Command
www.music.marines.mil,Marine Corps,Marine Music
www.tf515.marines.mil,Marine Corps,"Naval Amphibious Force, TF 51-5th Marine Expeditionary Brigade"
www.okinawa.marines.mil,Marine Corps,Okinawa Marines
www.hqmc.marines.mil,Marine Corps,"Plans, Policies and Operations"
www.peols.marines.mil,Marine Corps,Program Executive Officer Land Systems
www.hqmc.marines.mil,Marine Corps,Programs and Resources
www.ready.marines.mil,Marine Corps,Ready Marine Corps
www.safety.marines.mil,Marine Corps,Safety
www.trngcmd.marines.mil,Marine Corps,School of Infantry-East
www.trngcmd.marines.mil,Marine Corps,School of Infantry-West
www.smmc.marines.mil,Marine Corps,Sergeant Major of the Marine Corps
www.hqmc.marines.mil,Marine Corps,Staff Judge Advocate
www.marines.mil,Marine Corps,The Official United States Marine Corps Public Website
www.marineband.marines.mil,Marine Corps,The United States Marine Band
www.drumcorps.marines.mil,Marine Corps,The United States Marine Drum & Bugle Corps
www.trngcmd.marines.mil,Marine Corps,Train the Trainer School
www.trngcmd.marines.mil,Marine Corps,Training Command
www.comcam.marines.mil,Marine Corps,U.S. Marine Corps Combat Camera
www.fitness.marines.mil,Marine Corps,U.S. Marine Corps Fitness
www.marforcyber.marines.mil,Marine Corps,U.S. Marine Corps Forces Cyberspace Command
www.marfork.marines.mil,Marine Corps,"U.S. Marine Corps Forces, Korea"
www.marforpac.marines.mil,Marine Corps,"U.S. Marine Corps Forces, Pacific"
www.usmcu.edu,Marine Corps,U.S. Marine Corps University
www.woundedwarrior.marines.mil,Marine Corps,Wounded Warrior Regiment
www.24thmeu.marines.mil,Marine Corps,www.24thmeu.marines.mil
allhands.navy.mil,Navy,All Hands Magazine of the U.S. Navy
www.amphib7flt.navy.mil,Navy,Amphibious Force 7th Fleet
www.bracpmo.navy.mil,Navy,Base Realignment and Closure (BRAC) Program Management Office
www.mynavyhr.navy.mil,Navy,BUPERS/Navy Personnel Command
www.med.navy.mil,Navy,Bureau of Medicine & Surgery
www.mynavyhr.navy.mil,Navy,Bureau of Naval Personnel/Navy Personnel Command
www.cvw5.navy.mil,Navy,Carrier Air Wing 5 (CVW-5)
ffr.cnic.navy.mil,Navy,CNIC Fleet and Family Readiness
www.ccsg15.navy.mil,Navy,Command Carrier Strike Group Fifteen
www.csp.navy.mil,Navy,Command Submarine Force Pacific Fleet
ndw.cnic.navy.mil,Navy,"Commandant, Naval District Washington"
www.clwp.navy.mil,Navy,"Commander Logistics Group, Western Pacific"
www.c7f.navy.mil,Navy,Commander U.S. 7th Fleet
www.csg4.usff.navy.mil,Navy,"Commander, Carrier Strike Group 4"
jrm.cnic.navy.mil,Navy,"Commander, Joint Region Marianas"
www.navifor.usff.navy.mil,Navy,"Commander, Naval Information Forces"
www.cnmoc.usff.navy.mil,Navy,"Commander, Naval Meteorology and Oceanography Command"
www.surflant.usff.navy.mil,Navy,"Commander, Naval Surface Force Atlantic"
www.surfpac.navy.mil,Navy,"Commander, Naval Surface Force, U.S. Pacific Fleet"
www.necc.usff.navy.mil,Navy,"Commander, Navy Expeditionary Combat Command"
www.cnic.navy.mil,Navy,"Commander, Navy Installations Command (CNIC)"
cnreurafcent.cnic.navy.mil,Navy,"Commander, Navy Region Europe, Africa, Central"
cnrh.cnic.navy.mil,Navy,"Commander, Navy Region Hawaii"
cnrma.cnic.navy.mil,Navy,"Commander, Navy Region Mid-Atlantic"
cnrnw.cnic.navy.mil,Navy,"Commander, Navy Region Northwest"
cnrse.cnic.navy.mil,Navy,"Commander, Navy Region Southeast"
cnrsw.cnic.navy.mil,Navy,"Commander, Navy Region Southwest"
cnrj.cnic.navy.mil,Navy,"Commander, Navy Region, Japan"
cnrk.cnic.navy.mil,Navy,"Commander, Navy Region, Korea"
www.cprw1.navy.mil,Navy,"Commander, Patrol and Reconnaissance Wing One"
www.c2f.usff.navy.mil,Navy,"Commander, U.S. 2nd Fleet"
www.c3f.navy.mil,Navy,"Commander, U.S. 3rd Fleet"
www.cpf.navy.mil,Navy,"Commander, U.S. Pacific Fleet"
www.ewtgpac.navy.mil,Navy,Expeditionary Warfare Training Group
www.ffsp.navy.mil,Navy,Fleet and Family Support Program
www.fcc.navy.mil,Navy,Fleet Cyber Command/U.S. Tenth Fleet
frcse.navair.navy.mil,Navy,Fleet Readiness Center South East (FRCSE)
frcsw.navair.navy.mil,Navy,Fleet Readiness Center Southwest
www.c6f.navy.mil,Navy,LCPO for U.S. Naval Forces Europe-Africa/U.S. 6th Fleet
nmio.ise.gov,Navy,National Maritime Intelligence Office
www.airlant.usff.navy.mil,Navy,Naval Air Force U.S. Atlantic Fleet
www.airpac.navy.mil,Navy,"Naval Air Force, U.S. Pacific Fleet"
navalaviationnews.navylive.dodlive.mil,Navy,Naval Aviation News
www.ncis.navy.mil,Navy,Naval Criminal Investigative Service (NCIS)
www.netc.navy.mil,Navy,Naval Education and Training Command
atlantic.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Atlantic
exwc.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Engineering and Expeditionary Warfare Center
ncc.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Navy Crane Center
pacific.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Pacific
www.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command (NAVFAC)
navalsafetycenter.navy.mil,Navy,Naval Safety Center
www.navsea.navy.mil,Navy,NAVAL Sea Systems Command
www.nsw.navy.mil,Navy,Naval Special Warfare Command
scnewsltr.dodlive.mil,Navy,Naval Supply Corps Newsletter
www.navsup.navy.mil,Navy,Naval Supply Systems Command
www.netc.navy.mil,Navy,Navy Education and Training Command (NETC)
www.bootcamp.navy.mil,Navy,"Navy Education and Training Command (NETC), Bootcamp"
jag.navylive.dodlive.mil,Navy,Navy JAG
outreach.navy.mil,Navy,Navy Office of Community Outreach
www.cnrc.navy.mil,Navy,Navy Recruiting Command
www.navyreserve.navy.mil,Navy,Navy Reserve Forces Command (RESFOR)
www.nwdc.usff.navy.mil,Navy,Navy Warfare Development Command
www.oni.navy.mil,Navy,Office of Naval Intelligence
p2p.navy.mil,Navy,Performance To Plan
www.insurv.usff.navy.mil,Navy,President Board of Inspection and Survey
www.ready.navy.mil,Navy,Ready Navy
seabeemagazine.navylive.dodlive.mil,Navy,SeaBee Magazine
www.seaport.navy.mil,Navy,"SeaPort (Harnessing Power, Navigating Change"
www.sublant.usff.navy.mil,Navy,Submarine Force U.S. Atlantic Fleet
www.ttgp.navy.mil,Navy,"Tactical Training Group, Pacific"
www.usff.navy.mil,Navy,U.S. Fleet Forces
www.msc.usff.navy.mil,Navy,U.S. Military Sealift Command
www.nepa.navy.mil,Navy,U.S. National Environment Agency
www.usncc.edu,Navy,U.S. Naval Community College
www.cusnc.navy.mil,Navy,U.S. Naval Forces Central Command
www.fourthfleet.navy.mil,Navy,U.S. Naval Forces Southern Command / U.S. Fourth Fleet
www.nrl.navy.mil,Navy,U.S. Naval Research Laboratory
www.srf.navy.mil,Navy,"U.S. Naval Ship Repair Facility, Japan Regional Maintenance Center"
www.navy.mil,Navy,U.S. Navy
usnhistory.navylive.dodlive.mil,Navy,U.S. Navy History Blog
www.navyreserve.navy.mil,Navy,U.S. Navy Reserve
www.airpac.navy.mil,Navy,U.S. Pacific Fleet
www.atlanticarea.uscg.mil,Coast Guard,Atlantic Area
www.dcms.uscg.mil,Coast Guard,Deputy Commandant for Mission Support
www.dco.uscg.mil,Coast Guard,Deputy Commandant for Operations
www.forcecom.uscg.mil,Coast Guard,Forcecom
www.history.uscg.mil,Coast Guard,History
www.mycg.uscg.mil,Coast Guard,MyCG
www.mycg.uscg.mil,Coast Guard,MyCG
www.ncgm.uscg.mil,Coast Guard,National Coast Guard Museum
www.news.uscg.mil,Coast Guard,News
www.pacificarea.uscg.mil,Coast Guard,Pacific Area
www.reserve.uscg.mil,Coast Guard,Reserve
www.uscg.mil,Coast Guard,United States Coast Guard
al.ng.mil,National Guard,Alabama National Guard
ak.ng.mil,National Guard,Alaska National Guard
arkansas.nationalguard.mil,National Guard,Arkansas National Guard
www.army.nationalguard.mil,National Guard,Army National Guard
www.atterburymuscatatuck.in.ng.mil,National Guard,Atterbury Muscatatuck
co.ng.mil,National Guard,Colorado National Guard
ct.ng.mil,National Guard,Connecticut National Guard
dc.ng.mil,National Guard,D.C. National Guard
www.de.ng.mil,National Guard,Delaware National Guard
www.ftig.ng.mil,National Guard,Fort Indiantown Gap
ga.ng.mil,National Guard,Georgia National Guard
www.gu.ng.mil,National Guard,Guam National Guard
www.il.ngb.army.mil,National Guard,Illinois National Guard
www.in.ng.mil,National Guard,Indiana National Guard
ky.ng.mil,National Guard,Kentucky Guard
www.me.ngb.army.mil,National Guard,Maine National Guard
campedwards.ng.mil,National Guard,Massachusetts Army National Guard
minationalguard.dodlive.mil,National Guard,Michigan National Guard
www.moguard.ngb.mil,National Guard,Missouri National Guard
www.nationalguard.mil,National Guard,National Guard
www.ngbpmc.ng.mil,National Guard,National Guard Bureau Publications & Forms Library
nh.ng.mil,National Guard,New Hampshire National Guard
ok.ng.mil,National Guard,Oklahoma National Guard
www.pa.ng.mil,National Guard,Pennsylvania National Guard
ri.ng.mil,National Guard,Rhode Island National Guard
www.scguard.ng.mil,National Guard,South Carolina National Guard
ut.ng.mil,National Guard,Utah National Guard
vt.public.ng.mil,National Guard,Vermont National Guard
www.ngfamily.vt.gov,National Guard,Vermont National Guard Family Programs
vi.ng.mil,National Guard,Virgin Islands National Guard
va.ng.mil,National Guard,Virginia National Guard
www.wv.ng.mil,National Guard,West Virginia National Guard
www.buckley.spaceforce.mil,Space Force,Buckley Space Force Base
www.losangeles.spaceforce.mil,Space Force,Los Angeles Space Force Base
www.patrick.spaceforce.mil,Space Force,Patrick Space Force Base/Space Launch Delta 45
www.peterson.spaceforce.mil,Space Force,Peterson Space Force Base
www.schriever.spaceforce.mil,Space Force,Schriever Space Force Base
www.spoc.spaceforce.mil,Space Force,Space Operations Command (SPOC)
www.ssc.spaceforce.mil,Space Force,Space Systems Command
www.starcom.spaceforce.mil,Space Force,Space Training ad Readiness Command (STARCOM)
www.spaceforce.mil,Space Force,United States Space Force
www.vandenberg.spaceforce.mil,Space Force,Vandenberg Space Force Base
airforceacademy.tricare.mil,Defense Health Agency,10th Medical Group - Air Force Academy
AnacostiaBolling.tricare.mil,Defense Health Agency,11th Medical Squadron - Joint Base Anacostia-Bolling
Columbus.tricare.mil,Defense Health Agency,14th Medical Group - Columbus Air Force Base
goodfellow.tricare.mil,Defense Health Agency,17th Medical Group - Goodfellow Air Force Base
kadena.tricare.mil,Defense Health Agency,18th Medical Group - Kadena Air Base
littlerock.tricare.mil,Defense Health Agency,19th Medical Group - Little Rock Air Force Base
Hurlburt.tricare.mil,Defense Health Agency,1st Special Operations Medical Group - Hurlburt Field
shaw.tricare.mil,Defense Health Agency,20th Medical Group - Shaw Air Force Base
Peterson.tricare.mil,Defense Health Agency,21st Medical Group - Peterson Air Force Base
mcconnell.tricare.mil,Defense Health Agency,22d Medical Group - McConnell Air Force Base
moody.tricare.mil,Defense Health Agency,23d Medical Group - Moody Air Force Base
Cannon.tricare.mil,Defense Health Agency,27th Special Operations Medical Group - Cannon Air Force Base
Ellsworth.tricare.mil,Defense Health Agency,28th Medical Group - Ellsworth Air Force Base
barksdale.tricare.mil,Defense Health Agency,2d Medical Group - Barksdale Air Force Base
vandenberg.tricare.mil,Defense Health Agency,30th Medical Group - Vandenberg Air Force Base
andrews.tricare.mil,Defense Health Agency,316th Medical Group - Joint Base Andrews (Malcom Grow Medical Clinics and Surgery Center)
grandforks.tricare.mil,Defense Health Agency,319th Medical Group - Grand Forks Air Force Base
aviano.tricare.mil,Defense Health Agency,31st Medical Group - Aviano Air Base
tyndall.tricare.mil,Defense Health Agency,325th Medical Group - Tyndall Air Force Base
malmstrom.tricare.mil,Defense Health Agency,341st Medical Group - Malmstrom Air Force Base
eielson.tricare.mil,Defense Health Agency,354th Medical Group - Eielson Air Force Base
DavisMonthan.tricare.mil,Defense Health Agency,355th Medical Group - Davis-Monthan Air Force Base
