Domains,Agency,Bureau,Branch
af.mil,Department of Defense,Air Force,Executive
airdomainintelligence.mil,Department of Defense,Air Force,Executive
alsa.mil,Department of Defense,,Executive
army.mil,Department of Defense,Army,Executive
armyreservewarriorcitizen.mil,Department of Defense,Army,Executive
cac.mil,Department of Defense,,Executive
ccpo.mil,Department of Defense,,Executive
centcom.mil,Department of Defense,,Executive
cloud.mil,Department of Defense,,Executive
cto.mil,Department of Defense,,Executive
cyber.mil,Department of Defense,,Executive
cybercom.mil,Department of Defense,,Executive
darpa.mil,Department of Defense,,Executive
dc3.mil,Department of Defense,,Executive
dcaa.mil,Department of Defense,,Executive
dcma.mil,Department of Defense,,Executive
dcsa.mil,Department of Defense,,Executive
defenseculture.mil,Department of Defense,,Executive
defensesbirsttr.mil,Department of Defense,,Executive
dfas.mil,Department of Defense,,Executive
dhra.mil,Department of Defense,,Executive
dia.mil,Department of Defense,,Executive
dimoc.mil,Department of Defense,,Executive
disa.mil,Department of Defense,,Executive
dla.mil,Department of Defense,,Executive
dma.mil,Department of Defense,,Executive
dod.mil,Department of Defense,,Executive
dodcui.mil,Department of Defense,,Executive
dodig.mil,Department of Defense,,Executive
dodlive.mil,Department of Defense,,Executive
dodmantech.mil,Department of Defense,,Executive
dpaa.mil,Department of Defense,,Executive
dspo.mil,Department of Defense,,Executive
dss.mil,Department of Defense,,Executive
dtic.mil,Department of Defense,,Executive
dtra.mil,Department of Defense,,Executive
hacc.mil,Department of Defense,,Executive
health.mil,Department of Defense,,Executive
inherentresolve.mil,Department of Defense,,Executive
jb.mil,Department of Defense,,Executive
jbsa.mil,Department of Defense,Air Force,Executive
jcs.mil,Department of Defense,,Executive
jcu.mil,Department of Defense,,Executive
jecc.mil,Department of Defense,,Executive
jpra.mil,Department of Defense,,Executive
jtf-spacedefense.mil,Department of Defense,,Executive
jtnc.mil,Department of Defense,,Executive
jwac.mil,Department of Defense,,Executive
marines.mil,Department of Defense,Marine Corps,Executive
mda.mil,Department of Defense,,Executive
metc.mil,Department of Defense,,Executive
militaryonesource.mil,Department of Defense,,Executive
move.mil,Department of Defense,,Executive
nationalguard.mil,Department of Defense,National Guard,Executive
navy.mil,Department of Defense,Navy,Executive
ng.mil,Department of Defense,National Guard,Executive
nga.mil,Department of Defense,,Executive
ngb.mil,Department of Defense,National Guard,Executive
norad.mil,Department of Defense,,Executive
northcom.mil,Department of Defense,,Executive
osd.mil,Department of Defense,Army,Executive
pacom.mil,Department of Defense,,Executive
pfpa.mil,Department of Defense,,Executive
prs.mil,Department of Defense,,Executive
repi.mil,Department of Defense,,Executive
southcom.mil,Department of Defense,,Executive
spacecom.mil,Department of Defense,,Executive
spaceforce.mil,Department of Defense,Space Force,Executive
stratcom.mil,Department of Defense,,Executive
swcs.mil,Department of Defense,Army,Executive
tricare.mil,Department of Defense,,Executive
unc.mil,Department of Defense,,Executive
uscg.mil,Department of Defense,Coast Guard,Executive
usfj.mil,Department of Defense,,Executive
usfk.mil,Department of Defense,,Executive
whitehousecommsagency.mil,Department of Defense,,Executive
whs.mil,Department of Defense,,Executive
