target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_pulse,source_list_dap,source_manually_added
airuniversity.af.edu,af.edu,Executive,,,,,FALSE,FALSE,TRUE,FALSE
101arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
102iw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
103aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
104fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
105aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
106rqw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
107attackwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
108thwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
109aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
10af.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
110wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
111attackwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
113wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
114fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
115fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
116acw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
117arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
118wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
119wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
120thairliftwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
121arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
122fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
123aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
124thfighterwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
125fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
126arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
127wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
128arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
129rqw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
12af.acc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
12ftw.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
130aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
131bw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
132dwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
133aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
134arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
136aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
137sow.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
138fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
139aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
140wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
141arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
142wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
143aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
144fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
145aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
146aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
147atkw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
148fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
149fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
150sow.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
151arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
152aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
153aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
154wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
155arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
156wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
157arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
158fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
159fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
15af.acc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
15wing.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
161arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
162wing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
163atkw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
164aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
165aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
166aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
167aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
168wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
169fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
16af.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
171arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
172aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
173fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
174attackwing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
175wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
176wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
177fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
178wing.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
179aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
180fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
181iw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
182aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
183wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
184iw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
185arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
186arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
187fw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
188wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
189aw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
18af.amc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
190arw.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
192wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
193sow.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
194wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
195wg.ang.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
1af.acc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
20af.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
22af.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
2af.aetc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
301fw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
302aw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
307bw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
310sw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
315aw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
33fw.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
340ftg.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
349amw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
352sow.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
353sow.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
37trw.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
388fw.acc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
403wg.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
413ftg.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
419fw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
433aw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
442fw.afrc.af.mil,af.mil,Executive,,,,,FALSE,FALSE,TRUE,FALSE
