target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_mil_1,source_list_mil_2,omb_idea_public
acus.gov,Executive,Administrative Conference of the United States,Administrative Conference of the United States,,true,true,false,false,true,true,true,false,false,false,false,
achp.gov,Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,true,true,false,false,true,true,false,false,false,false,false,
preserveamerica.gov,Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,true,true,false,false,true,false,false,false,false,false,false,
abmc.gov,Executive,American Battle Monuments Commission,American Battle Monuments Commission,,true,true,true,true,true,true,false,false,false,false,false,true
amtrakoig.gov,Executive,AMTRAK,Office of Inspector General,,true,true,false,false,true,false,true,false,false,false,false,
arc.gov,Executive,Appalachian Regional Commission,Appalachian Regional Commission,,true,true,false,false,true,true,false,false,false,false,false,
asc.gov,Executive,Appraisal Subcommittee of the Federal Financial Institutions Examination Council,Appraisal Subcommittee,,true,true,true,false,true,false,false,false,true,false,false,
afrh.gov,Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,,true,true,false,false,true,true,false,false,false,false,false,
goldwaterscholarship.gov,Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,,true,false,false,true,false,false,false,false,false,false,false,true
cia.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,,true,true,false,false,true,true,true,false,false,false,false,
ic.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,,true,false,false,false,false,false,false,false,false,false,false,
istac.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,,true,false,false,false,false,false,false,false,false,false,false,
odci.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,,true,false,false,false,false,false,false,false,false,false,false,
opensource.gov,Executive,Central Intelligence Agency,DNI Open Source Center,,true,true,false,false,false,false,false,false,false,false,false,
osde.gov,Executive,Central Intelligence Agency,CIA\GCS OSEG,,true,false,false,false,false,false,false,false,false,false,false,
ucia.gov,Executive,Central Intelligence Agency,Central Intelligence Agency,,true,false,false,false,false,false,false,false,false,false,false,
coldcaserecords.gov,Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,,true,false,false,false,false,false,false,false,false,false,false,
cftc.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,true,true,false,true,true,true,false,true,false,false,
devcftc.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,false,false,false,false,false,false,false,false,false,false,
smartcheck.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,true,false,false,true,false,false,false,false,false,false,
whistleblower.gov,Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,true,true,true,false,true,false,true,false,false,false,false,
bcfp.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
cfpa.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,true,false,false,false,false,false,false,
cfpb.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,true,false,false,false,false,false,false,
consumerbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
consumerfinance.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,true,true,true,true,true,false,false,false,false,true
