target_url,source_list_other
ab2d.cms.gov,TRUE
eic.pad.pppo.gov,TRUE
eis-public-pricer.eos.gsa.gov,TRUE
fs.usda.gov,TRUE
pegasis.pad.pppo.gov,TRUE
portal.eos.gsa.gov,TRUE
www.accessdata.fda.gov,TRUE
