target_url,source_list_eotw
nps.gov,TRUE
usgs.gov,TRUE
aaa.si.edu,TRUE
www2.oge.gov,TRUE
arts.gov,TRUE
aad.archives.gov,TRUE
fws.gov,TRUE
anl.gov,TRUE
faa.gov,TRUE
uscis.gov,TRUE
fasab.gov,TRUE
nrcs.usda.gov,TRUE
nasa.gov,TRUE
weather.gov,TRUE
loc.gov,TRUE
ars.usda.gov,TRUE
fns.usda.gov,TRUE
phe.gov,TRUE
drugabuse.gov,TRUE
ncifrederick.cancer.gov,TRUE
cdc.gov,TRUE
abmc.gov,TRUE
census.gov,TRUE
aphis.usda.gov,TRUE
cpo.noaa.gov,TRUE
hhs.gov,TRUE
acce.jpl.nasa.gov,TRUE
osha.gov,TRUE
hrsa.gov,TRUE
science.nasa.gov,TRUE
epa.gov,TRUE
acetool.commerce.gov,TRUE
cbp.gov,TRUE
eplanning.blm.gov,TRUE
acf.hhs.gov,TRUE
archives.gov,TRUE
ice.gov,TRUE
achp.gov,TRUE
acl.gov,TRUE
nrc.gov,TRUE
transportation.gov,TRUE
state.gov,TRUE
acquisition.gov,TRUE
act-america.larc.nasa.gov,TRUE
archive.ahrq.gov,TRUE
actor.epa.gov,TRUE
acus.gov,TRUE
acwi.gov,TRUE
samhsa.gov,TRUE
va.gov,TRUE
ada.gov,TRUE
aviationweather.gov,TRUE
nia.nih.gov,TRUE
usadf.gov,TRUE
arc.gov,TRUE
adlnet.gov,TRUE
cia.gov,TRUE
adr.gov,TRUE
energy.gov,TRUE
ovc.ojp.gov,TRUE
hudexchange.info,TRUE
pls.llnl.gov,TRUE
eia.gov,TRUE
nist.gov,TRUE
nifa.usda.gov,TRUE
aps.anl.gov,TRUE
afdc.energy.gov,TRUE
aff.gov,TRUE
fema.gov,TRUE
ttb.gov,TRUE
atf.gov,TRUE
justice.gov,TRUE
afrh.gov,TRUE
fda.gov,TRUE
armedforcessports.defense.gov,TRUE
fisheries.noaa.gov,TRUE
nal.usda.gov,TRUE
dhs.gov,TRUE
agid.acl.gov,TRUE
noaa.gov,TRUE
agricola.nal.usda.gov,TRUE
nsf.gov,TRUE
bhw.hrsa.gov,TRUE
fpl.fs.fed.us,TRUE
data.hrsa.gov,TRUE
ahrq.gov,TRUE
usaid.gov,TRUE
hiv.gov,TRUE
airbornescience.jpl.nasa.gov,TRUE
navcen.uscg.gov,TRUE
usda.gov,TRUE
arcticlcc.org,TRUE
alcf.anl.gov,TRUE
hud.gov,TRUE
alfred.stlouisfed.org,TRUE
response.restoration.noaa.gov,TRUE
nces.ed.gov,TRUE
als.lbl.gov,TRUE
nlm.nih.gov,TRUE
nichd.nih.gov,TRUE
amberalert.ojp.gov,TRUE
ameslab.gov,TRUE
maritime.dot.gov,TRUE
abandonedmines.gov,TRUE
nih.gov,TRUE
ampd.epa.gov,TRUE
ams.usda.gov,TRUE
science.osti.gov,TRUE
irs.gov,TRUE
amtrak.com,TRUE
nssl.noaa.gov,TRUE
uscourts.gov,TRUE
ncdc.noaa.gov,TRUE
aoc.gov,TRUE
aoml.noaa.gov,TRUE
bis.doc.gov,TRUE
fbi.gov,TRUE
fsa.usda.gov,TRUE
alcoholpolicy.niaaa.nih.gov,TRUE
apod.nasa.gov,TRUE
appel.nasa.gov,TRUE
oese.ed.gov,TRUE
apti-learn.net,TRUE
airnow.gov,TRUE
dol.gov,TRUE
arc.fiscal.treasury.gov,TRUE
arctic.gov,TRUE
arl.noaa.gov,TRUE
armi.usgs.gov,TRUE
ers.usda.gov,TRUE
arpa-e.energy.gov,TRUE
congress.gov,TRUE
gpo.gov,TRUE
oiir.hq.nasa.gov,TRUE
asap.gov,TRUE
nass.usda.gov,TRUE
asc.llnl.gov,TRUE
asc.gov,TRUE
cce.nasa.gov,TRUE
science.gsfc.nasa.gov,TRUE
earthdata.nasa.gov,TRUE
directives.doe.gov,TRUE
bnl.gov,TRUE
lanl.gov,TRUE
ehs.lbl.gov,TRUE
saer.llnl.gov,TRUE
pnnl.gov,TRUE
pppl.gov,TRUE
sandia.gov,TRUE
srs.gov,TRUE
asias.faa.gov,TRUE
globalchange.gov,TRUE
bjs.gov,TRUE
airbornescience.nasa.gov,TRUE
aspe.hhs.gov,TRUE
chemm.nlm.nih.gov,TRUE
asr.science.energy.gov,TRUE
asrs.arc.nasa.gov,TRUE
fly.faa.gov,TRUE
atdd.noaa.gov,TRUE
phy.anl.gov,TRUE
espo.nasa.gov,TRUE
atsdr.cdc.gov,TRUE
bls.gov,TRUE
www3.epa.gov,TRUE
niaid.nih.gov,TRUE
nhtsa.gov,TRUE
fs.fed.us,TRUE
eda.gov,TRUE
nifc.gov,TRUE
bats.gov,TRUE
nigms.nih.gov,TRUE
osp.od.nih.gov,TRUE
cancercontrol.cancer.gov,TRUE
biospecimens.cancer.gov,TRUE
pwrc.usgs.gov,TRUE
ftc.gov,TRUE
bea.gov,TRUE
watersgeo.epa.gov,TRUE
energycodes.gov,TRUE
bia.gov,TRUE
bedes.lbl.gov,TRUE
fmcsa.dot.gov,TRUE
bep.gov,TRUE
ssabest.benefits.gov,TRUE
budgetlob.max.gov,TRUE
fiscal.treasury.gov,TRUE
medicaid.gov,TRUE
bids.state.gov,TRUE
bie.edu,TRUE
bioams.llnl.gov,TRUE
bison.usgs.gov,TRUE
bja.ojp.gov,TRUE
blast.ncbi.nlm.nih.gov,TRUE
blm.gov,TRUE
stats.bls.gov,TRUE
dod.defense.gov,TRUE
accessdata.fda.gov,TRUE
cms.gov,TRUE
cyber.dhs.gov,TRUE
boem.gov,TRUE
bop.gov,TRUE
usbr.gov,TRUE
bpa.gov,TRUE
bphc.hrsa.gov,TRUE
biomassboard.gov,TRUE
brads.nichd.nih.gov,TRUE
braininitiative.nih.gov,TRUE
cybercemetery.unt.edu,TRUE
brb.nci.nih.gov,TRUE
niehs.nih.gov,TRUE
bsee.gov,TRUE
www2.ntia.doc.gov,TRUE
ornl.gov,TRUE
bts.gov,TRUE
bva.va.gov,TRUE
ojp.gov,TRUE
bwt.cbp.gov,TRUE
nsa.gov,TRUE
usa.gov,TRUE
fhwa.dot.gov,TRUE
ssa.gov,TRUE
calclim.dri.edu,TRUE
www-calipso.larc.nasa.gov,TRUE
cams.llnl.gov,TRUE
ncats.nih.gov,TRUE
www2.ed.gov,TRUE
coastalscience.noaa.gov,TRUE
ods.od.nih.gov,TRUE
egis.hud.gov,TRUE
carve.ornl.gov,TRUE
yosemite.epa.gov,TRUE
computing.llnl.gov,TRUE
casl.gov,TRUE
collegecost.ed.gov,TRUE
uscourts.cavc.gov,TRUE
cbca.gov,TRUE
cbes.ornl.gov,TRUE
buoybay.noaa.gov,TRUE
cbo.gov,TRUE
nimhd.nih.gov,TRUE
medicalcountermeasures.gov,TRUE
cbexpress.acf.hhs.gov,TRUE
ccac.gov,TRUE
transit.dot.gov,TRUE
coast.noaa.gov,TRUE
federalreserve.gov,TRUE
cancer.gov,TRUE
consumerfinance.gov,TRUE
ncbi.nlm.nih.gov,TRUE
trade.gov,TRUE
genome.gov,TRUE
juvenilecouncil.ojp.gov,TRUE
ccmc.gsfc.nasa.gov,TRUE
