target_url,branch,source_list_non_gov_mil
manufacturingusa.com,Executive,TRUE
aaro.bie.edu,Executive,TRUE
moneyfactory.com,Executive,TRUE
tva.com,Executive,TRUE
usps.com,Executive,TRUE
armymwr.com,Executive,TRUE
ndu.edu,Executive,TRUE
,,TRUE
