target_url,source_list_dod_2025
100fss.com,TRUE
101starmyband.com,TRUE
110wg.ang.af.mil,TRUE
126arw.ang.af.mil,TRUE
12ftw.af.mil,TRUE
12thmlr.marines.mil,TRUE
151wg.af.mil,TRUE
175wg.ang.af.mil,TRUE
179cw.ang.af.mil,TRUE
181iw.ang.af.mil,TRUE
1id.army.mil,TRUE
1stio.army.mil,TRUE
2021dodtransition.defense.gov,TRUE
2025dodtransition.defense.gov,TRUE
21fss.com,TRUE
29palms.usmc-mccs.org,TRUE
2ndmeb.marines.mil,TRUE
300tharmyband.com,TRUE
340ftg.afrc.af.mil,TRUE
350sww.af.mil,TRUE
375fss.com,TRUE
39tharmyband.com,TRUE
3rdmarines.marines.mil,TRUE
3rdmlr.marines.mil,TRUE
40thidband.us,TRUE
460fss.com,TRUE
50fss.com,TRUE
51fss.com,TRUE
56ac.army.mil,TRUE
59mdw.af.mil,TRUE
68tmc.army.mil,TRUE
78tharmyband.org,TRUE
811pentagonfss.com,TRUE
82cons.com,TRUE
86fss.com,TRUE
8thandi.usmc-mccs.org,TRUE
908ftw.afrc.af.mil,TRUE
931arw.afrc.af.mil,TRUE
anacostiabolling.tricare.mil,TRUE
barstow.usmc-mccs.org,TRUE
elmendorfrichardson.tricare.mil,TRUE
"internalnetwork,thereisanourl",TRUE
lfsapps.mceits.usmc.mil,TRUE
langleyeustis.tricare.mil,TRUE
lewismcchord.tricare.mil,TRUE
mcguiredixlakehurst.tricare.mil,TRUE
mymsctfm.dc3n.navy.mil,TRUE
nsips.cloud.navy.mil,TRUE
pki-enabledurl:https:,TRUE
pearlharborhickam.tricare.mil,TRUE
peterson.tricare.mil,TRUE
productionhttps:,TRUE
sanclementeisland:https:,TRUE
stripes.com,TRUE
unclassifiedurl:https:\\seaspace-u.nswccd.navy.mil,TRUE
a-pes.mmrp.usmc.mil,TRUE
a2d1portal.navsea.navy.mil,TRUE
aa.usno.navy.mil,TRUE
aafb.militarymwrguam.com,TRUE
aafes.com,TRUE
aafesprem.imenu360.com,TRUE
aal.mil,TRUE
aaro.mil,TRUE
abacusmhs.health.mil,TRUE
ac.cto.mil,TRUE
academyadmissions.com,TRUE
accesscm.navy.mil,TRUE
acowits.defense.gov,TRUE
acq.osd.mil,TRUE
acqdemo.hci.mil,TRUE
acquisitioninnovation.darpa.mil,TRUE
acqweb.staging.acqebiz.mil,TRUE
acts.nmci.navy.smil.mil,TRUE
actsonline.army.mil,TRUE
addr.dencom.army.mil,TRUE
ade.navy.mil,TRUE
adfs.ncis.navy.mil,TRUE
admin.nag.navy.mil,TRUE
admin.prod.kinderspot.teambespin.us,TRUE
adss.dc3n.navy.mil,TRUE
aec.army.mil,TRUE
aeronautical.nga.mil,TRUE
af.okta.mil,TRUE
afaccelerators.com,TRUE
afaccessionscenter.af.mil,TRUE
afadsc.mil,TRUE
afbpap.experience.crmforce.mil,TRUE
afciviliancareers.com,TRUE
afcmrs.org,TRUE
afhistoryandmuseums.af.mil,TRUE
aflegalassistance.law.af.mil,TRUE
aflink-test.mil,TRUE
afn-now.myafn.mil,TRUE
afn.mil,TRUE
afnconnect.myafn.dodmedia.osd.mil,TRUE
afnorthes.dodea.edu,TRUE
afnorthmhs.dodea.edu,TRUE
afnwc.af.mil,TRUE
afresearchlab.com,TRUE
africacenter.org,TRUE
africom.mil,TRUE
afrl.af.mil,TRUE
afrl.hpc.mil,TRUE
afrotc.com,TRUE
afrts.net,TRUE
afrts.org,TRUE
afsas.safety.af.mil,TRUE
afscciviliancareers.com,TRUE
afscsoftware.dso.mil,TRUE
afsouth.af.mil,TRUE
afthunderbirds.com,TRUE
afwerx.com,TRUE
agc.army.mil,TRUE
agewebportal.erdc.dren.mil,TRUE
agp.navfac.navy.mil,TRUE
ahec.armywarcollege.edu,TRUE
ahrpo.army.mil,TRUE
ahss.usmc.mil,TRUE
ai.mil,TRUE
aim-ctx.ncdc.navy.mil,TRUE
aimtc.nuwc.navy.mil,TRUE
airforce.com,TRUE
airforcelibraries.libguides.com,TRUE
airforcespecialtactics.af.mil,TRUE
airforcetechconnect.org,TRUE
airforceweapons.com,TRUE
airshows.pa.hq.af.mil,TRUE
airuniversity.af.mil,TRUE
airworthiness.navair.navy.mil,TRUE
ala.stripes.com,TRUE
albany.usmc-mccs.org,TRUE
albrittonms.dodea.edu,TRUE
alconburyes.dodea.edu,TRUE
alconburymhs.dodea.edu,TRUE
alerts1.mcdsus.mcds.usmc.mil,TRUE
alm.csd.disa.mil,TRUE
