target_url,source_list_dotmil
aal.mil,TRUE
aaro.mil,TRUE
acqebiz.mil,TRUE
af.mil,TRUE
afadsc.mil,TRUE
aflink-test.mil,TRUE
afn.mil,TRUE
afpims.mil,TRUE
africom.mil,TRUE
ai.mil,TRUE
airdomainintelligence.mil,TRUE
alsa.mil,TRUE
alssa.mil,TRUE
apps.mil,TRUE
arcus.mil,TRUE
arlingtoncemetery.mil,TRUE
army.mil,TRUE
armyreservewarriorcitizen.mil,TRUE
asbca.mil,TRUE
cac.mil,TRUE
cap.mil,TRUE
ccpo.mil,TRUE
centcom.mil,TRUE
cloud.mil,TRUE
cmil.mil,TRUE
code.mil,TRUE
crmforce.mil,TRUE
cto.mil,TRUE
ctoinnovation.mil,TRUE
cultureready.mil,TRUE
cvnxx.mil,TRUE
cyber.mil,TRUE
cybercom.mil,TRUE
dantes.mil,TRUE
darpa.mil,TRUE
dc3.mil,TRUE
dcaa.mil,TRUE
dcma.mil,TRUE
dcsa.mil,TRUE
dctc.mil,TRUE
dds.mil,TRUE
defenseculture.mil,TRUE
defensesbirsttr.mil,TRUE
deomi.mil,TRUE
deps.mil,TRUE
dfas.mil,TRUE
dfba.mil,TRUE
dhra.mil,TRUE
dia.mil,TRUE
dimoc.mil,TRUE
disa.mil,TRUE
diu.mil,TRUE
dla.mil,TRUE
dlnseo.mil,TRUE
dma.mil,TRUE
dod.mil,TRUE
dodcui.mil,TRUE
doded.mil,TRUE
dodig.mil,TRUE
dodlive.mil,TRUE
dodmantech.mil,TRUE
dodsbirsttr.mil,TRUE
dodsurveys.mil,TRUE
dodtap.mil,TRUE
dpaa.mil,TRUE
dps.mil,TRUE
dren.mil,TRUE
dsca.mil,TRUE
dscu.mil,TRUE
dso.mil,TRUE
dspo.mil,TRUE
dss.mil,TRUE
dtic.mil,TRUE
dtra.mil,TRUE
dtsa.mil,TRUE
eb.mil,TRUE
ecs.mil,TRUE
esgr.mil,TRUE
esgr1.mil,TRUE
esgrevents.mil,TRUE
esi.mil,TRUE
eucom.mil,TRUE
fedmall.mil,TRUE
financialfrontline.mil,TRUE
freedomaward.mil,TRUE
gigeagle.mil,TRUE
git.mil,TRUE
hacc.mil,TRUE
hci.mil,TRUE
health.mil,TRUE
hmms.mil,TRUE
homes.mil,TRUE
hpc.mil,TRUE
inherentresolve.mil,TRUE
isitdown.mil,TRUE
jalis.mil,TRUE
jb.mil,TRUE
jbsa.mil,TRUE
jcs.mil,TRUE
jcu.mil,TRUE
jdrs.mil,TRUE
jecc.mil,TRUE
jfhq-dodin.mil,TRUE
jieddo.mil,TRUE
jllis.mil,TRUE
jpeojtrs.mil,TRUE
jpra.mil,TRUE
jsf.mil,TRUE
jtdi.mil,TRUE
jten.mil,TRUE
jtf-spacedefense.mil,TRUE
jtnc.mil,TRUE
jwac.mil,TRUE
les.mil,TRUE
lt2portal.mil,TRUE
marines.mil,TRUE
mc.mil,TRUE
mcm.mil,TRUE
mda.mil,TRUE
metc.mil,TRUE
milcloud.mil,TRUE
militaryonesource.mil,TRUE
milreviewbds.mil,TRUE
milsuite.mil,TRUE
move.mil,TRUE
myafn.mil,TRUE
nationalguard.mil,TRUE
navy.mil,TRUE
ng.mil,TRUE
nga.mil,TRUE
ngb.mil,TRUE
norad.mil,TRUE
northcom.mil,TRUE
nsic.mil,TRUE
nsin.mil,TRUE
okta.mil,TRUE
opa.mil,TRUE
osd.mil,TRUE
pacom.mil,TRUE
pegasus.mil,TRUE
pentagon.mil,TRUE
people.mil,TRUE
pfpa.mil,TRUE
portal.mil,TRUE
prevention.mil,TRUE
prs.mil,TRUE
repi.mil,TRUE
salesforce.mil,TRUE
sapr.mil,TRUE
sco.mil,TRUE
sda.mil,TRUE
shadowsedge.mil,TRUE
sigar.mil,TRUE
smil.mil,TRUE
soc.mil,TRUE
socom.mil,TRUE
southcom.mil,TRUE
spacecom.mil,TRUE
spaceforce.mil,TRUE
spaceforces-space.mil,TRUE
stratcom.mil,TRUE
swcs.mil,TRUE
tapevents.mil,TRUE
tearline.mil,TRUE
tricare.mil,TRUE
unc.mil,TRUE
uscg.mil,TRUE
usfj.mil,TRUE
usfk.mil,TRUE
usgovdod.mil,TRUE
usmc.mil,TRUE
ustranscom.mil,TRUE
vte.mil,TRUE
vts.mil,TRUE
whitehousecommsagency.mil,TRUE
whs.mil,TRUE
yellowribbon.mil,TRUE
