target_url,Federal Agency,Level of Government,source_list_govt_urls
18f.us,,Federal Government,TRUE
3riverscfc.org,Combined Federal Campaign,Federal Government,TRUE
aal.army,Department of the Army,Federal Government,TRUE
academyadmissions.com,Department of Defense (DOD),Federal Government,TRUE
adlnet.org,Department of Defense (DOD),Federal Government,TRUE
afacademy.af.edu,Department of Defense (DOD),Federal Government,TRUE
afneurope.net,Department of Defense (DOD),Federal Government,TRUE
afnpacific.net,Department of Defense (DOD),Federal Government,TRUE
afpmb.org,,Federal Government,TRUE
afreserve.com,,Federal Government,TRUE
afthunderbirds.com,,Federal Government,TRUE
ag.unr.edu,,Federal Government,TRUE
agfirst.com,,Federal Government,TRUE
agribank.com,,Federal Government,TRUE
airdefenseartillery.com,,Federal Government,TRUE
airforce.com,,Federal Government,TRUE
airspacemag.com,,Federal Government,TRUE
ajb.org,,Federal Government,TRUE
alaskacfc.org,Combined Federal Campaign,Federal Government,TRUE
alhurra.com,,Federal Government,TRUE
americanpresidents.org,#N/A,Federal Government,TRUE
americorpsconnect.org,#N/A,Federal Government,TRUE
amtrak.com,,Federal Government,TRUE
amver.com,,Federal Government,TRUE
annualcreditreport.com,,Federal Government,TRUE
armedforcessports.com,,Federal Government,TRUE
armyfuturescommand.com,Department of the Army,Federal Government,TRUE
askjan.org,,Federal Government,TRUE
atlanticcoastcfc.org,Combined Federal Campaign,Federal Government,TRUE
auxpa.org,,Federal Government,TRUE
aww.aww-sp.com,,Federal Government,TRUE
badgerlandcfc.org,Combined Federal Campaign,Federal Government,TRUE
benefeds.com,,Federal Government,TRUE
bie.edu,Department of the Interior,Federal Government,TRUE
bobber.info,,Federal Government,TRUE
bushlibrary.tamu.edu,,Federal Government,TRUE
buyaccessible.net,,Federal Government,TRUE
capmembers.com,,Federal Government,TRUE
careerinfonet.org,,Federal Government,TRUE
careeronestop.org,,Federal Government,TRUE
cbacfc.org,Combined Federal Campaign,Federal Government,TRUE
cbp-ntep.info,,Federal Government,TRUE
ccitoolsforfeds.org,,Federal Government,TRUE
cdcnpin.org,,Federal Government,TRUE
cdse.edu,,Federal Government,TRUE
centralcaliforniacfc.org,Combined Federal Campaign,Federal Government,TRUE
centralpacfc.org,Combined Federal Campaign,Federal Government,TRUE
centraltexascfc.org,Combined Federal Campaign,Federal Government,TRUE
cf-cfc.org,Combined Federal Campaign,Federal Government,TRUE
cfc-centralok.org,Combined Federal Campaign,Federal Government,TRUE
cfcaaga.org,Combined Federal Campaign,Federal Government,TRUE
cfcaz.org,Combined Federal Campaign,Federal Government,TRUE
cfccoastalga.org,Combined Federal Campaign,Federal Government,TRUE
cfcforthood.org,Combined Federal Campaign,Federal Government,TRUE
cfcgive.org,Combined Federal Campaign,Federal Government,TRUE
cfcgno.org,Combined Federal Campaign,Federal Government,TRUE
cfcgreaterarkansas.org,Combined Federal Campaign,Federal Government,TRUE
cfcgreaternc.org,Combined Federal Campaign,Federal Government,TRUE
cfcindiana.org,Combined Federal Campaign,Federal Government,TRUE
cfcmaine.org,Combined Federal Campaign,Federal Government,TRUE
cfcmidsouth.org,Combined Federal Campaign,Federal Government,TRUE
cfcmontereysantacruz.org,Combined Federal Campaign,Federal Government,TRUE
cfcnca.org,Combined Federal Campaign,Federal Government,TRUE
cfcnexus.org,,Federal Government,TRUE
cfcnnj.org,Combined Federal Campaign,Federal Government,TRUE
cfcnorthtexas.org,Combined Federal Campaign,Federal Government,TRUE
cfcnps.org,Combined Federal Campaign,Federal Government,TRUE
cfcofcva.org,Combined Federal Campaign,Federal Government,TRUE
cfcofgreatersocal.org,Combined Federal Campaign,Federal Government,TRUE
cfcofthecsra.org,Combined Federal Campaign,Federal Government,TRUE
cfcredrivervalley.org,Combined Federal Campaign,Federal Government,TRUE
cfcsanantonio.org,Combined Federal Campaign,Federal Government,TRUE
cfcsemi.org,Combined Federal Campaign,Federal Government,TRUE
cfcshr.org,Combined Federal Campaign,Federal Government,TRUE
cfcsnj.org,Combined Federal Campaign,Federal Government,TRUE
cfctexasgulfcoast.org,Combined Federal Campaign,Federal Government,TRUE
cfcvp.org,Combined Federal Campaign,Federal Government,TRUE
cfcwesternmichigan.org,Combined Federal Campaign,Federal Government,TRUE
cfcwesternmontana.org,Combined Federal Campaign,Federal Government,TRUE
cfcwnc.com,Combined Federal Campaign,Federal Government,TRUE
cfe-dmha.org,,Federal Government,TRUE
cga.edu,,Federal Government,TRUE
cgaux.org,,Federal Government,TRUE
cge.concursolutions.com,,Federal Government,TRUE
chattanoogacfc.org,Combined Federal Campaign,Federal Government,TRUE
chemcatbio.org,Department of Energy (DOE),Federal Government,TRUE
chicagocfc.net,Combined Federal Campaign,Federal Government,TRUE
chicagofed.org,Federal Reserve Board,Federal Government,TRUE
cidi.org,,Federal Government,TRUE
cipm.info,,Federal Government,TRUE
cldcentral.usalearning.net,,Federal Government,TRUE
clevelandfed.org,Federal Reserve Board,Federal Government,TRUE
clu-in.org,,Federal Government,TRUE
coastalbendareacfc.org,Combined Federal Campaign,Federal Government,TRUE
coastalcarolinacfc.org,Combined Federal Campaign,Federal Government,TRUE
cobank.com,,Federal Government,TRUE
columbusbenningcfc.org,Combined Federal Campaign,Federal Government,TRUE
commissaries.com,,Federal Government,TRUE
cooperativepatentclassification.org,,Federal Government,TRUE
cooperhewitt.org,,Federal Government,TRUE
cowvcfc.org,Combined Federal Campaign,Federal Government,TRUE
ctandwmacfc.org,Combined Federal Campaign,Federal Government,TRUE
cvand29palmscfc.org,Combined Federal Campaign,Federal Government,TRUE
cybercemetery.unt.edu,Quasigovernmental,Federal Government,TRUE
d11nuscgaux.info,,Federal Government,TRUE
d13cgaux.com,,Federal Government,TRUE
dallasfed.org,Federal Reserve Board,Federal Government,TRUE
deamuseum.org,,Federal Government,TRUE
defensetv.tv,,Federal Government,TRUE
dfwmetroplexcfc.org,Combined Federal Campaign,Federal Government,TRUE
dhs-summit.us,,Federal Government,TRUE
digitalvaults.org,,Federal Government,TRUE
docsteach.org,,Federal Government,TRUE
dodccrp.org,,Federal Government,TRUE
dodea.edu,,Federal Government,TRUE
dodsbir.net,,Federal Government,TRUE
dodstarbase.org,,Federal Government,TRUE
dvbic.org,,Federal Government,TRUE
dvidshub.net,,Federal Government,TRUE
e2.gov.cwtsatotravel.com,,Federal Government,TRUE
earthkam.ucsd.edu,,Federal Government,TRUE
earthsystemcog.org,,Federal Government,TRUE
earthsystemmodeling.org,,Federal Government,TRUE
easternmasscfc.org,Combined Federal Campaign,Federal Government,TRUE
efts.scportal.us,Department of Defense,Federal Government,TRUE
elcivicsonline.org,,Federal Government,TRUE
eng.embassyusa.cn,,Federal Government,TRUE
enviroflash.info,,Federal Government,TRUE
epa.maps.arcgis.com,,Federal Government,TRUE
epancic.org,#N/A,Federal Government,TRUE
epaosc.org,,Federal Government,TRUE
epcfc.org,Combined Federal Campaign,Federal Government,TRUE
ertsupport.org,,Federal Government,TRUE
ertvideo.org,,Federal Government,TRUE
escarosacfc.org,Combined Federal Campaign,Federal Government,TRUE
fairhousingfirst.org,,Federal Government,TRUE
fanniemae.com,,Federal Government,TRUE
farmcreditbank.com,,Federal Government,TRUE
farmermac.com,,Federal Government,TRUE
fbiacademy.edu,,Federal Government,TRUE
fcc.us,,Federal Government,TRUE
fd.org,,Federal Government,TRUE
fdrlibrary.marist.edu,,Federal Government,TRUE
fed.us,,Federal Government,TRUE
federallabs.org,,Federal Government,TRUE
federalrelay.us,General Services Administration,Federal Government,TRUE
federalreserveeducation.org,,Federal Government,TRUE
fedrcc.us,,Federal Government,TRUE
fhlb-of.com,,Federal Government,TRUE
fhlb-pgh.com,,Federal Government,TRUE
fhlb.com,,Federal Government,TRUE
fhlbanks.com,,Federal Government,TRUE
fhlbatl.com,,Federal Government,TRUE
fhlbboston.com,,Federal Government,TRUE
fhlbc.com,,Federal Government,TRUE
fhlbcin.com,,Federal Government,TRUE
fhlbdm.com,,Federal Government,TRUE
fhlbi.com,,Federal Government,TRUE
fhlbny.com,,Federal Government,TRUE
fhlbsea.com,,Federal Government,TRUE
fhlbsf.com,,Federal Government,TRUE
fhlbtopeka.com,,Federal Government,TRUE
findtbresources.org,,Federal Government,TRUE
firelab.org,,Federal Government,TRUE
fmjfee.com,,Federal Government,TRUE
forestryimages.org,,Federal Government,TRUE
frbatlanta.org,Federal Reserve Board,Federal Government,TRUE
frbsf.org,,Federal Government,TRUE
freddiemac.com,,Federal Government,TRUE
freefilefillableforms.com,Internal Revenue Service,Federal Government,TRUE
fsafeds.com,,Federal Government,TRUE
ftcampbellareacfc.org,Combined Federal Campaign,Federal Government,TRUE
gatewaycfc.org,Combined Federal Campaign,Federal Government,TRUE
genomereference.org,Health and Human Services (HHS),Federal Government,TRUE
georgewbushlibrary.smu.edu,,Federal Government,TRUE
getsmartaboutdrugs.com,,Federal Government,TRUE
glnpo.net,,Federal Government,TRUE
goang.com,,Federal Government,TRUE
goarmy.com,,Federal Government,TRUE
gocivilairpatrol.com,,Federal Government,TRUE
gocoastguard.com,,Federal Government,TRUE
godirect.org,,Federal Government,TRUE
gopcfc.org,Combined Federal Campaign,Federal Government,TRUE
greaterhartfordcfc.org,Combined Federal Campaign,Federal Government,TRUE
greatermscfc.org,Combined Federal Campaign,Federal Government,TRUE
greaterwicfc.org,Combined Federal Campaign,Federal Government,TRUE
greencountrycfc.org,Combined Federal Campaign,Federal Government,TRUE
heartlandcfc.org,Combined Federal Campaign,Federal Government,TRUE
heartofalabamacfc.org,Combined Federal Campaign,Federal Government,TRUE
heartofthemidlandscfc.org,Combined Federal Campaign,Federal Government,TRUE
homelandsecurity.conferenceon.tv,,Federal Government,TRUE
hsdl.org,,Federal Government,TRUE
hubblesite.org,,Federal Government,TRUE
hudexchange.info,,Federal Government,TRUE
hudhomestore.com,,Federal Government,TRUE
hudhre.info,,Federal Government,TRUE
hudnsphelp.info,,Federal Government,TRUE
huduser.org,,Federal Government,TRUE
igs.org,,Federal Government,TRUE
iipdigital.ait.org.tw,Department of State (DOS),Federal Government,TRUE
illowacfc.org,Combined Federal Campaign,Federal Government,TRUE
informationrx.org,Health and Human Services (HHS),Federal Government,TRUE
insidevoa.com,,Federal Government,TRUE
intermountaincfc.org,Combined Federal Campaign,Federal Government,TRUE
inwcfc.org,Combined Federal Campaign,Federal Government,TRUE
jamrs.org,,Federal Government,TRUE
jfklibrary.org,,Federal Government,TRUE
jlab.org,,Federal Government,TRUE
johnsoncity-mountainhomecfc.org,Combined Federal Campaign,Federal Government,TRUE
kansascfc.org,Combined Federal Campaign,Federal Government,TRUE
kb.cert.org,,Federal Government,TRUE
kcp.com,Department of Energy (DOE),Federal Government,TRUE
kennedy-center.org,,Federal Government,TRUE
knowitall.org,,Federal Government,TRUE
knowyouroptions.com,,Federal Government,TRUE
kosmetica.kiev.ua,#N/A,Federal Government,TRUE
ktcfc.org,Combined Federal Campaign,Federal Government,TRUE
lbjlibrary.org,,Federal Government,TRUE
leopold.wilderness.net,,Federal Government,TRUE
lifeasamarine.com,,Federal Government,TRUE
literacydirectory.org,,Federal Government,TRUE
livingmemorialsproject.net,,Federal Government,TRUE
locationaffordability.info,,Federal Government,TRUE
makersinspaces.org,,Federal Government,TRUE
manufacturingusa.com,,Federal Government,TRUE
maricopacfc.org,Combined Federal Campaign,Federal Government,TRUE
marineforlife.org,,Federal Government,TRUE
marinemarathon.com,,Federal Government,TRUE
marines.com,,Federal Government,TRUE
marshallcenter.org,,Federal Government,TRUE
martinoticias.com,,Federal Government,TRUE
mcmregistration.com,,Federal Government,TRUE
mdacareers.com,,Federal Government,TRUE
metrodenvercfc.org,Combined Federal Campaign,Federal Government,TRUE
miamivalleycfc.org,Combined Federal Campaign,Federal Government,TRUE
micanaldepanama.com,,Federal Government,TRUE
michcfc.org,Combined Federal Campaign,Federal Government,TRUE
midlandsareacfc.org,Combined Federal Campaign,Federal Government,TRUE
minneapolisfed.org,Federal Reserve Board,Federal Government,TRUE
moneyfactory.com,,Federal Government,TRUE
myedaccount.com,,Federal Government,TRUE
myfuture.com,,Federal Government,TRUE
mymcx.com,,Federal Government,TRUE
mynextmove.org,,Federal Government,TRUE
myskillsmyfuture.org,,Federal Government,TRUE
nagb.org,,Federal Government,TRUE
nahyp.org,,Federal Government,TRUE
nasa-usa.de,#N/A,Federal Government,TRUE
nasa.orau.org,,Federal Government,TRUE
nasarealworldinworld.org,,Federal Government,TRUE
nationalatlas.com,,Federal Government,TRUE
nationalatlas.org,,Federal Government,TRUE
nationalguard.com,,Federal Government,TRUE
nationalserviceresources.org,,Federal Government,TRUE
nationalzoostore.tamretail.net,,Federal Government,TRUE
navy.com,,Federal Government,TRUE
navyoutreach.org,,Federal Government,TRUE
navyreserve.com,,Federal Government,TRUE
nccicevents.org,,Federal Government,TRUE
ncjrs.org,,Federal Government,TRUE
ncwvcfc.org,Combined Federal Campaign,Federal Government,TRUE
ndu.edu,,Federal Government,TRUE
neabigread.org,National Endowment for the Arts (NEA),Federal Government,TRUE
necfuture.com,,Federal Government,TRUE
nefl-sega-cfc.org,Combined Federal Campaign,Federal Government,TRUE
nepacfc.org,Combined Federal Campaign,Federal Government,TRUE
nevadacfc.org,Combined Federal Campaign,Federal Government,TRUE
newhire-reporting.com,,Federal Government,TRUE
newmexicocfc.org,Combined Federal Campaign,Federal Government,TRUE
newyorkfed.org,Federal Reserve Board,Federal Government,TRUE
niamsp2b2.com,,Federal Government,TRUE
nianet.org,,Federal Government,TRUE
niapublications.org,,Federal Government,TRUE
noradsanta.org,,Federal Government,TRUE
norcalcfc.org,Combined Federal Campaign,Federal Government,TRUE
northcoastcfc.org,Combined Federal Campaign,Federal Government,TRUE
northernlightscfc.org,Combined Federal Campaign,Federal Government,TRUE
northernnewenglandcfc.org,Combined Federal Campaign,Federal Government,TRUE
northwestfloridacfc.org,Combined Federal Campaign,Federal Government,TRUE
nps.edu,,Federal Government,TRUE
nsopw.org,,Federal Government,TRUE
nutmegcfc.org,Combined Federal Campaign,Federal Government,TRUE
nwguardian.com,,Federal Government,TRUE
nyccfc.org,Combined Federal Campaign,Federal Government,TRUE
okaloosa-waltoncfc.org,Combined Federal Campaign,Federal Government,TRUE
onecpd.info,,Federal Government,TRUE
onetonline.org,,Federal Government,TRUE
onslowcountycfc.org,Combined Federal Campaign,Federal Government,TRUE
opengovplatform.org,,Federal Government,TRUE
orvcfc.org,Combined Federal Campaign,Federal Government,TRUE
oup.org,Department of Housing and Urban Development,Federal Government,TRUE
ownyourlimits.org,Department of Defense,Federal Government,TRUE
pacificnwcfc.org,Combined Federal Campaign,Federal Government,TRUE
pancanal.com,,Federal Government,TRUE
pantex.com,Department of Energy (DOE),Federal Government,TRUE
pbgc.org,,Federal Government,TRUE
pcaobus.org,,Federal Government,TRUE
peakcfc.com,Combined Federal Campaign,Federal Government,TRUE
pepfar.net,,Federal Government,TRUE
philadelphiafed.org,Federal Reserve Board,Federal Government,TRUE
phpartners.org,,Federal Government,TRUE
plswebportal.org,,Federal Government,TRUE
potomaccfc.org,Combined Federal Campaign,Federal Government,TRUE
predict.org,,Federal Government,TRUE
project-open-data.github.io,,Federal Government,TRUE
psctool.us,,Federal Government,TRUE
psoppc.com,Health and Human Services (HHS),Federal Government,TRUE
psoppc.net,Health and Human Services (HHS),Federal Government,TRUE
psoppc.org,Health and Human Services (HHS),Federal Government,TRUE
r3coastal.com,Federal Emergency Management Agency (FEMA),Federal Government,TRUE
radiosawa.com,,Federal Government,TRUE
railroadersleep.org,,Federal Government,TRUE
reagan.utexas.edu,,Federal Government,TRUE
reaganfoundation.org,,Federal Government,TRUE
realwarriors.net,Department of Defense,Federal Government,TRUE
reirs.com,,Federal Government,TRUE
rewardsforjustice.net,,Federal Government,TRUE
rfa.org,,Federal Government,TRUE
rferl.org,,Federal Government,TRUE
riandsemacfc.org,Combined Federal Campaign,Federal Government,TRUE
richmondfed.org,Federal Reserve Board,Federal Government,TRUE
rkb.us,,Federal Government,TRUE
rmrs.nau.edu,,Federal Government,TRUE
rockymountaincfc.org,Combined Federal Campaign,Federal Government,TRUE
sanangelocfc.org,Combined Federal Campaign,Federal Government,TRUE
scportal.us,Department of Defense,Federal Government,TRUE
senccfc.org,Combined Federal Campaign,Federal Government,TRUE
sepa-lehighcfc.org,Combined Federal Campaign,Federal Government,TRUE
sftool.ecomedes.com,,Federal Government,TRUE
si.edu,,Federal Government,TRUE
slaa.airprojects.org,,Federal Government,TRUE
smithsonian.com,,Federal Government,TRUE
smithsonian.org,,Federal Government,TRUE
smithsonianchannel.com,,Federal Government,TRUE
smithsonianeducation.org,,Federal Government,TRUE
