target_url,source_list_dod_public
cdse.edu,TRUE
ndu.edu,TRUE
cic.ndu.edu,TRUE
usmcu.edu,TRUE
jfsc.ndu.edu,TRUE
pavilion.dinfos.edu,TRUE
dodmwrandresalepolicy.defense.gov,TRUE
dbb.defense.gov,TRUE
actuary.defense.gov,TRUE
dodsioo.defense.gov,TRUE
nro.gov,TRUE
dpcld.defense.gov,TRUE
nmio.ise.gov,TRUE
armedforcessports.defense.gov,TRUE
business.defense.gov,TRUE
dcips.defense.gov,TRUE
2021dodtransition.defense.gov,TRUE
cmts.gov,TRUE
basicresearch.defense.gov,TRUE
whs.mil,TRUE
asbca.mil,TRUE
cac.mil,TRUE
dia.mil,TRUE
dodmantech.mil,TRUE
inherentresolve.mil,TRUE
sigar.mil,TRUE
unc.mil,TRUE
lrd.usace.army.mil,TRUE
skysoldiers.army.mil,TRUE
nau.usace.army.mil,TRUE
nao.usace.army.mil,TRUE
amc.army.mil,TRUE
ok.ng.mil,TRUE
arnorth.army.mil,TRUE
ky.ng.mil,TRUE
tad.usace.army.mil,TRUE
mvd.usace.army.mil,TRUE
41fab.army.mil,TRUE
mvn.usace.army.mil,TRUE
minationalguard.dodlive.mil,TRUE
ftig.ng.mil,TRUE
lre.usace.army.mil,TRUE
wi.ng.mil,TRUE
arcyber.army.mil,TRUE
al.ng.mil,TRUE
afsbeurope.army.mil,TRUE
europeafrica.army.mil,TRUE
2sigbde.army.mil,TRUE
smdc.army.mil,TRUE
wv.ng.mil,TRUE
aec.army.mil,TRUE
poj.usace.army.mil,TRUE
h2f.army.mil,TRUE
il.ngb.army.mil,TRUE
mvk.usace.army.mil,TRUE
wrair.health.mil,TRUE
asc-406-lrc-belvoir.army.mil,TRUE
56ac.army.mil,TRUE
11thairbornedivision.army.mil,TRUE
nationalguard.mil,TRUE
nwk.usace.army.mil,TRUE
20cbrne.army.mil,TRUE
fl.ng.mil,TRUE
21tsc.army.mil,TRUE
forscom.army.mil,TRUE
nwo.usace.army.mil,TRUE
spl.usace.army.mil,TRUE
peoc3n.army.mil,TRUE
68tmc.army.mil,TRUE
1stio.army.mil,TRUE
nwd.usace.army.mil,TRUE
edis.army.mil,TRUE
nv.ng.mil,TRUE
saw.usace.army.mil,TRUE
sac.usace.army.mil,TRUE
t2.army.mil,TRUE
nwp.usace.army.mil,TRUE
cid.army.mil,TRUE
ncoworldwide.army.mil,TRUE
de.ng.mil,TRUE
usanca.army.mil,TRUE
swl.usace.army.mil,TRUE
usar.army.mil,TRUE
2id.korea.army.mil,TRUE
agc.army.mil,TRUE
usace.army.mil,TRUE
co.ng.mil,TRUE
efmp.amedd.army.mil,TRUE
arkansas.nationalguard.mil,TRUE
dcsa.mil,TRUE
dfas.mil,TRUE
quantico.tricare.mil,TRUE
rodriguez.tricare.mil,TRUE
corpuschristi.tricare.mil,TRUE
barquist.tricare.mil,TRUE
tripler.tricare.mil,TRUE
afrims.health.mil,TRUE
diegogarcia.tricare.mil,TRUE
mcdonald.tricare.mil,TRUE
newsroom.tricare.mil,TRUE
sigonella.tricare.mil,TRUE
raymond-bliss.tricare.mil,TRUE
bassett-wainwright.tricare.mil,TRUE
bamc.tricare.mil,TRUE
dunham.tricare.mil,TRUE
walterreed.tricare.mil,TRUE
william-beaumont.tricare.mil,TRUE
camp-pendleton.tricare.mil,TRUE
newengland.tricare.mil,TRUE
bremerton.tricare.mil,TRUE
leonard-wood.tricare.mil,TRUE
ireland.tricare.mil,TRUE
womack.tricare.mil,TRUE
lemoore.tricare.mil,TRUE
phcp.health.mil,TRUE
aviano.tricare.mil,TRUE
darnall.tricare.mil,TRUE
airforceacademy.tricare.mil,TRUE
portsmouth.tricare.mil,TRUE
rafalconbury.tricare.mil,TRUE
hacc.mil,TRUE
dla.mil,TRUE
tasa.dma.mil,TRUE
pacific.afn.mil,TRUE
europe.afn.mil,TRUE
forcecom.uscg.mil,TRUE
reserve.uscg.mil,TRUE
pacificarea.uscg.mil,TRUE
uscg.mil,TRUE
dco.uscg.mil,TRUE
atlanticarea.uscg.mil,TRUE
news.uscg.mil,TRUE
4thmcd.marines.mil,TRUE
mcbblaz.marines.mil,TRUE
cdi.marines.mil,TRUE
ocs.marines.mil,TRUE
3rdmaw.marines.mil,TRUE
mcrc.marines.mil,TRUE
cbirf.marines.mil,TRUE
tf515.marines.mil,TRUE
matsg22.marines.mil,TRUE
1stmardiv.marines.mil,TRUE
marfork.marines.mil,TRUE
fitness.marines.mil,TRUE
soieast.marines.mil,TRUE
beaufort.marines.mil,TRUE
22ndmeu.marines.mil,TRUE
vlco.marines.mil,TRUE
imef.marines.mil,TRUE
iimef.marines.mil,TRUE
mcic.marines.mil,TRUE
tecom.marines.mil,TRUE
hqmc.marines.mil,TRUE
31stmeu.marines.mil,TRUE
music.marines.mil,TRUE
dso.marines.mil,TRUE
12thmcd.marines.mil,TRUE
mcrdpi.marines.mil,TRUE
clr2.marines.mil,TRUE
dpc-east.marines.mil,TRUE
mcbhawaii.marines.mil,TRUE
pendleton.marines.mil,TRUE
29palms.marines.mil,TRUE
mcasyuma.marines.mil,TRUE
15thmeu.marines.mil,TRUE
bic.marines.mil,TRUE
trngcmd.marines.mil,TRUE
mcieast.marines.mil,TRUE
1stmaw.marines.mil,TRUE
ppo.marines.mil,TRUE
igmc.marines.mil,TRUE
12thmlr.marines.mil,TRUE
matsg21.marines.mil,TRUE
mctssa.marines.mil,TRUE
1stmcd.marines.mil,TRUE
3rdmeb.marines.mil,TRUE
tbs.marines.mil,TRUE
newriver.marines.mil,TRUE
2ndmeb.marines.mil,TRUE
esd.whs.mil,TRUE
pac.whs.mil,TRUE
jber.jb.mil,TRUE
at.dod.mil,TRUE
jbcharleston.jb.mil,TRUE
jble.af.mil,TRUE
cultureready.mil,TRUE
warriorcare.dodlive.mil,TRUE
jbab.jb.mil,TRUE
2ndmarines.marines.mil,TRUE
amc.af.mil,TRUE
cnrk.cnic.navy.mil,TRUE
dyess.af.mil,TRUE
pod.usace.army.mil,TRUE
airforcespecialtactics.af.mil,TRUE
desmond-doss.tricare.mil,TRUE
913ag.afrc.af.mil,TRUE
barracks.marines.mil,TRUE
moguard.ngb.mil,TRUE
mcipac.marines.mil,TRUE
nwdc.usff.navy.mil,TRUE
woundedwarrior.marines.mil,TRUE
jtnc.mil,TRUE
marineband.marines.mil,TRUE
lineofdeparture.army.mil,TRUE
guam.tricare.mil,TRUE
afcent.af.mil,TRUE
mcwl.marines.mil,TRUE
miramar.marines.mil,TRUE
109aw.ang.af.mil,TRUE
2ndmaw.marines.mil,TRUE
125fw.ang.af.mil,TRUE
433aw.afrc.af.mil,TRUE
sandiego.tricare.mil,TRUE
3rdmlr.marines.mil,TRUE
navifor.usff.navy.mil,TRUE
20af.af.mil,TRUE
dsp.dla.mil,TRUE
624rsg.afrc.af.mil,TRUE
3rdmarines.marines.mil,TRUE
167aw.ang.af.mil,TRUE
mvr.usace.army.mil,TRUE
dafhistory.af.mil,TRUE
doctrine.af.mil,TRUE
peostri.army.mil,TRUE
lejeune.marines.mil,TRUE
919sow.afrc.af.mil,TRUE
navyclosuretaskforce.navy.mil,TRUE
lyster.tricare.mil,TRUE
frcsw.navair.navy.mil,TRUE
safia.hq.af.mil,TRUE
189aw.ang.af.mil,TRUE
afdw.af.mil,TRUE
107attackwing.ang.af.mil,TRUE
ssc.spaceforce.mil,TRUE
spk.usace.army.mil,TRUE
usapc.army.mil,TRUE
mcmwtc.marines.mil,TRUE
mortuary.af.mil,TRUE
144fw.ang.af.mil,TRUE
vcorps.army.mil,TRUE
mcaspendleton.marines.mil,TRUE
briandallgood.tricare.mil,TRUE
housing.af.mil,TRUE
195wg.ang.af.mil,TRUE
acc.af.mil,TRUE
fmtbnwest.marines.mil,TRUE
weed-irwin.tricare.mil,TRUE
marcorsyscom.marines.mil,TRUE
spn.usace.army.mil,TRUE
rota.tricare.mil,TRUE
drumcorps.marines.mil,TRUE
512aw.afrc.af.mil,TRUE
3rdmlg.marines.mil,TRUE
scientificadvisoryboard.af.mil,TRUE
mvm.usace.army.mil,TRUE
aaro.mil,TRUE
188wg.ang.af.mil,TRUE
ccad.army.mil,TRUE
mcasiwakuni.marines.mil,TRUE
mcrdsd.marines.mil,TRUE
jba.af.mil,TRUE
10thmarines.marines.mil,TRUE
altus.tricare.mil,TRUE
spoc.spaceforce.mil,TRUE
pacom.mil,TRUE
innovation.army.mil,TRUE
beaufort.tricare.mil,TRUE
navyreserve.navy.mil,TRUE
cnrc.navy.mil,TRUE
131bw.ang.af.mil,TRUE
music.af.mil,TRUE
154wg.ang.af.mil,TRUE
cjsl.ndu.edu,TRUE
test-evaluation.osd.mil,TRUE
3rdmardiv.marines.mil,TRUE
jcu.mil,TRUE
jtfn.northcom.mil,TRUE
malmstrom.af.mil,TRUE
aschq.army.mil,TRUE
492sow.af.mil,TRUE
arcp.army.mil,TRUE
buckley.spaceforce.mil,TRUE
irwin.tricare.mil,TRUE
jpeocbrnd.osd.mil,TRUE
aflink-test.mil,TRUE
annapolis.tricare.mil,TRUE
information.marines.mil,TRUE
179cw.ang.af.mil,TRUE
calmed.tricare.mil,TRUE
mcis.marines.mil,TRUE
me.ng.mil,TRUE
926wing.afrc.af.mil,TRUE
cnreurafcent.cnic.navy.mil,TRUE
ukraineoversight.gov,TRUE
airforcemedicine.af.mil,TRUE
shoc.af.mil,TRUE
aiaccelerator.af.mil,TRUE
nab.usace.army.mil,TRUE
vi.ng.mil,TRUE
102iw.ang.af.mil,TRUE
163atkw.ang.af.mil,TRUE
104fw.ang.af.mil,TRUE
136aw.ang.af.mil,TRUE
jacksonville.tricare.mil,TRUE
vt.public.ng.mil,TRUE
pa.ng.mil,TRUE
186arw.ang.af.mil,TRUE
comptroller.defense.gov,TRUE
jsc.defense.gov,TRUE
302aw.afrc.af.mil,TRUE
aviation.marines.mil,TRUE
trademark.marines.mil,TRUE
campedwards.ng.mil,TRUE
194wg.ang.af.mil,TRUE
aepubs.eur.army.mil,TRUE
publications.armywarcollege.edu,TRUE
477fg.afrc.af.mil,TRUE
saj.usace.army.mil,TRUE
necc.usff.navy.mil,TRUE
altus.af.mil,TRUE
sd.ng.mil,TRUE
37trw.af.mil,TRUE
nap.usace.army.mil,TRUE
amlc.army.mil,TRUE
navwar.navy.mil,TRUE
redstone.tricare.mil,TRUE
starcom.spaceforce.mil,TRUE
honorguard.af.mil,TRUE
cloud.mil,TRUE
petersonschriever.spaceforce.mil,TRUE
southcomclinic.tricare.mil,TRUE
161arw.ang.af.mil,TRUE
15af.acc.af.mil,TRUE
jwac.mil,TRUE
192wg.ang.af.mil,TRUE
cmc.marines.mil,TRUE
travis.af.mil,TRUE
erdc.usace.army.mil,TRUE
nationalmuseum.af.mil,TRUE
cyber.army.mil,TRUE
126arw.ang.af.mil,TRUE
albany.marines.mil,TRUE
shaw.af.mil,TRUE
afams.af.mil,TRUE
dhra.mil,TRUE
defensesbirsttr.mil,TRUE
dspo.mil,TRUE
mccsss.marines.mil,TRUE
winn.tricare.mil,TRUE
intelligence.marines.mil,TRUE
vwac.defense.gov,TRUE
daaf-wx.army.mil,TRUE
ar.marines.mil,TRUE
innovation.defense.gov,TRUE
1stmlg.marines.mil,TRUE
172aw.ang.af.mil,TRUE
columbus.tricare.mil,TRUE
ncis.navy.mil,TRUE
wads.ang.af.mil,TRUE
dcaa.mil,TRUE
publications.usace.army.mil,TRUE
adr.af.mil,TRUE
cnmoc.usff.navy.mil,TRUE
dodcio.defense.gov,TRUE
pope.af.mil,TRUE
wrightpatterson.tricare.mil,TRUE
2ndmlg.marines.mil,TRUE
osan.af.mil,TRUE
nasic.af.mil,TRUE
cnrsw.cnic.navy.mil,TRUE
ttgp.navy.mil,TRUE
mclbbarstow.marines.mil,TRUE
nsw.navy.mil,TRUE
6thmarines.marines.mil,TRUE
sja.marines.mil,TRUE
creech.af.mil,TRUE
c6f.navy.mil,TRUE
edwards.af.mil,TRUE
ga.ng.mil,TRUE
niwcatlantic.navy.mil,TRUE
wmdcenter.ndu.edu,TRUE
scguard.ng.mil,TRUE
blanchfield.tricare.mil,TRUE
alssa.mil,TRUE
ready.marines.mil,TRUE
ramstein.af.mil,TRUE
507arw.afrc.af.mil,TRUE
ngbpmc.ng.mil,TRUE
182aw.ang.af.mil,TRUE
safie.hq.af.mil,TRUE
usarcent.army.mil,TRUE
first.army.mil,TRUE
cybercoe.army.mil,TRUE
53rdwing.af.mil,TRUE
afmaa.af.mil,TRUE
940arw.afrc.af.mil,TRUE
nae.usace.army.mil,TRUE
mildenhall.af.mil,TRUE
cnrh.cnic.navy.mil,TRUE
phceast.health.mil,TRUE
quantico.marines.mil,TRUE
bracpmo.navy.mil,TRUE
retirees.af.mil,TRUE
csp.navy.mil,TRUE
afsoc.af.mil,TRUE
mcjrotc.marines.mil,TRUE
kunsan.af.mil,TRUE
166aw.ang.af.mil,TRUE
iandl.marines.mil,TRUE
airforcebes.af.mil,TRUE
andersen.af.mil,TRUE
jblmdesignstandards.army.mil,TRUE
340ftg.afrc.af.mil,TRUE
ct.ng.mil,TRUE
ctip.defense.gov,TRUE
avmc.army.mil,TRUE
dover.af.mil,TRUE
pensacola.tricare.mil,TRUE
paxriver.tricare.mil,TRUE
munson.tricare.mil,TRUE
ai.mil,TRUE
pacific.navfac.navy.mil,TRUE
aflcmc.af.mil,TRUE
dodcertpmo.defense.gov,TRUE
swt.usace.army.mil,TRUE
mynavyhr.navy.mil,TRUE
