target_url,source_list_usagov_clicks
10x.gsa.gov,TRUE
18f.gsa.gov,TRUE
1950census.archives.gov,TRUE
1997-2001.state.gov,TRUE
19january2017snapshot.epa.gov,TRUE
19january2021snapshot.epa.gov,TRUE
2001-2009.commerce.gov,TRUE
2001-2009.state.gov,TRUE
2008.mdmanual.msa.maryland.gov,TRUE
2009-2017-fpc.state.gov,TRUE
2009-2017.state.gov,TRUE
2010-2014.commerce.gov,TRUE
2012-2017.usaid.gov,TRUE
2014-2017.commerce.gov,TRUE
2017-2020.usaid.gov,TRUE
2017-2021.commerce.gov,TRUE
2017-2021.state.gov,TRUE
2019-dsd.maryland.gov,TRUE
22007apply.gov,TRUE
2mm.mdah.ms.gov,TRUE
311.chicago.gov,TRUE
311.sanantonio.gov,TRUE
340bopais.hrsa.gov,TRUE
3d.nih.gov,TRUE
3dca.flcourts.gov,TRUE
3dnation.iocm.noaa.gov,TRUE
3dparks.wr.usgs.gov,TRUE
4dca.flcourts.gov,TRUE
508.nih.gov,TRUE
511.idaho.gov,TRUE
511wi.gov,TRUE
6dca.flcourts.gov,TRUE
81-218.txcourts.gov,TRUE
889.smartpay.gsa.gov,TRUE
9-11commission.gov,TRUE
a069-access.nyc.gov,TRUE
a069-capsonline.nyc.gov,TRUE
a156-nauf.nyc.gov,TRUE
a836-edms.nyc.gov,TRUE
a836-pts-efile.nyc.gov,TRUE
a856-gbol.nyc.gov,TRUE
aa.data.faa.gov,TRUE
aad.archives.gov,TRUE
aafaf.pr.gov,TRUE
aas.gsa.gov,TRUE
abag.ca.gov,TRUE
abc2.nc.gov,TRUE
abca.dc.gov,TRUE
abe.illinois.gov,TRUE
abgt.assembly.ca.gov,TRUE
able.treasury.tn.gov,TRUE
abortion.ca.gov,TRUE
about.lanl.gov,TRUE
above.nasa.gov,TRUE
abra.dc.gov,TRUE
abs.utah.gov,TRUE
acc.dwd.wi.gov,TRUE
accd.vermont.gov,TRUE
access.co-ops.nos.noaa.gov,TRUE
access.nyc.gov,TRUE
access.trade.gov,TRUE
accessaries.dhs.arkansas.gov,TRUE
accessgudid.awsprod.nlm.nih.gov,TRUE
accessgudid.nlm.nih.gov,TRUE
accessibility.digital.gov,TRUE
accessibility.hhs.texas.gov,TRUE
accession.nodc.noaa.gov,TRUE
accessms.mdes.ms.gov,TRUE
accounts.noaa.gov,TRUE
accounts.waterdata.usgs.gov,TRUE
acd.od.nih.gov,TRUE
ace.cbp.gov,TRUE
acefiling.wicourts.gov,TRUE
acir.aphis.usda.gov,TRUE
acis-api.flcourts.gov,TRUE
acis.alabama.gov,TRUE
acis.eoir.justice.gov,TRUE
acl.gov,TRUE
acquisition.jpl.nasa.gov,TRUE
acquisitiongateway.gsa.gov,TRUE
acquisitions.usajobs.gov,TRUE
actuary.defense.gov,TRUE
actuary.usajobs.gov,TRUE
ad4.nycourts.gov,TRUE
ada.georgia.gov,TRUE
adacounty.id.gov,TRUE
adaircounty.ky.gov,TRUE
adams.house.gov,TRUE
adamscountyoh.gov,TRUE
adamsmith.house.gov,TRUE
addpc.az.gov,TRUE
adeca.alabama.gov,TRUE
aderholt.house.gov,TRUE
adfan.pr.gov,TRUE
adios.orr.noaa.gov,TRUE
adip.faa.gov,TRUE
adjudication.labor.ny.gov,TRUE
adlnet.gov,TRUE
adm.idaho.gov,TRUE
admin.ks.gov,TRUE
admin.ri.gov,TRUE
admin.sc.gov,TRUE
administration.wv.gov,TRUE
adminrules.idaho.gov,TRUE
adol.alabama.gov,TRUE
adp.noaa.gov,TRUE
adr.gov,TRUE
adsd.nv.gov,TRUE
adviserinfo.sec.gov,TRUE
advocacy.sba.gov,TRUE
ae.usembassy.gov,TRUE
aedt.faa.gov,TRUE
aefla.ed.gov,TRUE
aem-prod.oklahoma.gov,TRUE
aep.airports.faa.gov,TRUE
aeronav.faa.gov,TRUE
af.usembassy.gov,TRUE
afd.defense.gov,TRUE
afdc.energy.gov,TRUE
afmpoc.arsnet.usda.gov,TRUE
afni-dev.nimh.nih.gov,TRUE
afni.nimh.nih.gov,TRUE
africanamericanhistorymonth.gov,TRUE
ag.colorado.gov,TRUE
ag.hawaii.gov,TRUE
ag.ks.gov,TRUE
ag.louisiana.gov,TRUE
ag.nv.gov,TRUE
ag.ny.gov,TRUE
ag.ok.gov,TRUE
ag.utah.gov,TRUE
agclass.nal.usda.gov,TRUE
agdatacommons.nal.usda.gov,TRUE
agencias.pr.gov,TRUE
agents.floodsmart.gov,TRUE
aghealth.nih.gov,TRUE
agi.alabama.gov,TRUE
aging.ca.gov,TRUE
aging.georgia.gov,TRUE
aging.idaho.gov,TRUE
aging.maryland.gov,TRUE
aging.nm.gov,TRUE
aging.ny.gov,TRUE
aging.ohio.gov,TRUE
aging.sc.gov,TRUE
agingresearchbiobank.nia.nih.gov,TRUE
aglab.ars.usda.gov,TRUE
aglearn.usda.gov,TRUE
ago.mo.gov,TRUE
ago.nebraska.gov,TRUE
ago.vermont.gov,TRUE
ago.wv.gov,TRUE
agr.georgia.gov,TRUE
agr.wa.gov,TRUE
agresearchmag.ars.usda.gov,TRUE
agri.idaho.gov,TRUE
agri.nv.gov,TRUE
agri.ohio.gov,TRUE
agriculture.ks.gov,TRUE
agriculture.mo.gov,TRUE
agriculture.ny.gov,TRUE
agriculture.sc.gov,TRUE
agriculture.vermont.gov,TRUE
agriculture.wv.gov,TRUE
agrin.ars.usda.gov,TRUE
ags.hawaii.gov,TRUE
agtransport.usda.gov,TRUE
aguilar.house.gov,TRUE
ai.fmcsa.dot.gov,TRUE
ai.gov,TRUE
aiac.alabama.gov,TRUE
aidms.faa.gov,TRUE
aidsinfo.nih.gov,TRUE
aie-pa.faa.gov,TRUE
aienergyworkshop2023.inl.gov,TRUE
aipl.arsusda.gov,TRUE
airbornescience.nasa.gov,TRUE
aircraft.faa.gov,TRUE
aircrafticing.grc.nasa.gov,TRUE
airquality.gsfc.nasa.gov,TRUE
airquality.weather.gov,TRUE
airs.jpl.nasa.gov,TRUE
aka-www.hhs.gov,TRUE
akadev-ion-www.hhs.gov,TRUE
akadev1-ion-www.hhs.gov,TRUE
akadev2-ion-www.hhs.gov,TRUE
akadev3-ion-www.hhs.gov,TRUE
akadev4-ion-www.hhs.gov,TRUE
akadev5-ion-www.hhs.gov,TRUE
akaprod-ion-www.hhs.gov,TRUE
akaprod-www.hhs.gov,TRUE
akastage-ion-www.hhs.gov,TRUE
akastage-www.hhs.gov,TRUE
akastage1-ion-www.hhs.gov,TRUE
akastage2-ion-www.hhs.gov,TRUE
akastage3-ion-www.hhs.gov,TRUE
akastage4-ion-www.hhs.gov,TRUE
akastage5-ion-www.hhs.gov,TRUE
akatest-ion-www.hhs.gov,TRUE
akatest1-ion-www.hhs.gov,TRUE
akatest2-ion-www.hhs.gov,TRUE
akatest3-ion-www.hhs.gov,TRUE
akatest4-ion-www.hhs.gov,TRUE
akatest5-ion-www.hhs.gov,TRUE
akauat-ion-www.hhs.gov,TRUE
al.usembassy.gov,TRUE
alabamaageline.gov,TRUE
alabamacares.alabama.gov,TRUE
alabamamoments.alabama.gov,TRUE
alaska.gov,TRUE
alaska.jobcorps.gov,TRUE
alaska.usgs.gov,TRUE
alaskafisheries.noaa.gov,TRUE
alcoholpolicy.niaaa.nih.gov,TRUE
alcoholtreatment.niaaa.nih.gov,TRUE
aldoi.gov,TRUE
alerts-v2.weather.gov,TRUE
alerts.weather.gov,TRUE
alexandercountync.gov,TRUE
alexybarra.houserepublicans.wa.gov,TRUE
algreen.house.gov,TRUE
allen.house.gov,TRUE
allofus.nih.gov,TRUE
alpha.ca.gov,TRUE
alpha.ngs.noaa.gov,TRUE
alumni.state.gov,TRUE
alzped.nia.nih.gov,TRUE
am.usembassy.gov,TRUE
amberalert.ojp.gov,TRUE
amcs.faa.gov,TRUE
amdar.ncep.noaa.gov,TRUE
amdar.noaa.gov,TRUE
americanenglish.state.gov,TRUE
americansamoa.noaa.gov,TRUE
americanspaces.state.gov,TRUE
americorps.gov,TRUE
ameriflux.lbl.gov,TRUE
amerywi.gov,TRUE
ampb.larc.nasa.gov,TRUE
ams.hhs.gov,TRUE
ams.prod.usda.gov,TRUE
ams.staging.platform.usda.gov,TRUE
amsrvs.registry.faa.gov,TRUE
amtrakoig.gov,TRUE
