target_url,source_list_search_gov
10millionpatents.uspto.gov,TRUE
10x.gsa.gov,TRUE
18f.gsa.gov,TRUE
2001-2009.commerce.gov,TRUE
2009-2017.state.gov,TRUE
2010-2014.commerce.gov,TRUE
2012-2017.usaid.gov,TRUE
2014-2017.commerce.gov,TRUE
2017-2021.commerce.gov,TRUE
2017-2021.state.gov,TRUE
aas.gsa.gov,TRUE
abilityone.oversight.gov,TRUE
abra.dc.gov,TRUE
access.afsc.noaa.gov,TRUE
accessibility.18f.gov,TRUE
accessibility.digital.gov,TRUE
adlnet.gov,TRUE
adviserinfo.sec.gov,TRUE
ae.usembassy.gov,TRUE
af.usembassy.gov,TRUE
agents.floodsmart.gov,TRUE
agile.18f.gov,TRUE
aglab.ars.usda.gov,TRUE
aglabstaging.arsnet.usda.gov,TRUE
ai.fmcsa.dot.gov,TRUE
al.usembassy.gov,TRUE
allofus.nih.gov,TRUE
alt.ngs.noaa.gov,TRUE
amdar.noaa.gov,TRUE
americansamoa.noaa.gov,TRUE
americorps.gov,TRUE
annotation.blogs.archives.gov,TRUE
aotus.blogs.archives.gov,TRUE
apod.nasa.gov,TRUE
ar.usembassy.gov,TRUE
archive.ada.gov,TRUE
archives.drugabuse.gov,TRUE
arctic.noaa.gov,TRUE
arlweb.msha.gov,TRUE
asean.usmission.gov,TRUE
aspr.hhs.gov,TRUE
asprtracie.hhs.gov,TRUE
assets.mcc.gov,TRUE
at.usembassy.gov,TRUE
au.usembassy.gov,TRUE
az.usembassy.gov,TRUE
basicresearch.defense.gov,TRUE
bb.usembassy.gov,TRUE
be.usembassy.gov,TRUE
before-you-ship.18f.gov,TRUE
benefits-tool.usa.gov,TRUE
benefits.va.gov,TRUE
bep.gov,TRUE
beta.access-board.gov,TRUE
beta.ada.gov,TRUE
beta.consumerfinance.gov,TRUE
beta.get.gov,TRUE
beta.mbda.gov,TRUE
beta.nasa.gov,TRUE
beta.ncd.gov,TRUE
beta.nsf.gov,TRUE
beta.science.nasa.gov,TRUE
beta.ssa.gov,TRUE
beta.tsp.gov,TRUE
betobaccofree.hhs.gov,TRUE
bf.usembassy.gov,TRUE
bh.usembassy.gov,TRUE
bhw.hrsa.gov,TRUE
bigdatawg.nist.gov,TRUE
bit.niddk.nih.gov,TRUE
bja.ojp.gov,TRUE
bjs.gov,TRUE
blog.ed.gov,TRUE
blog.marinedebris.noaa.gov,TRUE
blog.response.restoration.noaa.gov,TRUE
blog.samhsa.gov,TRUE
blog.ssa.gov,TRUE
blog.usaid.gov,TRUE
blogs.nasa.gov,TRUE
bloodstemcell.hrsa.gov,TRUE
bm.usconsulate.gov,TRUE
bo.usembassy.gov,TRUE
bphc.hrsa.gov,TRUE
br.usembassy.gov,TRUE
bs.usembassy.gov,TRUE
buildbackbetter.gov,TRUE
bz.usembassy.gov,TRUE
cameo.noaa.gov,TRUE
cameochemicals.noaa.gov,TRUE
