target_url,source_list_house_117th
adams.house.gov,TRUE
adamsmith.house.gov,TRUE
aderholt.house.gov,TRUE
adriansmith.house.gov,TRUE
agriculture.house.gov,TRUE
aguilar.house.gov,TRUE
algreen.house.gov,TRUE
allen.house.gov,TRUE
allred.house.gov,TRUE
amodei.house.gov,TRUE
andylevin.house.gov,TRUE
anthonybrown.house.gov,TRUE
anthonygonzalez.house.gov,TRUE
anti-terrorismcaucus-lynch.house.gov,TRUE
appropriations.house.gov,TRUE
armedservices.house.gov,TRUE
armstrong.house.gov,TRUE
arrington.house.gov,TRUE
aseancaucus-castro.house.gov,TRUE
assistantspeaker.house.gov,TRUE
auchincloss.house.gov,TRUE
austinscott.house.gov,TRUE
axne.house.gov,TRUE
babin.house.gov,TRUE
bacon.house.gov,TRUE
baird.house.gov,TRUE
balderson.house.gov,TRUE
banks.house.gov,TRUE
barr.house.gov,TRUE
barragan.house.gov,TRUE
barrymoore.house.gov,TRUE
bass.house.gov,TRUE
beatty.house.gov,TRUE
benniethompson.house.gov,TRUE
bentz.house.gov,TRUE
bera.house.gov,TRUE
bergman.house.gov,TRUE
beyer.house.gov,TRUE
bice.house.gov,TRUE
biggs.house.gov,TRUE
bilirakis.house.gov,TRUE
billjohnson.house.gov,TRUE
bioguide.congress.gov,TRUE
bishop.house.gov,TRUE
blackmaternalhealthcaucus-underwood.house.gov,TRUE
blakemoore.house.gov,TRUE
bluedogcaucus-murphy.house.gov,TRUE
blumenauer.house.gov,TRUE
bluntrochester.house.gov,TRUE
bobbyscott.house.gov,TRUE
boebert.house.gov,TRUE
bonamici.house.gov,TRUE
bost.house.gov,TRUE
bourdeaux.house.gov,TRUE
bowman.house.gov,TRUE
boyle.house.gov,TRUE
brooks.house.gov,TRUE
buchanan.house.gov,TRUE
buck.house.gov,TRUE
bucshon.house.gov,TRUE
budd.house.gov,TRUE
buddycarter.house.gov,TRUE
budget.house.gov,TRUE
burchett.house.gov,TRUE
burgess.house.gov,TRUE
bush.house.gov,TRUE
bustos.house.gov,TRUE
butterfield.house.gov,TRUE
calvert.house.gov,TRUE
cammack.house.gov,TRUE
cao.house.gov,TRUE
capac-chu.house.gov,TRUE
carbajal.house.gov,TRUE
cardenas.house.gov,TRUE
careerandtechnicaleducationcaucus-langevin.house.gov,TRUE
carey.house.gov,TRUE
carl.house.gov,TRUE
carson.house.gov,TRUE
carter.house.gov,TRUE
cartwright.house.gov,TRUE
case.house.gov,TRUE
casten.house.gov,TRUE
castor.house.gov,TRUE
castro.house.gov,TRUE
cawthorn.house.gov,TRUE
cbc.house.gov,TRUE
centralamericacaucus-torres.house.gov,TRUE
cha.house.gov,TRUE
chabot.house.gov,TRUE
chaplain.house.gov,TRUE
chc.house.gov,TRUE
cheney.house.gov,TRUE
cherfilus-mccormick.house.gov,TRUE
childhoodcancer-mccaul.house.gov,TRUE
chrissmith.house.gov,TRUE
chu.house.gov,TRUE
chuygarcia.house.gov,TRUE
cicilline.house.gov,TRUE
clarke.house.gov,TRUE
clayhiggins.house.gov,TRUE
cleaver.house.gov,TRUE
clerk.house.gov,TRUE
climatecrisis.house.gov,TRUE
cline.house.gov,TRUE
cloud.house.gov,TRUE
clyburn.house.gov,TRUE
clyde.house.gov,TRUE
cohen.house.gov,TRUE
cole.house.gov,TRUE
comer.house.gov,TRUE
congressionalarcticworkinggroup-larsen.house.gov,TRUE
congressionalblockchaincaucus-schweikert.house.gov,TRUE
congressionalcaucusforeffectiveforeignassistance-adamsmith.house.gov,TRUE
congressionalcaucusonblackmenandboys-norton.house.gov,TRUE
congressionalcaucusonblackwomenandgirls-watsoncoleman.house.gov,TRUE
congressionalhivaidscaucus-lee.house.gov,TRUE
congressionalmarcellusshalecaucus-reed.house.gov,TRUE
congressionalserviceorganizationcaucus-thompson.house.gov,TRUE
connolly.house.gov,TRUE
conservativeopportunitysociety-norman.house.gov,TRUE
conway.house.gov,TRUE
cooper.house.gov,TRUE
coronavirus.house.gov,TRUE
coronavirustaskforce-jacksonlee.house.gov,TRUE
correa.house.gov,TRUE
costa.house.gov,TRUE
counterkleptocracycaucus-malinowski.house.gov,TRUE
courtney.house.gov,TRUE
craig.house.gov,TRUE
crawford.house.gov,TRUE
creativerightscaucus-chu.house.gov,TRUE
crenshaw.house.gov,TRUE
crimepreventionandyouthdevelopmentcaucus-cardenas.house.gov,TRUE
crimesurvivorsandjusticecaucus-costa.house.gov,TRUE
crist.house.gov,TRUE
crow.house.gov,TRUE
cuellar.house.gov,TRUE
curtis.house.gov,TRUE
cybercaucus-langevin.house.gov,TRUE
danbishop.house.gov,TRUE
dankildee.house.gov,TRUE
davids.house.gov,TRUE
davidscott.house.gov,TRUE
davidson.house.gov,TRUE
davis.house.gov,TRUE
dean.house.gov,TRUE
debbiedingell.house.gov,TRUE
defazio.house.gov,TRUE
degette.house.gov,TRUE
delauro.house.gov,TRUE
delbene.house.gov,TRUE
demings.house.gov,TRUE
democracyreform-sarbanes.house.gov,TRUE
democraticcloakroom.house.gov,TRUE
democraticwomenscaucus-frankel.house.gov,TRUE
desaulnier.house.gov,TRUE
desjarlais.house.gov,TRUE
diabetescaucus-degette.house.gov,TRUE
disabilitiescaucus-langevin.house.gov,TRUE
disclosures.house.gov,TRUE
diversity.house.gov,TRUE
doggett.house.gov,TRUE
donalds.house.gov,TRUE
doyle.house.gov,TRUE
dpcc.house.gov,TRUE
dunn.house.gov,TRUE
dustyjohnson.house.gov,TRUE
dyslexiacaucus-brownley.house.gov,TRUE
ebjohnson.house.gov,TRUE
edlabor.house.gov,TRUE
ellzey.house.gov,TRUE
emmer.house.gov,TRUE
energycommerce.house.gov,TRUE
escobar.house.gov,TRUE
eshoo.house.gov,TRUE
espaillat.house.gov,TRUE
estes.house.gov,TRUE
ethics.house.gov,TRUE
evans.house.gov,TRUE
fairgrowth.house.gov,TRUE
fallon.house.gov,TRUE
familiesfirst.speaker.gov,TRUE
fd.house.gov,TRUE
feenstra.house.gov,TRUE
ferguson.house.gov,TRUE
fernandez.house.gov,TRUE
ffacaucus-mann.house.gov,TRUE
financialservices.house.gov,TRUE
fischbach.house.gov,TRUE
fitzgerald.house.gov,TRUE
fitzpatrick.house.gov,TRUE
fleischmann.house.gov,TRUE
fletcher.house.gov,TRUE
flores.house.gov,TRUE
foreignaffairs.house.gov,TRUE
forthepeople.speaker.gov,TRUE
foster.house.gov,TRUE
fosteryouthcaucus-karenbass.house.gov,TRUE
foxx.house.gov,TRUE
frankel.house.gov,TRUE
franklin.house.gov,TRUE
freedomtovote-cha.house.gov,TRUE
fulcher.house.gov,TRUE
futureforumcaucus-soto.house.gov,TRUE
gaetz.house.gov,TRUE
gallagher.house.gov,TRUE
garamendi.house.gov,TRUE
garbarino.house.gov,TRUE
garretgraves.house.gov,TRUE
gibbs.house.gov,TRUE
gimenez.house.gov,TRUE
gohmert.house.gov,TRUE
golden.house.gov,TRUE
gomez.house.gov,TRUE
gonzales.house.gov,TRUE
gonzalez-colon.house.gov,TRUE
gonzalez.house.gov,TRUE
good.house.gov,TRUE
gooden.house.gov,TRUE
gop-foreignaffairs.house.gov,TRUE
gop-waysandmeans.house.gov,TRUE
gosar.house.gov,TRUE
gottheimer.house.gov,TRUE
graves.house.gov,TRUE
greenbook-waysandmeans.house.gov,TRUE
greene.house.gov,TRUE
gregmurphy.house.gov,TRUE
grijalva.house.gov,TRUE
grothman.house.gov,TRUE
guest.house.gov,TRUE
guthrie.house.gov,TRUE
gwenmoore.house.gov,TRUE
halrogers.house.gov,TRUE
hankjohnson.house.gov,TRUE
harder.house.gov,TRUE
harris.house.gov,TRUE
harshbarger.house.gov,TRUE
hartzler.house.gov,TRUE
hayes.house.gov,TRUE
hdp.house.gov,TRUE
hern.house.gov,TRUE
herrell.house.gov,TRUE
hice.house.gov,TRUE
higgins.house.gov,TRUE
hill.house.gov,TRUE
himes.house.gov,TRUE
hinson.house.gov,TRUE
hispanicconference-mariodiazbalart.house.gov,TRUE
hollingsworth.house.gov,TRUE
homeland.house.gov,TRUE
horsford.house.gov,TRUE
houlahan.house.gov,TRUE
housemanufacturingcaucus-reed.house.gov,TRUE
houseprochoicecaucus-degette.house.gov,TRUE
hoyer.house.gov,TRUE
hudson.house.gov,TRUE
