target_url,source_list_search_gov_mil
afrl.hpc.mil,TRUE
ak.ng.mil,TRUE
allhands.navy.mil,TRUE
apps.dtic.mil,TRUE
arkansas.nationalguard.mil,TRUE
arl.hpc.mil,TRUE
armypubs.army.mil,TRUE
asc.army.mil,TRUE
bamc.tricare.mil,TRUE
bayne-jones.tricare.mil,TRUE
belvoirhospital.tricare.mil,TRUE
blastinjuryresearch.health.mil,TRUE
cascom.army.mil,TRUE
centers.hpc.mil,TRUE
cnrnw.cnic.navy.mil,TRUE
co.ng.mil,TRUE
cyber.army.mil,TRUE
cyberdefensereview.army.mil,TRUE
daac.hpc.mil,TRUE
dc.ng.mil,TRUE
eitpmo.health.mil,TRUE
erdc.hpc.mil,TRUE
frcsw.navair.navy.mil,TRUE
irwin.tricare.mil,TRUE
jag.navylive.dodlive.mil,TRUE
jpeoaa.army.mil,TRUE
jts.health.mil,TRUE
ky.ng.mil,TRUE
landstuhl.tricare.mil,TRUE
medicalmuseum.health.mil,TRUE
minationalguard.dodlive.mil,TRUE
mrdc.amedd.army.mil,TRUE
mrdc.health.mil,TRUE
my.navy.mil,TRUE
navydsrc.hpc.mil,TRUE
newsroom.tricare.mil,TRUE
nh.ng.mil,TRUE
ok.ng.mil,TRUE
phcp.health.mil,TRUE
plainsguardian.dodlive.mil,TRUE
portsmouth.tricare.mil,TRUE
scnewsltr.dodlive.mil,TRUE
seabeemagazine.navylive.dodlive.mil,TRUE
serdp-estcp.mil,TRUE
static.e-publishing.af.mil,TRUE
tripler.tricare.mil,TRUE
usacac.army.mil,TRUE
usammda.health.mil,TRUE
usamriid.health.mil,TRUE
usariem.health.mil,TRUE
usnhistory.navylive.dodlive.mil,TRUE
ut.ng.mil,TRUE
va.ng.mil,TRUE
vt.public.ng.mil,TRUE
walterreed.tricare.mil,TRUE
wrair.health.mil,TRUE
102iw.ang.af.mil,TRUE
103aw.ang.af.mil,TRUE
104fw.ang.af.mil,TRUE
106rqw.ang.af.mil,TRUE
109aw.ang.af.mil,TRUE
10af.afrc.af.mil,TRUE
110wg.ang.af.mil,TRUE
111attackwing.ang.af.mil,TRUE
113wg.ang.af.mil,TRUE
114fw.ang.af.mil,TRUE
115fw.ang.af.mil,TRUE
116acw.ang.af.mil,TRUE
117arw.ang.af.mil,TRUE
118wg.ang.af.mil,TRUE
119wg.ang.af.mil,TRUE
120thairliftwing.ang.af.mil,TRUE
123aw.ang.af.mil,TRUE
124thfighterwing.ang.af.mil,TRUE
125fw.ang.af.mil,TRUE
126arw.ang.af.mil,TRUE
127wg.ang.af.mil,TRUE
128arw.ang.af.mil,TRUE
129rqw.ang.af.mil,TRUE
12af.acc.af.mil,TRUE
12ftw.af.mil,TRUE
130aw.ang.af.mil,TRUE
131bw.ang.af.mil,TRUE
132dwing.ang.af.mil,TRUE
133aw.ang.af.mil,TRUE
134arw.ang.af.mil,TRUE
136aw.ang.af.mil,TRUE
137sow.ang.af.mil,TRUE
138fw.ang.af.mil,TRUE
139aw.ang.af.mil,TRUE
140wg.ang.af.mil,TRUE
141arw.ang.af.mil,TRUE
142wg.ang.af.mil,TRUE
144fw.ang.af.mil,TRUE
145aw.ang.af.mil,TRUE
146aw.ang.af.mil,TRUE
148fw.ang.af.mil,TRUE
149fw.ang.af.mil,TRUE
151arw.ang.af.mil,TRUE
152aw.ang.af.mil,TRUE
153aw.ang.af.mil,TRUE
154wg.ang.af.mil,TRUE
155arw.ang.af.mil,TRUE
156wg.ang.af.mil,TRUE
157arw.ang.af.mil,TRUE
158fw.ang.af.mil,TRUE
15af.acc.af.mil,TRUE
15thmeu.marines.mil,TRUE
161arw.ang.af.mil,TRUE
162wing.ang.af.mil,TRUE
166aw.ang.af.mil,TRUE
167aw.ang.af.mil,TRUE
169fw.ang.af.mil,TRUE
16af.af.mil,TRUE
171arw.ang.af.mil,TRUE
173fw.ang.af.mil,TRUE
175wg.ang.af.mil,TRUE
176wg.ang.af.mil,TRUE
177fw.ang.af.mil,TRUE
178wing.ang.af.mil,TRUE
179aw.ang.af.mil,TRUE
180fw.ang.af.mil,TRUE
181iw.ang.af.mil,TRUE
182aw.ang.af.mil,TRUE
183wg.ang.af.mil,TRUE
185arw.ang.af.mil,TRUE
186arw.ang.af.mil,TRUE
187fw.ang.af.mil,TRUE
188wg.ang.af.mil,TRUE
189aw.ang.af.mil,TRUE
18af.amc.af.mil,TRUE
190arw.ang.af.mil,TRUE
192wg.ang.af.mil,TRUE
193sow.ang.af.mil,TRUE
1af.acc.af.mil,TRUE
1tsc.army.mil,TRUE
20af.af.mil,TRUE
2ndmlg.marines.mil,TRUE
301fw.afrc.af.mil,TRUE
302aw.afrc.af.mil,TRUE
307bw.afrc.af.mil,TRUE
315aw.afrc.af.mil,TRUE
33fw.af.mil,TRUE
349amw.afrc.af.mil,TRUE
37trw.af.mil,TRUE
388fw.acc.af.mil,TRUE
3rdmardiv.marines.mil,TRUE
3rdmaw.marines.mil,TRUE
3rdmlg.marines.mil,TRUE
403wg.afrc.af.mil,TRUE
419fw.afrc.af.mil,TRUE
433aw.afrc.af.mil,TRUE
442fw.afrc.af.mil,TRUE
445aw.afrc.af.mil,TRUE
446aw.afrc.af.mil,TRUE
459arw.afrc.af.mil,TRUE
477fg.afrc.af.mil,TRUE
4af.afrc.af.mil,TRUE
501csw.usafe.af.mil,TRUE
505ccw.acc.af.mil,TRUE
507arw.afrc.af.mil,TRUE
512aw.afrc.af.mil,TRUE
514amw.afrc.af.mil,TRUE
53rdwing.af.mil,TRUE
552acw.acc.af.mil,TRUE
59mdw.af.mil,TRUE
5af.pacaf.af.mil,TRUE
618tacc.amc.af.mil,TRUE
624rsg.afrc.af.mil,TRUE
6thmcd.marines.mil,TRUE
7af.pacaf.af.mil,TRUE
8af.af.mil,TRUE
908aw.afrc.af.mil,TRUE
913ag.afrc.af.mil,TRUE
916arw.afrc.af.mil,TRUE
919sow.afrc.af.mil,TRUE
920rqw.afrc.af.mil,TRUE
926wing.afrc.af.mil,TRUE
927arw.afrc.af.mil,TRUE
931arw.afrc.af.mil,TRUE
932aw.afrc.af.mil,TRUE
940arw.afrc.af.mil,TRUE
944fw.afrc.af.mil,TRUE
9thmcd.marines.mil,TRUE
acc.af.mil,TRUE
aetc.af.mil,TRUE
af.mil,TRUE
afcec.af.mil,TRUE
afdw.af.mil,TRUE
afgsc.af.mil,TRUE
afhistory.af.mil,TRUE
afhra.af.mil,TRUE
aflcmc.af.mil,TRUE
afmc.af.mil,TRUE
afnwc.af.mil,TRUE
afotec.af.mil,TRUE
afpc.af.mil,TRUE
afrc.af.mil,TRUE
afrl.af.mil,TRUE
afsbeurope.army.mil,TRUE
afsbirsttr.af.mil,TRUE
afsc.af.mil,TRUE
afsfc.af.mil,TRUE
afsoc.af.mil,TRUE
afspc.af.mil,TRUE
aftc.af.mil,TRUE
airlant.usff.navy.mil,TRUE
airmanmagazine.af.mil,TRUE
airpac.navy.mil,TRUE
albany.marines.mil,TRUE
altus.af.mil,TRUE
amc.af.mil,TRUE
amcom.army.mil,TRUE
