target_url,source_list_usagov_clicks_mil
8tharmy.korea.army.mil,TRUE
aa.usno.navy.mil,TRUE
ac.cto.mil,TRUE
acc.army.mil,TRUE
access.afpc.af.mil,TRUE
access.mhsgenesis.health.mil,TRUE
achh.army.mil,TRUE
acpol2.army.mil,TRUE
acqdemo.hci.mil,TRUE
actnow.army.mil,TRUE
advana.data.mil,TRUE
afcca.law.af.mil,TRUE
afpcsecure.us.af.mil,TRUE
afrims.health.mil,TRUE
afrl.hpc.mil,TRUE
ags03.sec.usace.army.mil,TRUE
ahrpo.army.mil,TRUE
airforceacademy.tricare.mil,TRUE
airforcelive.dodlive.mil,TRUE
airman.dodlive.mil,TRUE
ak.ng.mil,TRUE
al.ng.mil,TRUE
allhands.navy.mil,TRUE
altus.tricare.mil,TRUE
alu.army.mil,TRUE
anacostiabolling.tricare.mil,TRUE
andersen.tricare.mil,TRUE
andrews.tricare.mil,TRUE
annapolis.tricare.mil,TRUE
apacs.milcloud.mil,TRUE
api.army.mil,TRUE
aplits.disa.mil,TRUE
apps.dtic.mil,TRUE
ara-5.csd.disa.mil,TRUE
aramp.usar.army.mil,TRUE
arba.army.pentagon.mil,TRUE
arkansas.nationalguard.mil,TRUE
arl.devcom.army.mil,TRUE
arl.hpc.mil,TRUE
arlingtoncemetery.mil,TRUE
armyrotc.army.mil,TRUE
arowsr.afrc.af.mil,TRUE
asb.army.mil,TRUE
asc.army.mil,TRUE
asm3.nmci.navy.mil,TRUE
assist.dla.mil,TRUE
at.dod.mil,TRUE
ataaps.csd.disa.mil,TRUE
atlantic.navfac.navy.mil,TRUE
auth-hcm04.ns2.apps.mil,TRUE
aviano.tricare.mil,TRUE
awm.lee.army.mil,TRUE
bamc.tricare.mil,TRUE
barksdale.tricare.mil,TRUE
bassett-wainwright.tricare.mil,TRUE
bayne-jones.tricare.mil,TRUE
beale.tricare.mil,TRUE
beaufort.tricare.mil,TRUE
belvoirhospital.tricare.mil,TRUE
bg-crawford.tricare.mil,TRUE
blanchfield.tricare.mil,TRUE
blastinjuryresearch.health.mil,TRUE
blog-brigade.militaryonesource.mil,TRUE
blueangels.navy.mil,TRUE
boards.law.af.mil,TRUE
bremerton.tricare.mil,TRUE
buckley.tricare.mil,TRUE
cacmdc.army.mil,TRUE
cage.dla.mil,TRUE
calmed.tricare.mil,TRUE
camp-lejeune.tricare.mil,TRUE
camp-pendleton.tricare.mil,TRUE
campedwards.ng.mil,TRUE
cannon.tricare.mil,TRUE
cap.mil,TRUE
cascom.army.mil,TRUE
cdmrp.health.mil,TRUE
centers.hpc.mil,TRUE
cgmix.uscg.mil,TRUE
cgrri.uscg.mil,TRUE
charleston.tricare.mil,TRUE
cherrypoint.tricare.mil,TRUE
chess.army.mil,TRUE
cmis.disa.mil,TRUE
cms.dfas.mil,TRUE
cnreurafcent.cnic.navy.mil,TRUE
cnrh.cnic.navy.mil,TRUE
cnrj.cnic.navy.mil,TRUE
cnrk.cnic.navy.mil,TRUE
cnrma.cnic.navy.mil,TRUE
cnrnw.cnic.navy.mil,TRUE
cnrse.cnic.navy.mil,TRUE
cnrsw.cnic.navy.mil,TRUE
co.ng.mil,TRUE
columbus.tricare.mil,TRUE
compo.dcpds.cpms.osd.mil,TRUE
corpslakes.erdc.dren.mil,TRUE
corpuschristi.tricare.mil,TRUE
corpweb1.dfas.mil,TRUE
ct.ng.mil,TRUE
ctcodin.tradoc.army.mil,TRUE
cyber.army.mil,TRUE
cybercoe.army.mil,TRUE
cyberdefensereview.army.mil,TRUE
daac.hpc.mil,TRUE
dacipad.whs.mil,TRUE
daflearning.af.mil,TRUE
darnall.tricare.mil,TRUE
dave.acq.osd.mil,TRUE
davismonthan.tricare.mil,TRUE
dbids-global.dmdc.mil,TRUE
dc.ng.mil,TRUE
dcas.dmdc.osd.mil,TRUE
dcpas.osd.mil,TRUE
dctc.mil,TRUE
defenseinnovationmarketplace.dtic.mil,TRUE
desmond-doss.tricare.mil,TRUE
dfasportal.dfas.mil,TRUE
diajobs.dia.mil,TRUE
dibbs2.bsm.dla.mil,TRUE
diegogarcia.tricare.mil,TRUE
directives.whs.mil,TRUE
disa.deps.mil,TRUE
disa.mil,TRUE
discover.dtic.mil,TRUE
dl.dod.cyber.mil,TRUE
dla.servicenowservices.mil,TRUE
dlamil.dps.mil,TRUE
dodiac.dtic.mil,TRUE
dodsoco.ogc.osd.mil,TRUE
dodtap.mil,TRUE
doha.ogc.osd.mil,TRUE
dots.dodiis.mil,TRUE
dover.tricare.mil,TRUE
download.militaryonesource.mil,TRUE
