target_url,hsts_header,hsts_max_age,hsts_entire_domain,latest,source_list_cisa
0www.usich.gov,,-1,FALSE,TRUE,TRUE
1.usa.gov,max-age=31536000,31536000,FALSE,TRUE,TRUE
1010ez.med.va.gov,max-age=31536000 includeSubDomains preload,31536000,FALSE,TRUE,TRUE
10x.gsa.gov,max-age=31536000 preload,31536000,FALSE,TRUE,TRUE
1115publiccomments.medicaid.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
11bm.xray.aps.anl.gov,max-age=31536000 includeSubDomains,31536000,TRUE,TRUE,TRUE
12bm.xray.aps.anl.gov,max-age=31536000 includeSubDomains,31536000,TRUE,TRUE,TRUE
12id.xray.aps.anl.gov,max-age=31536000 includeSubDomains,31536000,TRUE,TRUE,TRUE
173.255.49.112.dhs.gov,,-1,FALSE,TRUE,TRUE
1800quitnow.cancer.gov,max-age=31536000 preload,31536000,FALSE,TRUE,TRUE
1940census.archives.gov,max-age=31536000 includeSubDomains preload,31536000,TRUE,TRUE,TRUE
1950census.archives.gov,max-age=31536000 includeSubDomains preload,31536000,TRUE,TRUE,TRUE
1997-2001.state.gov,,-1,FALSE,TRUE,TRUE
19january2017snapshot.epa.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
19january2021snapshot.epa.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
2001-2009.commerce.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
2001-2009.state.gov,,-1,FALSE,TRUE,TRUE
2009-2017-fpc.state.gov,,-1,FALSE,TRUE,TRUE
2009-2017-usun.state.gov,,-1,FALSE,TRUE,TRUE
2009-2017.state.gov,,-1,FALSE,TRUE,TRUE
2010-2014.commerce.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
2012-keystonepipeline-xl.state.gov,,-1,FALSE,TRUE,TRUE
2014-2017.commerce.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
2014-2018.firstnet.gov,max-age=31536000,31536000,FALSE,TRUE,TRUE
2016.bbg.gov,max-age=31536000  preload,31536000,FALSE,TRUE,TRUE
2016.trade.gov,,-1,,TRUE,TRUE
2017-2021.commerce.gov,max-age=63072000 includeSubDomains preload,63072000,TRUE,TRUE,TRUE
2017-2021.state.gov,,-1,FALSE,TRUE,TRUE
2017dodtransition.defense.gov,max-age=31536000,31536000,FALSE,TRUE,TRUE
20watersheds.epa.gov,max-age=31536000 includeSubDomains preload ,31536000,TRUE,TRUE,TRUE
21apr.ed.gov,max-age=63072000 includeSubdomains,63072000,TRUE,TRUE,TRUE
263.usajobs.gov,max-age=31536000  includeSubDomains  preload,31536000,TRUE,TRUE,TRUE
2bm.xray.aps.anl.gov,max-age=31536000 includeSubDomains,31536000,TRUE,TRUE,TRUE
2fwww.usich.gov,,-1,FALSE,TRUE,TRUE
