target_url,branch,agency,bureau,
swcs.mil,Executive,Department of Defense,Army,TRUE
tapevents.mil,Executive,Department of Defense,,TRUE
tearline.mil,Executive,Department of Defense,,TRUE
tricare.mil,Executive,Department of Defense,,TRUE
unc.mil,Executive,Department of Defense,,TRUE
uscg.mil,Executive,Department of Defense,Coast Guard,TRUE
usfj.mil,Executive,Department of Defense,,TRUE
usfk.mil,Executive,Department of Defense,,TRUE
usgovdod.mil,Executive,Department of Defense,,TRUE
usmc.mil,Executive,Department of Defense,,TRUE
ustranscom.mil,Executive,Department of Defense,,TRUE
vte.mil,Executive,Department of Defense,,TRUE
vts.mil,Executive,Department of Defense,,TRUE
whitehousecommsagency.mil,Executive,Department of Defense,,TRUE
whs.mil,Executive,Department of Defense,,TRUE
yellowribbon.mil,Executive,Department of Defense,,TRUE
