target_url,agency,bureau,Office,source_list_public_inventory
apps.bea.gov,Department of Commerce,BEA,,TRUE
bea.gov,Department of Commerce,BEA,,TRUE
acmt.bis.doc.gov,Department of Commerce,BIS,,TRUE
bis.gov,Department of Commerce,BIS,,TRUE
cars.bis.gov,Department of Commerce,BIS,,TRUE
cwc.gov,Department of Commerce,BIS,,TRUE
cwcweb.cwc.gov,Department of Commerce,BIS,,TRUE
efoia.bis.doc.gov,Department of Commerce,BIS,,TRUE
slid.bis.doc.gov,Department of Commerce,BIS,,TRUE
snapr.bis.gov,Department of Commerce,BIS,,TRUE
tac.bis.doc.gov,Department of Commerce,BIS,,TRUE
access.census.gov,Department of Commerce,Census,,TRUE
api.census.gov,Department of Commerce,Census,,TRUE
ask.census.gov,Department of Commerce,Census,,TRUE
bds.explorer.ces.census.gov,Department of Commerce,Census,,TRUE
bhs.econ.census.gov,Department of Commerce,Census,,TRUE
cbb.census.gov,Department of Commerce,Census,,TRUE
census.gov,Department of Commerce,Census,,TRUE
coil.census.gov,Department of Commerce,Census,,TRUE
data.census.gov,Department of Commerce,Census,,TRUE
geocoding.geo.census.gov,Department of Commerce,Census,,TRUE
j2jexplorer.ces.census.gov,Department of Commerce,Census,,TRUE
ledextract.ces.census.gov,Department of Commerce,Census,,TRUE
lehd.ces.census.gov,Department of Commerce,Census,,TRUE
mtgis-portal.geo.census.gov,Department of Commerce,Census,,TRUE
opportunity.census.gov,Department of Commerce,Census,,TRUE
portal.census.gov,Department of Commerce,Census,,TRUE
qwiexplorer.ces.census.gov,Department of Commerce,Census,,TRUE
respond.census.gov,Department of Commerce,Census,,TRUE
spd15revision.gov,Department of Commerce,Census,,TRUE
tigerweb.geo.census.gov,Department of Commerce,Census,,TRUE
usatrade.census.gov,Department of Commerce,Census,,TRUE
www2.census.gov,Department of Commerce,Census,,TRUE
xd.gov,Department of Commerce,Census,,TRUE
eda.gov,Department of Commerce,EDA,,TRUE
sfgrants.eda.gov,Department of Commerce,EDA,,TRUE
2014-2018.firstnet.gov,Department of Commerce,FirstNet,,TRUE
5x5.firstnet.gov,Department of Commerce,FirstNet,,TRUE
firstnet.gov,Department of Commerce,FirstNet,,TRUE
access.trade.gov,Department of Commerce,ITA,,TRUE
beta.trade.gov,Department of Commerce,ITA,,TRUE
dataprivacyframework.gov,Department of Commerce,ITA,,TRUE
developer.trade.gov,Department of Commerce,ITA,,TRUE
enforcement.trade.gov,Department of Commerce,ITA,,TRUE
esel.trade.gov,Department of Commerce,ITA,,TRUE
legacy.export.gov,Department of Commerce,ITA,,TRUE
legacy.trade.gov,Department of Commerce,ITA,,TRUE
ofis.trade.gov,Department of Commerce,ITA,,TRUE
stopfakes.gov,Department of Commerce,ITA,,TRUE
trade.gov,Department of Commerce,ITA,,TRUE
wwtg.gov,Department of Commerce,ITA,,TRUE
mbda.gov,Department of Commerce,MBDA,,TRUE
abacus.nist.gov,Department of Commerce,NIST,,TRUE
actev.nist.gov,Department of Commerce,NIST,,TRUE
acvts.nist.gov,Department of Commerce,NIST,,TRUE
adsorption.nist.gov,Department of Commerce,NIST,,TRUE
ai-challenges.nist.gov,Department of Commerce,NIST,,TRUE
airc.nist.gov,Department of Commerce,NIST,,TRUE
ambench.nist.gov,Department of Commerce,NIST,,TRUE
ambench2022.nist.gov,Department of Commerce,NIST,,TRUE
ammd.nist.gov,Department of Commerce,NIST,,TRUE
aphl.nist.gov,Department of Commerce,NIST,,TRUE
askchips.chips.gov,Department of Commerce,NIST,,TRUE
baldrigeresources.nist.gov,Department of Commerce,NIST,,TRUE
bbddata.nist.gov,Department of Commerce,NIST,,TRUE
boudicca.nist.gov,Department of Commerce,NIST,,TRUE
boulder.doc.gov,Department of Commerce,NIST,,TRUE
calnet.nist.gov,Department of Commerce,NIST,,TRUE
cccbdb.nist.gov,Department of Commerce,NIST,,TRUE
cda-validation.nist.gov,Department of Commerce,NIST,,TRUE
cdcs.registry.nist.gov,Department of Commerce,NIST,,TRUE
cfreds.nist.gov,Department of Commerce,NIST,,TRUE
cfreds-archive.nist.gov,Department of Commerce,NIST,,TRUE
chemdata.nist.gov,Department of Commerce,NIST,,TRUE
circular.nist.gov,Department of Commerce,NIST,,TRUE
code.nist.gov,Department of Commerce,NIST,,TRUE
concrete.nist.gov,Department of Commerce,NIST,,TRUE
consensus.nist.gov,Department of Commerce,NIST,,TRUE
covid19-data.nist.gov,Department of Commerce,NIST,,TRUE
csrc.nist.gov,Department of Commerce,NIST,,TRUE
cstl.nist.gov,Department of Commerce,NIST,,TRUE
data.nist.gov,Department of Commerce,NIST,,TRUE
decisiontree.nist.gov,Department of Commerce,NIST,,TRUE
dlmf.nist.gov,Department of Commerce,NIST,,TRUE
duc.nist.gov,Department of Commerce,NIST,,TRUE
e3.nist.gov,Department of Commerce,NIST,,TRUE
ecc.nist.gov,Department of Commerce,NIST,,TRUE
edges.nist.gov,Department of Commerce,NIST,,TRUE
emtoolbox.nist.gov,Department of Commerce,NIST,,TRUE
events.nist.gov,Department of Commerce,NIST,,TRUE
firedoc.nist.gov,Department of Commerce,NIST,,TRUE
fits.nist.gov,Department of Commerce,NIST,,TRUE
gams.nist.gov,Department of Commerce,NIST,,TRUE
gashydrates.nist.gov,Department of Commerce,NIST,,TRUE
ghgr.nist.gov,Department of Commerce,NIST,,TRUE
hit-dev.nist.gov,Department of Commerce,NIST,,TRUE
hit-nexus.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-elr-testing.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-gvt.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-igamt.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-igamt-2.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-iz-cdc-testing.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-iz-r1-5-testing.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-lab-r2-testing.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-lab-testing.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2-ss-r2-testing.nist.gov,Department of Commerce,NIST,,TRUE
hl7v2tools.nist.gov,Department of Commerce,NIST,,TRUE
ibal.nist.gov,Department of Commerce,NIST,,TRUE
icsd.nist.gov,Department of Commerce,NIST,,TRUE
ihe-pcd.nist.gov,Department of Commerce,NIST,,TRUE
ihexds.nist.gov,Department of Commerce,NIST,,TRUE
ilthermo.boulder.nist.gov,Department of Commerce,NIST,,TRUE
ir.nist.gov,Department of Commerce,NIST,,TRUE
isg.nist.gov,Department of Commerce,NIST,,TRUE
its90.nist.gov,Department of Commerce,NIST,,TRUE
janaf.nist.gov,Department of Commerce,NIST,,TRUE
jarvis.nist.gov,Department of Commerce,NIST,,TRUE
kinetics.nist.gov,Department of Commerce,NIST,,TRUE
lre.nist.gov,Department of Commerce,NIST,,TRUE
maldi.nist.gov,Department of Commerce,NIST,,TRUE
manufacturing.gov,Department of Commerce,NIST,,TRUE
materials.registry.nist.gov,Department of Commerce,NIST,,TRUE
math.nist.gov,Department of Commerce,NIST,,TRUE
mdcs.nist.gov,Department of Commerce,NIST,,TRUE
meis.nist.gov,Department of Commerce,NIST,,TRUE
mfc.nist.gov,Department of Commerce,NIST,,TRUE
mgi.gov,Department of Commerce,NIST,,TRUE
nccoe.nist.gov,Department of Commerce,NIST,,TRUE
